uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
92d3103a-cda1-447a-ab69-99c29558aa31,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,39_400,2.5,38,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vO,2023-03-13T14:54:00Z,2023-03-13T14:54:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,BLAN_001-M-39-20230313,A00000169653,N,M,OK,4.7,3.2,0,30.5,maximum,probe,2,NA,NA,NA,NA,NA,D00000095121,NA,NA,D00000095122,NA,NA,D00000095123,NA,NA,D00000095124,NA,NA,D00000095125,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0003-4806-3126,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,BLAN,2023,sls_soilCoreCollection
9704a82f-a790-4e56-98e9-19b80aaf3c91,D02,BLAN,BLAN_003,BLAN_003.basePlot.bgc,distributed,pastureHay,21_400,2,15,WGS84,39.078872,-77.963659,20.1,121.8,0.1,NEON.DOC.014048vO,2023-03-13T15:04:00Z,2023-03-13T15:04:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,BLAN_003-M-21-20230313,A00000169665,N,M,OK,5.5,1,0,30.2,maximum,probe,1,NA,NA,NA,NA,NA,D00000095013,NA,NA,D00000095012,NA,NA,D00000095011,NA,NA,D00000095015,NA,NA,D00000095014,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0001-7914-5891,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,BLAN,2023,sls_soilCoreCollection
2827fc7f-1c59-411d-ade8-542a6d70961b,D02,BLAN,BLAN_003,BLAN_003.basePlot.bgc,distributed,pastureHay,23_400,34.5,12.5,WGS84,39.078872,-77.963659,20.1,121.8,0.1,NEON.DOC.014048vO,2023-03-13T15:27:00Z,2023-03-13T15:27:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,BLAN_003-M-23-20230313,A00000169694,N,M,OK,5.2,0,0,30,maximum,probe,1,NA,NA,NA,NA,NA,D00000095010,NA,NA,D00000095009,NA,NA,D00000095006,NA,NA,D00000095008,NA,NA,D00000095007,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0001-7914-5891,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,BLAN,2023,sls_soilCoreCollection
7c1ff855-78db-4043-ae3e-32d61838c135,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,21_400,7.5,11,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vO,2023-03-13T15:39:00Z,2023-03-13T15:39:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,BLAN_001-M-21-20230313,A00000169652,N,M,OK,4.1,1.5,0,29.3,maximum,probe,2,NA,NA,NA,NA,NA,D00000095131,NA,NA,D00000095132,NA,NA,D00000095133,NA,NA,D00000095134,NA,NA,D00000095135,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0003-4806-3126,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,BLAN,2023,sls_soilCoreCollection
fa238857-cb60-4149-afa6-cc172f4c5e87,D02,BLAN,BLAN_003,BLAN_003.basePlot.bgc,distributed,pastureHay,41_400,33.5,35,WGS84,39.078872,-77.963659,20.1,121.8,0.1,NEON.DOC.014048vO,2023-03-13T15:46:00Z,2023-03-13T15:46:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,BLAN_003-M-41-20230313,A00000170313,N,M,OK,5.4,0.5,0,30.5,maximum,probe,1,NA,NA,NA,NA,NA,D00000095003,NA,NA,D00000095004,NA,NA,D00000095005,NA,NA,D00000095002,NA,NA,D00000095001,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0001-7914-5891,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,BLAN,2023,sls_soilCoreCollection
2e51a81a-155b-43e4-b17b-3969f2746752,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,23_400,38,7,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vO,2023-03-13T16:03:00Z,2023-03-13T16:03:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,BLAN_001-M-23-20230313,A00000169651,N,M,OK,4.6,2,0,30.2,maximum,probe,1,NA,NA,NA,NA,NA,D00000095126,NA,NA,D00000095127,NA,NA,D00000095128,NA,NA,D00000095129,NA,NA,D00000095130,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0003-4806-3126,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,BLAN,2023,sls_soilCoreCollection
60ddc27a-99d0-4dce-9e77-9334ed6875e8,D02,BLAN,BLAN_006,BLAN_006.basePlot.bgc,distributed,pastureHay,39_400,4,34,WGS84,39.083999,-77.963812,20.1,154.4,0.1,NEON.DOC.014048vO,2023-03-13T16:55:00Z,2023-03-13T16:55:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,BLAN_006-M-39-20230313,A00000170314,N,M,OK,5.4,0.1,0,30.3,maximum,probe,1,NA,NA,NA,NA,NA,D00000095144,NA,NA,D00000095145,NA,NA,D00000095141,NA,NA,D00000095142,NA,NA,D00000095143,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0001-6848-3983,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,BLAN,2023,sls_soilCoreCollection
dfc40bf3-04a7-42df-8d16-6d6485badbf4,D02,BLAN,BLAN_005,BLAN_005.basePlot.bgc,distributed,deciduousForest,23_400,31,4,WGS84,39.087456,-77.971942,20.1,137.4,0.21,NEON.DOC.014048vO,2023-03-13T17:18:00Z,2023-03-13T17:18:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,BLAN_005-M-23-20230313,A00000169664,N,M,OK,4.9,3.5,0,29.8,maximum,probe,2,NA,NA,NA,NA,NA,D00000095016,NA,NA,D00000095017,NA,NA,D00000095018,NA,NA,D00000095019,NA,NA,D00000095020,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0003-4806-3126,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,BLAN,2023,sls_soilCoreCollection
5907746c-4c79-4650-ba19-84cd9ea1eb02,D02,BLAN,BLAN_006,BLAN_006.basePlot.bgc,distributed,pastureHay,21_400,4.5,10.5,WGS84,39.083999,-77.963812,20.1,154.4,0.1,NEON.DOC.014048vO,2023-03-13T17:26:00Z,2023-03-13T17:26:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,BLAN_006-M-21-20230313,A00000170304,N,M,OK,5.8,0.1,0,30,maximum,probe,1,NA,NA,NA,NA,NA,D00000095148,NA,NA,D00000095146,NA,NA,D00000095149,NA,NA,D00000095150,NA,NA,D00000095147,NA,dry ice,5 mL vial,NA,NA,NA,NA,0000-0001-6848-3983,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,BLAN,2023,sls_soilCoreCollection
799b1d20-988e-41c6-a199-0838d9dced53,D02,BLAN,BLAN_006,BLAN_006.basePlot.bgc,distributed,pastureHay,23_400,24,1,WGS84,39.083999,-77.963812,20.1,154.4,0.1,NEON.DOC.014048vO,2023-03-13T17:49:00Z,2023-03-13T17:49:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,BLAN_006-M-23-20230313,A00000170225,N,M,OK,6,0.9,0,30.5,maximum,probe,1,NA,NA,NA,NA,NA,D00000095140,NA,NA,D00000095139,NA,NA,D00000095137,NA,NA,D00000095138,NA,NA,D00000095136,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0001-6848-3983,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,BLAN,2023,sls_soilCoreCollection
