uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
af6939e0-7a40-413e-958b-441ebeb9cb3c,CPER_001.basePlot.bgc,D10,CPER,CPER_001,distributed,2021-06-30T15:50:00Z,2021-06-30T15:50:00Z,NEON.DOC.014048vN,CPER_001-M-33.5-20.5-20210630,A00000123582,CPER_001-M-33.5-20.5-20210630-KCL,B00000098770,CPER_001-M-33.5-20.5,tInitial,0,2021-07-01T14:33:00Z,CPER-20210701-BRef1,5,50,2021-07-01T17:00:00Z,OK,NA,0000-0002-5575-4200,0000-0003-3018-7817,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_internalLab
58a00dea-10c7-4068-99a4-cf3bb6ac5e7e,CPER_001.basePlot.bgc,D10,CPER,CPER_001,distributed,2021-06-30T16:08:00Z,2021-06-30T16:08:00Z,NEON.DOC.014048vN,CPER_001-M-21-6.5-20210630,A00000245660,CPER_001-M-21-6.5-20210630-KCL,B00000098749,CPER_001-M-21-6.5,tInitial,0,2021-07-01T14:50:00Z,CPER-20210701-BRef1,5,50,2021-07-01T17:00:00Z,OK,NA,0000-0002-5575-4200,0000-0003-3018-7817,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_internalLab
fc72afa5-ca73-4800-b6f1-c192d7f358cc,CPER_001.basePlot.bgc,D10,CPER,CPER_001,distributed,2021-06-30T16:25:00Z,2021-06-30T16:25:00Z,NEON.DOC.014048vN,CPER_001-M-16.5-3-20210630,A00000245661,CPER_001-M-16.5-3-20210630-KCL,B00000098764,CPER_001-M-16.5-3,tInitial,0,2021-07-01T14:47:00Z,CPER-20210701-BRef1,5.33,50,2021-07-01T17:00:00Z,OK,NA,0000-0002-5575-4200,0000-0003-3018-7817,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_internalLab
865de16e-c128-4843-a641-7163318e6cea,CPER_001.basePlot.bgc,D10,CPER,CPER_001,distributed,2021-06-30T15:50:00Z,2021-07-21T20:04:00Z,NEON.DOC.014048vN,CPER_001-M-33.5-20.5-20210721,A00000245647,CPER_001-M-33.5-20.5-20210721-KCL,B00000098740,CPER_001-M-33.5-20.5,tFinal,21.18,2021-07-22T18:00:00Z,CPER-20210722-BRef1,5.22,50,2021-07-22T20:00:00Z,OK,NA,0000-0002-2959-088X,0000-0002-9095-8110,NA,20251217T193951Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_internalLab
a6d580c5-f982-4300-80b3-31cc5e0b9039,CPER_001.basePlot.bgc,D10,CPER,CPER_001,distributed,2021-06-30T16:08:00Z,2021-07-21T19:52:00Z,NEON.DOC.014048vN,CPER_001-M-21-6.5-20210721,A00000245649,CPER_001-M-21-6.5-20210721-KCL,B00000098429,CPER_001-M-21-6.5,tFinal,21.16,2021-07-22T18:00:00Z,CPER-20210722-BRef1,5.3,50,2021-07-22T20:00:00Z,OK,NA,0000-0002-2959-088X,0000-0002-9095-8110,NA,20251217T193951Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_internalLab
3e1b9e2f-659e-4c1b-9a7c-c2e7e2640777,CPER_001.basePlot.bgc,D10,CPER,CPER_001,distributed,2021-06-30T16:25:00Z,2021-07-21T19:44:00Z,NEON.DOC.014048vN,CPER_001-M-16.5-3-20210721,A00000248126,CPER_001-M-16.5-3-20210721-KCL,B00000098374,CPER_001-M-16.5-3,tFinal,21.14,2021-07-22T18:00:00Z,CPER-20210722-BRef1,4.61,50,2021-07-22T20:00:00Z,OK,NA,0000-0002-2959-088X,0000-0002-9095-8110,NA,20251217T193951Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_internalLab
72163371-472c-4c3b-81e7-8f8b41c8b3b6,CPER_001.basePlot.bgc,D10,CPER,CPER_001,distributed,2021-10-25T17:55:00Z,2021-10-25T17:55:00Z,NEON.DOC.014048vN,CPER_001-M-35.5-2-20211025,A00000249611,CPER_001-M-35.5-2-20211025-KCL,A00000247668,CPER_001-M-35.5-2,tInitial,0,2021-10-26T16:02:00Z,CPER-20211026-BRef1,4.08,40,2021-10-26T21:00:00Z,OK,NA,0000-0002-5575-4200,0000-0003-3018-7817,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_internalLab
3e32530c-de58-40c8-bebf-237aa04b5ad1,CPER_001.basePlot.bgc,D10,CPER,CPER_001,distributed,2021-10-25T18:10:00Z,2021-10-25T18:10:00Z,NEON.DOC.014048vN,CPER_001-M-37-31-20211025,A00000249625,CPER_001-M-37-31-20211025-KCL,A00000123156,CPER_001-M-37-31,tInitial,0,2021-10-26T16:08:00Z,CPER-20211026-BRef1,4.17,40,2021-10-26T21:00:00Z,OK,NA,0000-0002-5575-4200,0000-0003-3018-7817,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_internalLab
8b8b2538-1676-43d6-9ded-399e528c99b5,CPER_001.basePlot.bgc,D10,CPER,CPER_001,distributed,2021-10-25T18:17:00Z,2021-10-25T18:17:00Z,NEON.DOC.014048vN,CPER_001-M-16-39.5-20211025,A00000249620,CPER_001-M-16-39.5-20211025-KCL,A00000247669,CPER_001-M-16-39.5,tInitial,0,2021-10-26T16:05:00Z,CPER-20211026-BRef1,4.27,41,2021-10-26T21:00:00Z,OK,NA,0000-0002-5575-4200,0000-0003-3018-7817,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_internalLab
9db10803-e86f-4129-906b-0d75caa645b9,CPER_001.basePlot.bgc,D10,CPER,CPER_001,distributed,2021-10-25T17:55:00Z,2021-11-15T20:27:00Z,NEON.DOC.014048vN,CPER_001-M-35.5-2-20211115,A00000249853,CPER_001-M-35.5-2-20211115-KCL,B00000099004,CPER_001-M-35.5-2,tFinal,21.11,2021-11-16T19:21:00Z,CPER-20211116-BRef1,4.18,40,2021-11-16T22:00:00Z,OK,NA,0000-0002-5795-6850,0000-0002-1017-1124,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_internalLab
