uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
effb06bc-6f3a-445d-aa6a-6ab4a90b10e7,DEJU_006.basePlot.bgc,D19,DEJU,DEJU_006,distributed,2018-06-18T15:42:00Z,2018-06-18T15:42:00Z,NEON.DOC.014048vK,DEJU_006-O-25-32.5-20180618,A00000028561,DEJU_006-O-25-32.5-20180618-KCL,B00000008268,DEJU_006-O-25-32.5,tInitial,0,2018-06-19T00:53:00Z,DEJU-20180618-BRef1,10.21,101,2018-06-19T04:00:00Z,OK,NA,avandreser@battelleecology.org,anovella@battelleecology.org,NA,20251217T193924Z,RELEASE-2026,DP1.10086.001,DEJU,2018,ntr_internalLab
4b09a7b4-279d-48e4-acba-bcbd2c0695d3,DEJU_006.basePlot.bgc,D19,DEJU,DEJU_006,distributed,2018-06-18T15:59:00Z,2018-06-18T15:59:00Z,NEON.DOC.014048vK,DEJU_006-M-25-32.5-20180618,A00000028562,DEJU_006-M-25-32.5-20180618-KCL,B00000008265,DEJU_006-M-25-32.5,tInitial,0,2018-06-19T03:00:00Z,DEJU-20180618-BRef1,9.88,100,2018-06-19T04:00:00Z,OK,NA,avandreser@battelleecology.org,anovella@battelleecology.org,NA,20251217T193924Z,RELEASE-2026,DP1.10086.001,DEJU,2018,ntr_internalLab
df62ca09-ad99-4f8e-8c46-dd5a6467ae37,DEJU_006.basePlot.bgc,D19,DEJU,DEJU_006,distributed,2018-06-18T16:43:00Z,2018-06-18T16:43:00Z,NEON.DOC.014048vK,DEJU_006-O-2.5-37.5-20180618,A00000028557,DEJU_006-O-2.5-37.5-20180618-KCL,B00000008270,DEJU_006-O-2.5-37.5,tInitial,0,2018-06-19T01:11:00Z,DEJU-20180618-BRef1,9.93,101,2018-06-19T04:00:00Z,OK,NA,avandreser@battelleecology.org,anovella@battelleecology.org,NA,20251217T193924Z,RELEASE-2026,DP1.10086.001,DEJU,2018,ntr_internalLab
e9e72a52-06bd-418e-aae6-0cebdf25004c,DEJU_006.basePlot.bgc,D19,DEJU,DEJU_006,distributed,2018-06-18T16:55:00Z,2018-06-18T16:55:00Z,NEON.DOC.014048vK,DEJU_006-M-2.5-37.5-20180618,A00000028558,DEJU_006-M-2.5-37.5-20180618-KCL,B00000008269,DEJU_006-M-2.5-37.5,tInitial,0,2018-06-19T02:52:00Z,DEJU-20180618-BRef1,9.93,100,2018-06-19T04:00:00Z,OK,NA,avandreser@battelleecology.org,anovella@battelleecology.org,NA,20251217T193924Z,RELEASE-2026,DP1.10086.001,DEJU,2018,ntr_internalLab
e5837bab-8934-4dd7-90d3-aeeeabbb891f,DEJU_006.basePlot.bgc,D19,DEJU,DEJU_006,distributed,2018-06-18T17:22:00Z,2018-06-18T17:22:00Z,NEON.DOC.014048vK,DEJU_006-O-39.5-1.5-20180618,A00000028559,DEJU_006-O-39.5-1.5-20180618-KCL,B00000008271,DEJU_006-O-39.5-1.5,tInitial,0,2018-06-19T01:12:00Z,DEJU-20180618-BRef1,10.05,100,2018-06-19T04:00:00Z,OK,NA,avandreser@battelleecology.org,anovella@battelleecology.org,NA,20251217T193924Z,RELEASE-2026,DP1.10086.001,DEJU,2018,ntr_internalLab
36805934-29a2-4f8a-ab9f-84719a18762a,DEJU_006.basePlot.bgc,D19,DEJU,DEJU_006,distributed,2018-06-18T17:35:00Z,2018-06-18T17:35:00Z,NEON.DOC.014048vK,DEJU_006-M-39.5-1.5-20180618,A00000028560,DEJU_006-M-39.5-1.5-20180618-KCL,B00000008267,DEJU_006-M-39.5-1.5,tInitial,0,2018-06-19T02:55:00Z,DEJU-20180618-BRef1,10.03,100,2018-06-19T04:00:00Z,OK,NA,avandreser@battelleecology.org,anovella@battelleecology.org,NA,20251217T193924Z,RELEASE-2026,DP1.10086.001,DEJU,2018,ntr_internalLab
94815897-3b6e-479a-b0bb-def2e8fb58dd,DEJU_006.basePlot.bgc,D19,DEJU,DEJU_006,distributed,2018-06-18T15:42:00Z,2018-07-09T20:03:00Z,NEON.DOC.014048vK,DEJU_006-O-25-32.5-20180709,A00000029183,DEJU_006-O-25-32.5-20180709-KCL,B00000008462,DEJU_006-O-25-32.5,tFinal,21.18,2018-07-10T19:06:00Z,DEJU-20180710-BRef1,10.1,100,2018-07-10T22:00:00Z,OK,NA,kring@battelleecology.org,jormerod@battelleecology.org,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,DEJU,2018,ntr_internalLab
25d86d95-4f1d-4e7f-b87d-68c9f00644e7,DEJU_006.basePlot.bgc,D19,DEJU,DEJU_006,distributed,2018-06-18T15:59:00Z,2018-07-09T20:07:00Z,NEON.DOC.014048vK,DEJU_006-M-25-32.5-20180709,A00000029184,DEJU_006-M-25-32.5-20180709-KCL,B00000008467,DEJU_006-M-25-32.5,tFinal,21.17,2018-07-10T19:21:00Z,DEJU-20180710-BRef1,10.09,101,2018-07-10T22:00:00Z,OK,NA,kring@battelleecology.org,jormerod@battelleecology.org,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,DEJU,2018,ntr_internalLab
4604c36f-cd1d-440d-a2d6-a77bde6ad209,DEJU_006.basePlot.bgc,D19,DEJU,DEJU_006,distributed,2018-06-18T16:43:00Z,2018-07-09T20:14:00Z,NEON.DOC.014048vK,DEJU_006-O-2.5-37.5-20180709,A00000029185,DEJU_006-O-2.5-37.5-20180709-KCL,B00000008464,DEJU_006-O-2.5-37.5,tFinal,21.15,2018-07-10T19:14:00Z,DEJU-20180710-BRef1,10.15,100,2018-07-10T22:00:00Z,OK,NA,kring@battelleecology.org,jormerod@battelleecology.org,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,DEJU,2018,ntr_internalLab
1bd24506-f046-4389-88c8-54149555e37b,DEJU_006.basePlot.bgc,D19,DEJU,DEJU_006,distributed,2018-06-18T16:55:00Z,2018-07-09T20:15:00Z,NEON.DOC.014048vK,DEJU_006-M-2.5-37.5-20180709,A00000029186,DEJU_006-M-2.5-37.5-20180709-KCL,B00000008466,DEJU_006-M-2.5-37.5,tFinal,21.14,2018-07-10T19:19:00Z,DEJU-20180710-BRef1,9.99,100,2018-07-10T21:00:00Z,OK,NA,kring@battelleecology.org,jormerod@battelleecology.org,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,DEJU,2018,ntr_internalLab
