uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
efe94b68-0ee8-463d-9c99-e7d25447c109,D19,DEJU,DEJU_047,DEJU_047.basePlot.bgc,tower,evergreenForest,NA,2.5,32.5,WGS84,63.88224,-145.739248,20.2,505.2,0.29,NEON.DOC.014048vK,2018-06-21T19:04:00Z,2018-07-11T18:48:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,DEJU_047-O-2.5-32.5-20180711,A00000029421,NA,O,NA,3.7,4.5,0,5,entire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anovella@battelleecology.org,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,DEJU,2018,sls_soilCoreCollection
4c775eb5-6aa4-403a-95fa-f2bda7fc50e2,D19,DEJU,DEJU_047,DEJU_047.basePlot.bgc,tower,evergreenForest,NA,2.5,32.5,WGS84,63.88224,-145.739248,20.2,505.2,0.29,NEON.DOC.014048vK,2018-06-21T19:20:00Z,2018-07-11T18:48:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,DEJU_047-M-2.5-32.5-20180711,A00000029422,NA,M,NA,3.7,4.5,5,16,obstruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Obstruction of frozen soil at 16cm,anovella@battelleecology.org,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,DEJU,2018,sls_soilCoreCollection
0080ee24-e214-4e97-941a-792db51898b3,D19,DEJU,DEJU_047,DEJU_047.basePlot.bgc,tower,evergreenForest,NA,32,18.5,WGS84,63.88224,-145.739248,20.2,505.2,0.29,NEON.DOC.014048vK,2018-06-21T19:45:00Z,2018-07-11T19:11:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,DEJU_047-O-32-18.5-20180711,A00000029403,NA,O,NA,3.3,4.5,0,4,entire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anovella@battelleecology.org,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,DEJU,2018,sls_soilCoreCollection
69a68ebb-5d63-4996-bee3-c05fc83636b2,D19,DEJU,DEJU_047,DEJU_047.basePlot.bgc,tower,evergreenForest,NA,32,18.5,WGS84,63.88224,-145.739248,20.2,505.2,0.29,NEON.DOC.014048vK,2018-06-21T19:56:00Z,2018-07-11T19:10:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,incomplete sample recovery,DEJU_047-M-32-18.5-20180711,A00000029420,NA,M,NA,3.3,4.5,4,18.5,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bottom of the sample below 18.5cm was lost in core hole,anovella@battelleecology.org,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,DEJU,2018,sls_soilCoreCollection
21e35c30-0a05-4c8a-9b38-d3c4180b96f6,D19,DEJU,DEJU_047,DEJU_047.basePlot.bgc,tower,evergreenForest,NA,39,21.5,WGS84,63.88224,-145.739248,20.2,505.2,0.29,NEON.DOC.014048vK,2018-06-21T20:25:00Z,2018-07-11T18:58:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,DEJU_047-O-39-21.5-20180711,A00000029405,NA,O,NA,1.1,7.5,0,6.5,entire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anovella@battelleecology.org,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,DEJU,2018,sls_soilCoreCollection
7e01c564-6813-4575-b790-a1cf57f8acf5,D19,DEJU,DEJU_047,DEJU_047.basePlot.bgc,tower,evergreenForest,NA,39,21.5,WGS84,63.88224,-145.739248,20.2,505.2,0.29,NEON.DOC.014048vK,2018-06-21T20:34:00Z,2018-07-11T19:00:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,DEJU_047-M-39-21.5-20180711,A00000029404,NA,M,NA,1.1,7.5,6.5,22.5,obstruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Obstruction from frozen soil at 22.5cm,anovella@battelleecology.org,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,DEJU,2018,sls_soilCoreCollection
ba638024-58d7-4187-9350-908e9566e30c,D19,DEJU,DEJU_047,DEJU_047.basePlot.bgc,tower,evergreenForest,NA,2.5,32.5,WGS84,63.88224,-145.739248,20.2,505.2,0.29,NEON.DOC.014048vK,2018-06-21T19:04:00Z,2018-06-21T19:04:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,NA,NA,DEJU_047-O-2.5-32.5-20180621,A00000028600,NA,O,NA,1,1.5,0,5,entire,brownie cutter,1,DEJU_047-O-2.5-32.5-20180621-GEN,B00000008166,OK,NA,DEJU_047-O-2.5-32.5-20180621-GA1,C00000010657,NA,DEJU_047-O-2.5-32.5-20180621-GA2,C00000010638,NA,DEJU_047-O-2.5-32.5-20180621-GA3,C00000010647,NA,DEJU_047-O-2.5-32.5-20180621-GA4,C00000010635,NA,DEJU_047-O-2.5-32.5-20180621-GA5,C00000010613,NA,NA,NA,DEJU_047-O-2.5-32.5-20180621-BM,B00000008366,NA,NA,kring@battelleecology.org,NA,20251217T193924Z,RELEASE-2026,DP1.10086.001,DEJU,2018,sls_soilCoreCollection
e42f13fe-52c5-4e7d-a6a0-5898717803c3,D19,DEJU,DEJU_047,DEJU_047.basePlot.bgc,tower,evergreenForest,NA,2.5,32.5,WGS84,63.88224,-145.739248,20.2,505.2,0.29,NEON.DOC.014048vK,2018-06-21T19:20:00Z,2018-06-21T19:20:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,NA,NA,DEJU_047-M-2.5-32.5-20180621,A00000028599,NA,M,NA,1,1.5,5,13.5,obstruction,PVC tube,2,DEJU_047-M-2.5-32.5-20180621-GEN,B00000008167,OK,NA,DEJU_047-M-2.5-32.5-20180621-GA1,C00000010707,NA,DEJU_047-M-2.5-32.5-20180621-GA2,C00000010689,NA,DEJU_047-M-2.5-32.5-20180621-GA3,C00000010716,NA,DEJU_047-M-2.5-32.5-20180621-GA4,C00000010661,NA,DEJU_047-M-2.5-32.5-20180621-GA5,C00000010739,NA,NA,NA,DEJU_047-M-2.5-32.5-20180621-BM,B00000008369,NA,Frozen below 13.5 cm,kring@battelleecology.org,NA,20251217T193924Z,RELEASE-2026,DP1.10086.001,DEJU,2018,sls_soilCoreCollection
fadd58b9-6f29-4337-b16f-7b47e140fb28,D19,DEJU,DEJU_047,DEJU_047.basePlot.bgc,tower,evergreenForest,NA,32,18.5,WGS84,63.88224,-145.739248,20.2,505.2,0.29,NEON.DOC.014048vK,2018-06-21T19:45:00Z,2018-06-21T19:45:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,NA,NA,DEJU_047-O-32-18.5-20180621,A00000028598,NA,O,NA,1.8,1.5,0,8,entire,brownie cutter,1,DEJU_047-O-32-18.5-20180621-GEN,B00000008159,OK,NA,DEJU_047-O-32-18.5-20180621-GA1,C00000010617,NA,DEJU_047-O-32-18.5-20180621-GA2,C00000010569,NA,DEJU_047-O-32-18.5-20180621-GA3,C00000010598,NA,DEJU_047-O-32-18.5-20180621-GA4,C00000010610,NA,DEJU_047-O-32-18.5-20180621-GA5,C00000010592,NA,NA,NA,DEJU_047-O-32-18.5-20180621-BM,B00000008367,NA,NA,kring@battelleecology.org,NA,20251217T193924Z,RELEASE-2026,DP1.10086.001,DEJU,2018,sls_soilCoreCollection
fc020156-cea7-4d2d-a2dc-4b9736eeab43,D19,DEJU,DEJU_047,DEJU_047.basePlot.bgc,tower,evergreenForest,NA,32,18.5,WGS84,63.88224,-145.739248,20.2,505.2,0.29,NEON.DOC.014048vK,2018-06-21T19:56:00Z,2018-06-21T19:56:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,NA,NA,DEJU_047-M-32-18.5-20180621,A00000028597,NA,M,NA,1.8,1.5,8,30.5,maximum,PVC tube,1,DEJU_047-M-32-18.5-20180621-GEN,B00000008165,OK,NA,DEJU_047-M-32-18.5-20180621-GA1,C00000010699,NA,DEJU_047-M-32-18.5-20180621-GA2,C00000010725,NA,DEJU_047-M-32-18.5-20180621-GA3,C00000010676,NA,DEJU_047-M-32-18.5-20180621-GA4,C00000010703,NA,DEJU_047-M-32-18.5-20180621-GA5,C00000010669,NA,NA,NA,DEJU_047-M-32-18.5-20180621-BM,B00000008370,NA,NA,kring@battelleecology.org,NA,20251217T193924Z,RELEASE-2026,DP1.10086.001,DEJU,2018,sls_soilCoreCollection
0e8dd074-0c5a-4bad-be2d-9c3efb60f2c2,D19,DEJU,DEJU_047,DEJU_047.basePlot.bgc,tower,evergreenForest,NA,39,21.5,WGS84,63.88224,-145.739248,20.2,505.2,0.29,NEON.DOC.014048vK,2018-06-21T20:25:00Z,2018-06-21T20:25:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,NA,NA,DEJU_047-O-39-21.5-20180621,A00000028601,NA,O,NA,2.6,2,0,8,entire,brownie cutter,1,DEJU_047-O-39-21.5-20180621-GEN,B00000008168,OK,NA,DEJU_047-O-39-21.5-20180621-GA1,C00000010651,NA,DEJU_047-O-39-21.5-20180621-GA2,C00000010682,NA,DEJU_047-O-39-21.5-20180621-GA3,C00000010633,NA,DEJU_047-O-39-21.5-20180621-GA4,C00000010607,NA,DEJU_047-O-39-21.5-20180621-GA5,C00000010641,NA,NA,NA,DEJU_047-O-39-21.5-20180621-BM,B00000008368,NA,NA,kring@battelleecology.org,NA,20251217T193924Z,RELEASE-2026,DP1.10086.001,DEJU,2018,sls_soilCoreCollection
eccc04a2-2afb-4072-99a8-18b15c15a5b3,D19,DEJU,DEJU_047,DEJU_047.basePlot.bgc,tower,evergreenForest,NA,39,21.5,WGS84,63.88224,-145.739248,20.2,505.2,0.29,NEON.DOC.014048vK,2018-06-21T20:34:00Z,2018-06-21T20:34:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,NA,NA,DEJU_047-M-39-21.5-20180621,A00000028602,NA,M,NA,2.6,2,8,28,maximum,PVC tube,1,DEJU_047-M-39-21.5-20180621-GEN,B00000008169,OK,NA,DEJU_047-M-39-21.5-20180621-GA1,C00000010627,NA,DEJU_047-M-39-21.5-20180621-GA2,C00000010692,NA,DEJU_047-M-39-21.5-20180621-GA3,C00000010710,NA,DEJU_047-M-39-21.5-20180621-GA4,C00000010615,NA,DEJU_047-M-39-21.5-20180621-GA5,C00000010644,NA,NA,NA,DEJU_047-M-39-21.5-20180621-BM,B00000008371,NA,NA,kring@battelleecology.org,NA,20251217T193924Z,RELEASE-2026,DP1.10086.001,DEJU,2018,sls_soilCoreCollection
