uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
14d5ace6-d7ab-4c38-9242-d716ca5a4998,D04,GUAN,GUAN_007,GUAN_007.basePlot.bgc,distributed,evergreenForest,23_400,34,6.5,WGS84,17.972832,-66.857711,20.1,172.4,0.17,NEON.DOC.014048vO,2023-07-26T17:26:00Z,2023-07-26T17:26:00Z,dryWetTransition,conditions not met,GUAN.dryWetTransition.2023-2024,0,No,microbesBiomass,OK,no incubation,NA,GUAN_007-M-23-20230726,A00000199290,N,M,OK,28,7,0,30,maximum,probe,1,GUAN_007-M-23-20230726-GEN,B00000130582,OK,dry ice,NA,D00000220335,NA,NA,D00000220334,NA,NA,D00000220333,NA,NA,D00000220337,NA,NA,D00000220336,NA,dry ice,2 mL vial,GUAN_007-M-23-20230726-BM,B00000130607,OK,Wet season initialized before sampling,0000-0001-8629-4086,NA,20251217T193747Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
4c2bbbc9-a0ae-4c06-9e2a-1754e796daf3,D04,GUAN,GUAN_007,GUAN_007.basePlot.bgc,distributed,evergreenForest,39_400,0.5,39,WGS84,17.972832,-66.857711,20.1,172.4,0.17,NEON.DOC.014048vO,2023-07-26T17:44:00Z,2023-07-26T17:44:00Z,dryWetTransition,conditions not met,GUAN.dryWetTransition.2023-2024,0,No,microbesBiomass,OK,no incubation,NA,GUAN_007-M-39-20230726,A00000199322,N,M,OK,27.6,4,0,18.5,obstruction,probe,2,GUAN_007-M-39-20230726-GEN,B00000130580,OK,dry ice,NA,D00000220345,NA,NA,D00000220347,NA,NA,D00000220343,NA,NA,D00000220344,NA,NA,D00000220346,NA,dry ice,2 mL vial,GUAN_007-M-39-20230726-BM,B00000130599,OK,rock obstruction|Wet season initialized before sampling,0000-0001-8629-4086,NA,20251217T193747Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
e6750a19-dd69-451b-ad32-212d8f7be7e6,D04,GUAN,GUAN_007,GUAN_007.basePlot.bgc,distributed,evergreenForest,41_400,22.5,35.5,WGS84,17.972832,-66.857711,20.1,172.4,0.17,NEON.DOC.014048vO,2023-07-26T18:07:00Z,2023-07-26T18:07:00Z,dryWetTransition,conditions not met,GUAN.dryWetTransition.2023-2024,0,No,microbesBiomass,OK,no incubation,NA,GUAN_007-M-41-20230726,A00000199306,N,M,OK,27.5,7,0,30,maximum,probe,1,GUAN_007-M-41-20230726-GEN,B00000130581,OK,dry ice,NA,D00000220340,NA,NA,D00000220339,NA,NA,D00000220338,NA,NA,D00000220341,NA,NA,D00000220342,NA,dry ice,2 mL vial,GUAN_007-M-41-20230726-BM,B00000130602,OK,Wet season initialized before sampling,0000-0001-8629-4086,NA,20251217T193747Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
f16d5531-ead8-4257-9744-206aeaf899f6,D04,GUAN,GUAN_007,GUAN_007.basePlot.bgc,distributed,evergreenForest,39_400,NA,NA,WGS84,17.972832,-66.857711,20.1,172.4,0.17,NEON.DOC.014048vO,2023-01-17T12:00:00Z,2023-01-17T12:00:00Z,wetDryTransition,conditions not met,GUAN.wetDryTransition.2022-2023,NA,tInitial,microbesBiomass,coordinates not suitable,NA,NA,GUAN_007-39-20230117-COORDINATES NOT SUITABLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rocky side of plot,0000-0001-8629-4086,NA,20251217T193554Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
bef36d89-5a2f-4b02-9343-ae740390fca1,D04,GUAN,GUAN_007,GUAN_007.basePlot.bgc,distributed,evergreenForest,23_400,39.5,7.5,WGS84,17.972832,-66.857711,20.1,172.4,0.17,NEON.DOC.014048vO,2023-01-17T16:12:00Z,2023-01-17T16:12:00Z,wetDryTransition,conditions not met,GUAN.wetDryTransition.2022-2023,0,tInitial,microbesBiomass,OK,no incubation,NA,GUAN_007-M-23-20230117,A00000110857,N,M,OK,22.9,2,0,17.5,NA,probe,2,GUAN_007-M-23-20230117-GEN,B00000077416,OK,dry ice,NA,D00000006750,NA,NA,D00000006769,NA,NA,D00000006795,NA,NA,D00000006793,NA,NA,D00000143532,NA,dry ice,2 mL vial,GUAN_007-M-23-20230117-BM,B00000077303,OK,"still some rain, not quite dry season transition",0000-0001-8629-4086,NA,20251217T193554Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
a71ab668-b48f-4845-aa41-9a2b964cfdfd,D04,GUAN,GUAN_007,GUAN_007.basePlot.bgc,distributed,evergreenForest,23_400,39.5,7.5,WGS84,17.972832,-66.857711,20.1,172.4,0.17,NEON.DOC.014048vO,2023-01-17T16:12:00Z,2023-01-31T15:11:00Z,wetDryTransition,OK - no known exceptions,GUAN.wetDryTransition.2022-2023,0,tFinal,fieldOnly,OK,covered core,OK,GUAN_007-M-23-20230131,A00000198335,N,M,OK,23.1,3.5,0,13,obstruction,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rock obstruction,0000-0002-4067-8225,NA,20251217T193554Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
9c294a34-2254-4bd1-927b-aa0c39bc2042,D04,GUAN,GUAN_007,GUAN_007.basePlot.bgc,distributed,evergreenForest,21_400,13,4,WGS84,17.972832,-66.857711,20.1,172.4,0.17,NEON.DOC.014048vO,2023-01-17T16:41:00Z,2023-01-17T16:41:00Z,wetDryTransition,conditions not met,GUAN.wetDryTransition.2022-2023,0,tInitial,microbesBiomass,OK,no incubation,NA,GUAN_007-M-21-20230117,A00000198306,N,M,OK,23.4,4,0,25,NA,probe,1,GUAN_007-M-21-20230117-GEN,B00000077413,OK,dry ice,NA,D00000006754,NA,NA,D00000006763,NA,NA,D00000006584,NA,NA,D00000006753,NA,NA,D00000006567,NA,dry ice,2 mL vial,GUAN_007-M-21-20230117-BM,B00000077306,OK,"still some rain, not quite dry season transition",0000-0001-8629-4086,NA,20251217T193554Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
bc847d92-6024-45fa-a5ad-e36cfa07f2d9,D04,GUAN,GUAN_007,GUAN_007.basePlot.bgc,distributed,evergreenForest,21_400,13,4,WGS84,17.972832,-66.857711,20.1,172.4,0.17,NEON.DOC.014048vO,2023-01-17T16:41:00Z,2023-01-31T15:16:00Z,wetDryTransition,OK - no known exceptions,GUAN.wetDryTransition.2022-2023,0,tFinal,fieldOnly,OK,covered core,OK,GUAN_007-M-21-20230131,A00000198336,N,M,OK,23.1,3,0,15,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4067-8225,NA,20251217T193554Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
877f0da0-1cf1-426b-be92-f798cf3a9bde,D04,GUAN,GUAN_007,GUAN_007.basePlot.bgc,distributed,evergreenForest,23_400,37,2,WGS84,17.972832,-66.857711,20.1,172.4,0.17,NEON.DOC.014048vO,2023-08-31T14:57:00Z,2023-08-31T14:57:00Z,peakGreenness,OK - schedule change but conditions met,GUAN.peakGreenness.2023-2024,0,No,microbesBiomass,OK,no incubation,NA,GUAN_007-M-23-20230831,A00000199342,N,M,OK,28.5,3,0,20.5,obstruction,probe,2,GUAN_007-M-23-20230831-GEN,B00000077890,OK,dry ice,NA,C00000066110,NA,NA,C00000066358,NA,NA,C00000066375,NA,NA,C00000066407,NA,NA,C00000066317,NA,dry ice,5 mL vial,GUAN_007-M-23-20230831-BM,B00000077939,OK,rock obstruction,0000-0001-8485-3403,NA,20251217T193915Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
087ab1ab-9d02-44a5-874a-2cc5788af0a0,D04,GUAN,GUAN_007,GUAN_007.basePlot.bgc,distributed,evergreenForest,21_400,0,17.5,WGS84,17.972832,-66.857711,20.1,172.4,0.17,NEON.DOC.014048vO,2023-08-31T15:40:00Z,2023-08-31T15:40:00Z,peakGreenness,OK - schedule change but conditions met,GUAN.peakGreenness.2023-2024,0,No,microbesBiomass,OK,no incubation,NA,GUAN_007-M-21-20230831,A00000199343,N,M,OK,28.4,2,0,28,maximum,probe,2,GUAN_007-M-21-20230831-GEN,B00000077891,OK,dry ice,NA,C00000068586,NA,NA,C00000068590,NA,NA,C00000068582,NA,NA,C00000068589,NA,NA,C00000068583,NA,dry ice,5 mL vial,GUAN_007-M-21-20230831-BM,B00000077941,OK,NA,0000-0001-8485-3403,NA,20251217T193915Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
9741ce81-e832-4fdb-9e79-bd703561b547,D04,GUAN,GUAN_007,GUAN_007.basePlot.bgc,distributed,evergreenForest,39_400,4.5,35.5,WGS84,17.972832,-66.857711,20.1,172.4,0.17,NEON.DOC.014048vO,2023-08-31T16:14:00Z,2023-08-31T16:14:00Z,peakGreenness,OK - schedule change but conditions met,GUAN.peakGreenness.2023-2024,0,No,microbesBiomass,OK,no incubation,NA,GUAN_007-M-39-20230831,A00000199561,N,M,OK,28.7,3,0,30,maximum,probe,1,GUAN_007-M-39-20230831-GEN,B00000077892,OK,dry ice,NA,C00000066162,NA,NA,C00000020944,NA,NA,C00000066142,NA,NA,C00000066172,NA,NA,C00000066315,NA,dry ice,5 mL vial,GUAN_007-M-39-20230831-BM,B00000077940,OK,NA,0000-0001-8485-3403,NA,20251217T193915Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
