uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
d36892a0-7864-486d-bd7c-97e1e22d9113,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T17:16:00Z,2018-04-17T17:16:00Z,NEON.DOC.014048vK,HARV_021-O-1-22.5-20180417,A00000001283,HARV_021-O-1-22.5-20180417-KCL,B00000006291,HARV_021-O-1-22.5,tInitial,0,2018-04-18T16:24:00Z,HARV-20180418-BRef1,10.3,100,2018-04-18T19:00:00Z,OK,NA,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
859d162b-8e0a-4204-a60e-749cae15b322,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T17:26:00Z,2018-04-17T17:26:00Z,NEON.DOC.014048vK,HARV_021-M-1-22.5-20180417,A00000001262,HARV_021-M-1-22.5-20180417-KCL,B00000006275,HARV_021-M-1-22.5,tInitial,0,2018-04-18T13:26:00Z,HARV-20180418-BRef1,10.05,100,2018-04-18T18:00:00Z,OK,NA,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
b7533a76-03ea-4df9-91ed-84b72deeabf6,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T17:43:00Z,2018-04-17T17:43:00Z,NEON.DOC.014048vK,HARV_021-O-16.5-6-20180417,A00000001282,HARV_021-O-16.5-6-20180417-KCL,B00000006309,HARV_021-O-16.5-6,tInitial,0,2018-04-18T16:20:00Z,HARV-20180418-BRef1,10.1,100,2018-04-18T19:00:00Z,OK,NA,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
6cb55879-3d14-4e61-b7e3-25de4649cb02,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T17:52:00Z,2018-04-17T17:52:00Z,NEON.DOC.014048vK,HARV_021-M-16.5-6-20180417,A00000001261,HARV_021-M-16.5-6-20180417-KCL,B00000006319,HARV_021-M-16.5-6,tInitial,0,2018-04-18T14:26:00Z,HARV-20180418-BRef1,10.04,100,2018-04-18T18:00:00Z,OK,NA,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
a7b798e0-65f2-4ace-ae00-9c55346e55e0,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T18:10:00Z,2018-04-17T18:10:00Z,NEON.DOC.014048vK,HARV_021-O-28.5-1-20180417,A00000001281,HARV_021-O-28.5-1-20180417-KCL,B00000006285,HARV_021-O-28.5-1,tInitial,0,2018-04-18T16:15:00Z,HARV-20180418-BRef1,10.1,100,2018-04-18T19:00:00Z,OK,NA,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
e32e84c8-e7c8-4e50-bd62-01224e4806ce,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T18:21:00Z,2018-04-17T18:21:00Z,NEON.DOC.014048vK,HARV_021-M-28.5-1-20180417,A00000001260,HARV_021-M-28.5-1-20180417-KCL,B00000006320,HARV_021-M-28.5-1,tInitial,0,2018-04-18T14:08:00Z,HARV-20180418-BRef1,10.09,100,2018-04-18T18:00:00Z,OK,NA,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
6fb2d762-e389-4c79-bff5-b11058f42445,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T17:16:00Z,2018-05-07T17:42:00Z,NEON.DOC.014048vK,HARV_021-O-1-22.5-20180507,A00000000622,HARV_021-O-1-22.5-20180507-KCL,B00000007152,HARV_021-O-1-22.5,tFinal,20.02,2018-05-08T16:10:00Z,HARV-20180508-BRef1,10.44,100,2018-05-08T19:00:00Z,OK,NA,gvanscoy@field-ops.org,jwebber@field-ops.org,NA,20251217T193843Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
b3f11287-9c78-48f3-ae2f-a94ad3ee964c,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T17:26:00Z,2018-05-07T17:42:00Z,NEON.DOC.014048vK,HARV_021-M-1-22.5-20180507,A00000000690,HARV_021-M-1-22.5-20180507-KCL,B00000007125,HARV_021-M-1-22.5,tFinal,20.01,2018-05-08T16:07:00Z,HARV-20180508-BRef1,10.33,100,2018-05-08T19:00:00Z,OK,NA,gvanscoy@field-ops.org,jwebber@field-ops.org,NA,20251217T193843Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
d7e3648e-9222-4cd1-aac3-0ebb52404e3c,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T17:43:00Z,2018-05-07T18:03:00Z,NEON.DOC.014048vK,HARV_021-O-16.5-6-20180507,A00000000639,HARV_021-O-16.5-6-20180507-KCL,B00000007154,HARV_021-O-16.5-6,tFinal,20.01,2018-05-08T16:08:00Z,HARV-20180508-BRef1,10.12,100,2018-05-08T19:00:00Z,OK,NA,gvanscoy@field-ops.org,jwebber@field-ops.org,NA,20251217T193843Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
e53f0d09-dd34-46e7-9b7f-daafb835e656,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T17:52:00Z,2018-05-07T18:04:00Z,NEON.DOC.014048vK,HARV_021-M-16.5-6-20180507,A00000000656,HARV_021-M-16.5-6-20180507-KCL,B00000007127,HARV_021-M-16.5-6,tFinal,20.01,2018-05-08T16:07:00Z,HARV-20180508-BRef1,10.14,100,2018-05-08T19:00:00Z,OK,NA,gvanscoy@field-ops.org,jwebber@field-ops.org,NA,20251217T193843Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
