uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
0fa94103-f97a-4301-b4c4-3ee7c1830d87,KONA_057.basePlot.bgc,D06,KONA,KONA_057,tower,2024-04-08T17:44:00Z,2024-04-08T17:44:00Z,NEON.DOC.014048vP,KONA_057-M-21-20240408,A00000438595,KONA_057-M-21-20240408-KCL,B00000164542,KONA_057-M-21-winterSpringTransition-2024,tInitial,0,2024-04-09T13:59:00Z,KONA-20240409-BREF1,10.2,100,2024-04-09T16:00:00Z,OK,NA,0000-0002-9557-1628,0009-0004-6645-8978,NA,20251217T193947Z,RELEASE-2026,DP1.10086.001,KONA,2024,ntr_internalLab
aec7d5de-8846-4d40-905f-263a91f1e56a,KONA_057.basePlot.bgc,D06,KONA,KONA_057,tower,2024-04-08T18:33:00Z,2024-04-08T18:33:00Z,NEON.DOC.014048vP,KONA_057-M-23-20240408,A00000438652,KONA_057-M-23-20240408-KCL,B00000164562,KONA_057-M-23-winterSpringTransition-2024,tInitial,0,2024-04-09T14:00:00Z,KONA-20240409-BREF1,10.1,100,2024-04-09T16:00:00Z,OK,NA,0000-0002-9557-1628,0009-0004-6645-8978,NA,20251217T193947Z,RELEASE-2026,DP1.10086.001,KONA,2024,ntr_internalLab
cf0a6462-68f0-46ef-9c82-dbca82310d6a,KONA_057.basePlot.bgc,D06,KONA,KONA_057,tower,2024-04-08T19:08:00Z,2024-04-08T19:08:00Z,NEON.DOC.014048vP,KONA_057-M-39-20240408,A00000438651,KONA_057-M-39-20240408-KCL,B00000164563,KONA_057-M-39-winterSpringTransition-2024,tInitial,0,2024-04-09T14:02:00Z,KONA-20240409-BREF1,10.02,101,2024-04-09T16:00:00Z,OK,NA,0000-0002-9557-1628,0009-0004-6645-8978,NA,20251217T193947Z,RELEASE-2026,DP1.10086.001,KONA,2024,ntr_internalLab
5780180e-cf45-45de-ada1-5a5bde61b8a8,KONA_057.basePlot.bgc,D06,KONA,KONA_057,tower,2024-04-08T17:44:00Z,2024-05-06T15:37:00Z,NEON.DOC.014048vP,KONA_057-M-21-20240506,A00000438737,KONA_057-M-21-20240506-KCL,B00000164684,KONA_057-M-21-winterSpringTransition-2024,tFinal,27.91,2024-05-07T14:47:00Z,KONA-20240507-BREF1,10.13,99,2024-05-07T17:00:00Z,OK,NA,0009-0005-4841-3896,0009-0005-4841-3896,NA,20251217T193838Z,RELEASE-2026,DP1.10086.001,KONA,2024,ntr_internalLab
3c090f81-9ae0-46c5-bcb8-15e0897f1695,KONA_057.basePlot.bgc,D06,KONA,KONA_057,tower,2024-04-08T18:33:00Z,2024-05-06T15:26:00Z,NEON.DOC.014048vP,KONA_057-M-23-20240506,A00000438738,KONA_057-M-23-20240506-KCL,B00000164685,KONA_057-M-23-winterSpringTransition-2024,tFinal,27.87,2024-05-07T14:49:00Z,KONA-20240507-BREF1,10.28,99,2024-05-07T17:00:00Z,OK,NA,0009-0005-4841-3896,0009-0005-4841-3896,NA,20251217T193838Z,RELEASE-2026,DP1.10086.001,KONA,2024,ntr_internalLab
c86a971d-2b58-47b5-9ccc-da7a3a288656,KONA_057.basePlot.bgc,D06,KONA,KONA_057,tower,2024-04-08T19:08:00Z,2024-05-06T15:46:00Z,NEON.DOC.014048vP,KONA_057-M-39-20240506,A00000438739,KONA_057-M-39-20240506-KCL,B00000164686,KONA_057-M-39-winterSpringTransition-2024,tFinal,27.86,2024-05-07T14:50:00Z,KONA-20240507-BREF1,10.29,99,2024-05-07T17:00:00Z,OK,NA,0009-0005-4841-3896,0009-0005-4841-3896,NA,20251217T193838Z,RELEASE-2026,DP1.10086.001,KONA,2024,ntr_internalLab
cf057d6b-20bb-4423-91ea-545ce8a3f567,KONA_057.basePlot.bgc,D06,KONA,KONA_057,tower,2024-06-17T14:23:00Z,2024-06-17T14:23:00Z,NEON.DOC.014048vP,KONA_057-M-21-20240617,A00000439211,KONA_057-M-21-20240617-KCL,B00000193194,KONA_057-M-21-peakGreenness-2024,tInitial,0,2024-06-18T14:36:00Z,KONA-20240618-BREF1,10.23,99,2024-06-18T17:00:00Z,extract thawed but cold,Freezer left open for 4 hours by accident,0009-0005-4841-3896,0009-0003-8956-9905,NA,20251217T193919Z,RELEASE-2026,DP1.10086.001,KONA,2024,ntr_internalLab
881a34b0-2e89-443d-aeac-f0ddaeda8c79,KONA_057.basePlot.bgc,D06,KONA,KONA_057,tower,2024-06-17T15:00:00Z,2024-06-17T15:00:00Z,NEON.DOC.014048vP,KONA_057-M-41-20240617,A00000439216,KONA_057-M-41-20240617-KCL,B00000193195,KONA_057-M-41-peakGreenness-2024,tInitial,0,2024-06-18T14:38:00Z,KONA-20240618-BREF1,10.48,100,2024-06-18T17:00:00Z,extract thawed but cold,Freezer left open for 4 hours by accident,0009-0005-4841-3896,0009-0003-8956-9905,NA,20251217T193919Z,RELEASE-2026,DP1.10086.001,KONA,2024,ntr_internalLab
2b016d7b-b3ea-4c08-a712-13d5e9fec1a5,KONA_057.basePlot.bgc,D06,KONA,KONA_057,tower,2024-06-17T15:51:00Z,2024-06-17T15:51:00Z,NEON.DOC.014048vP,KONA_057-M-23-20240617,A00000439212,KONA_057-M-23-20240617-KCL,B00000193196,KONA_057-M-23-peakGreenness-2024,tInitial,0,2024-06-18T14:37:00Z,KONA-20240618-BREF1,9.87,99,2024-06-18T17:00:00Z,extract thawed but cold,Freezer left open for 4 hours by accident,0009-0005-4841-3896,0009-0003-8956-9905,NA,20251217T193919Z,RELEASE-2026,DP1.10086.001,KONA,2024,ntr_internalLab
aeceac83-b49c-41db-8cec-d048dd2fe04f,KONA_057.basePlot.bgc,D06,KONA,KONA_057,tower,2024-06-17T14:23:00Z,2024-07-15T13:22:00Z,NEON.DOC.014048vP,KONA_057-M-21-20240715,A00000439957,KONA_057-M-21-20240715-KCL,B00000193263,KONA_057-M-21-peakGreenness-2024,tFinal,27.96,2024-07-16T13:33:00Z,KONA-20240716-BREF1,10.01,99,2024-07-16T16:00:00Z,extract thawed but cold,Freezer left open for 4 hours by accident,0009-0003-8956-9905,0009-0002-7676-5328,NA,20251217T194035Z,RELEASE-2026,DP1.10086.001,KONA,2024,ntr_internalLab
