uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
1d0b3c4d-ac29-42ff-8664-acf24fe0346b,LENO_061.basePlot.bgc,D08,LENO,LENO_061,tower,2018-04-25T15:11:00Z,2018-04-25T15:11:00Z,NEON.DOC.014048vK,LENO_061-M-5.5-16.5-20180425,NA,LENO_061-M-5.5-16.5-20180425-KCL,B00000003534,LENO_061-M-5.5-16.5,tInitial,0,2018-04-26T16:00:00Z,LENO-20180426-BRef1,10.07,100,2018-04-26T19:00:00Z,OK,NA,charrell@battelleecology.org,jwhite@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_internalLab
4c0741ca-291c-4aa7-a65d-567da7394783,LENO_061.basePlot.bgc,D08,LENO,LENO_061,tower,2018-04-25T15:26:00Z,2018-04-25T15:26:00Z,NEON.DOC.014048vK,LENO_061-M-35.5-17.5-20180425,NA,LENO_061-M-35.5-17.5-20180425-KCL,B00000003533,LENO_061-M-35.5-17.5,tInitial,0,2018-04-26T16:00:00Z,LENO-20180426-BRef1,10.4,100,2018-04-26T19:00:00Z,OK,NA,charrell@battelleecology.org,jwhite@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_internalLab
6ab86364-e3c3-4cb7-ba2a-6d15c780ba8c,LENO_061.basePlot.bgc,D08,LENO,LENO_061,tower,2018-04-25T15:44:00Z,2018-04-25T15:44:00Z,NEON.DOC.014048vK,LENO_061-M-39.5-27-20180425,NA,LENO_061-M-39.5-27-20180425-KCL,B00000003540,LENO_061-M-39.5-27,tInitial,0,2018-04-26T16:00:00Z,LENO-20180426-BRef1,9.55,100,2018-04-26T19:00:00Z,OK,NA,charrell@battelleecology.org,jwhite@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_internalLab
79bac6e5-c7bf-4126-bf99-2636377f925d,LENO_061.basePlot.bgc,D08,LENO,LENO_061,tower,2018-04-25T15:11:00Z,2018-05-14T15:13:00Z,NEON.DOC.014048vK,LENO_061-M-5.5-16.5-20180514,NA,LENO_061-M-5.5-16.5-20180514-KCL,B00000003580,LENO_061-M-5.5-16.5,tFinal,19,2018-05-15T17:00:00Z,LENO-20180515-BRef1,10.18,100,2018-05-15T19:00:00Z,OK,NA,csantiago@battelleecology.org,kjones01@battelleecology.org,NA,20251217T193809Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_internalLab
5b739635-9a6d-41c9-bae7-0fe4dc3ca663,LENO_061.basePlot.bgc,D08,LENO,LENO_061,tower,2018-04-25T15:26:00Z,2018-05-14T15:02:00Z,NEON.DOC.014048vK,LENO_061-M-35.5-17.5-20180514,NA,LENO_061-M-35.5-17.5-20180514-KCL,B00000003582,LENO_061-M-35.5-17.5,tFinal,18.98,2018-05-15T17:00:00Z,LENO-20180515-BRef1,10.06,100,2018-05-15T19:00:00Z,OK,NA,csantiago@battelleecology.org,kjones01@battelleecology.org,NA,20251217T193809Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_internalLab
8d66a3ce-c978-4dcc-b7c4-40608f57e5ca,LENO_061.basePlot.bgc,D08,LENO,LENO_061,tower,2018-04-25T15:44:00Z,2018-05-14T14:55:00Z,NEON.DOC.014048vK,LENO_061-M-39.5-27-20180514,NA,LENO_061-M-39.5-27-20180514-KCL,B00000003583,LENO_061-M-39.5-27,tFinal,18.97,2018-05-15T17:00:00Z,LENO-20180515-BRef1,10.18,100,2018-05-15T19:00:00Z,OK,NA,csantiago@battelleecology.org,kjones01@battelleecology.org,NA,20251217T193809Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_internalLab
c09b0545-b091-45f6-9fbe-527c22f9716f,LENO_061.basePlot.bgc,D08,LENO,LENO_061,tower,2018-07-09T14:10:00Z,2018-07-09T14:10:00Z,NEON.DOC.014048vK,LENO_061-M-26-38-20180709,NA,LENO_061-M-26-38-20180709-KCL,B00000003742,LENO_061-M-26-38,tInitial,0,2018-07-10T15:55:00Z,LENO-20180710-BRef1,10.07,100,2018-07-10T20:00:00Z,OK,NA,jwhite@battelleecology.org,kjones01@battelleecology.org,NA,20251217T193803Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_internalLab
6a6b9406-1d24-4529-84ac-a308fd08337b,LENO_061.basePlot.bgc,D08,LENO,LENO_061,tower,2018-07-09T14:10:00Z,2018-07-31T15:27:00Z,NEON.DOC.014048vK,LENO_061-M-26-38-20180731,NA,LENO_061-M-26-38-20180731-KCL,B00000003959,LENO_061-M-26-38,tFinal,22.05,2018-08-01T16:00:00Z,LENO-20180801-BRef2,10.32,100,2018-08-01T18:00:00Z,OK,NA,kjones01@battelleecology.org,kjones01@battelleecology.org,NA,20251217T193803Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_internalLab
31aeb7e3-c077-4923-997d-781fa35f28e1,LENO_061.basePlot.bgc,D08,LENO,LENO_061,tower,2018-07-09T14:33:00Z,2018-07-09T14:33:00Z,NEON.DOC.014048vK,LENO_061-M-10.5-32.5-20180709,NA,LENO_061-M-10.5-32.5-20180709-KCL,B00000003789,LENO_061-M-10.5-32.5,tInitial,0,2018-07-10T15:33:00Z,LENO-20180710-BRef1,10.14,100,2018-07-10T20:00:00Z,OK,NA,jwhite@battelleecology.org,kjones01@battelleecology.org,NA,20251217T193803Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_internalLab
2384b6c7-1256-46fc-8c88-bbc92f4dac5e,LENO_061.basePlot.bgc,D08,LENO,LENO_061,tower,2018-07-09T14:33:00Z,2018-07-31T15:44:00Z,NEON.DOC.014048vK,LENO_061-M-10.5-32.5-20180731,NA,LENO_061-M-10.5-32.5-20180731-KCL,B00000003958,LENO_061-M-10.5-32.5,tFinal,22.05,2018-08-01T16:00:00Z,LENO-20180801-BRef2,10.24,100,2018-08-01T18:00:00Z,OK,NA,kjones01@battelleecology.org,kjones01@battelleecology.org,NA,20251217T193803Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_internalLab
