uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
991e56cd-ce9d-4a80-baad-cef477e838b3,D11,OAES,OAES_004,OAES_004.basePlot.bgc,distributed,grasslandHerbaceous,NA,36,38.5,WGS84,35.41213,-99.085338,20.1,507.5,0.1,NEON.DOC.014048vJ,2018-04-03T19:04:00Z,2018-04-03T19:04:00Z,dryWetTransition,NA,NA,0,tInitial,microbesBiomass,NA,NA,NA,OAES_004-M-36-38.5-20180403,NA,NA,M,NA,12,0,0,30,maximum,auger,1,OAES_004-M-36-38.5-20180403-GEN,B00000001133,OK,NA,OAES_004-M-36-38.5-20180403-GA1,C00000006268,NA,OAES_004-M-36-38.5-20180403-GA2,C00000006272,NA,OAES_004-M-36-38.5-20180403-GA3,C00000006271,NA,OAES_004-M-36-38.5-20180403-GA4,C00000006270,NA,OAES_004-M-36-38.5-20180403-GA5,C00000006269,NA,NA,NA,OAES_004-M-36-38.5-20180403-BM,B00000001032,NA,NA,cwatson@battelleecology.org,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,OAES,2018,sls_soilCoreCollection
cfaae79a-d0cf-4ac2-a581-e0b47d09f790,D11,OAES,OAES_004,OAES_004.basePlot.bgc,distributed,grasslandHerbaceous,NA,36,38.5,WGS84,35.41213,-99.085338,20.1,507.5,0.1,NEON.DOC.014048vK,2018-04-03T19:04:00Z,2018-04-24T20:38:00Z,dryWetTransition,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,OAES_004-M-36-38.5-20180424,NA,NA,M,NA,19.4,0,0,25.5,obstruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vguerrero@battelleecology.org,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,OAES,2018,sls_soilCoreCollection
6b69786a-96af-4521-9ae1-d43f40fb47e4,D11,OAES,OAES_004,OAES_004.basePlot.bgc,distributed,grasslandHerbaceous,NA,1,30,WGS84,35.41213,-99.085338,20.1,507.5,0.1,NEON.DOC.014048vJ,2018-04-03T19:35:00Z,2018-04-03T19:35:00Z,dryWetTransition,NA,NA,0,tInitial,microbesBiomass,NA,NA,NA,OAES_004-M-1-30-20180403,NA,NA,M,NA,12.3,0,0,30,maximum,auger,1,OAES_004-M-1-30-20180403-GEN,B00000001131,OK,NA,OAES_004-M-1-30-20180403-GA1,C00000006262,NA,OAES_004-M-1-30-20180403-GA2,C00000006259,NA,OAES_004-M-1-30-20180403-GA3,C00000006260,NA,OAES_004-M-1-30-20180403-GA4,C00000006261,NA,OAES_004-M-1-30-20180403-GA5,C00000006258,NA,NA,NA,OAES_004-M-1-30-20180403-BM,B00000001029,NA,NA,cwatson@battelleecology.org,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,OAES,2018,sls_soilCoreCollection
256de550-f7d7-4aed-b688-2f5175448d90,D11,OAES,OAES_004,OAES_004.basePlot.bgc,distributed,grasslandHerbaceous,NA,1,30,WGS84,35.41213,-99.085338,20.1,507.5,0.1,NEON.DOC.014048vK,2018-04-03T19:35:00Z,2018-04-24T21:10:00Z,dryWetTransition,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,OAES_004-M-1-30-20180424,NA,NA,M,NA,21.3,0,0,29.5,maximum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vguerrero@battelleecology.org,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,OAES,2018,sls_soilCoreCollection
8df96835-6af8-4e0b-8481-f7128194758f,D11,OAES,OAES_004,OAES_004.basePlot.bgc,distributed,grasslandHerbaceous,NA,34.5,5,WGS84,35.41213,-99.085338,20.1,507.5,0.1,NEON.DOC.014048vJ,2018-04-03T20:04:00Z,2018-04-03T20:04:00Z,dryWetTransition,NA,NA,0,tInitial,microbesBiomass,NA,NA,NA,OAES_004-M-34.5-5-20180403,NA,NA,M,NA,13.5,0,0,30,maximum,auger,1,OAES_004-M-34.5-5-20180403-GEN,B00000001132,OK,NA,OAES_004-M-34.5-5-20180403-GA1,C00000006264,NA,OAES_004-M-34.5-5-20180403-GA2,C00000006263,NA,OAES_004-M-34.5-5-20180403-GA3,C00000006266,NA,OAES_004-M-34.5-5-20180403-GA4,C00000006267,NA,OAES_004-M-34.5-5-20180403-GA5,C00000006265,NA,NA,NA,OAES_004-M-34.5-5-20180403-BM,B00000001030,NA,NA,cwatson@battelleecology.org,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,OAES,2018,sls_soilCoreCollection
df6a2af5-c63b-438e-8032-b0e86698ffcf,D11,OAES,OAES_004,OAES_004.basePlot.bgc,distributed,grasslandHerbaceous,NA,34.5,5,WGS84,35.41213,-99.085338,20.1,507.5,0.1,NEON.DOC.014048vK,2018-04-03T20:04:00Z,2018-04-24T20:55:00Z,dryWetTransition,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,OAES_004-M-34.5-5-20180424,NA,NA,M,NA,22,0,0,29,maximum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vguerrero@battelleecology.org,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,OAES,2018,sls_soilCoreCollection
03f696c7-681b-4770-af19-7e605005a3c7,D11,OAES,OAES_004,OAES_004.basePlot.bgc,distributed,grasslandHerbaceous,NA,39,33.5,WGS84,35.41213,-99.085338,20.1,507.5,0.1,NEON.DOC.014048vK,2018-05-29T19:42:00Z,2018-05-29T19:42:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,NA,NA,OAES_004-M-39-33.5-20180529,A00000021651,NA,M,NA,26.2,0,0,27,maximum,auger,1,OAES_004-M-39-33.5-20180529-GEN,B00000001341,OK,NA,OAES_004-M-39-33.5-20180529-GA1,C00000006583,NA,OAES_004-M-39-33.5-20180529-GA2,C00000006584,NA,OAES_004-M-39-33.5-20180529-GA3,C00000006585,NA,OAES_004-M-39-33.5-20180529-GA4,C00000006586,NA,OAES_004-M-39-33.5-20180529-GA5,C00000006587,NA,NA,NA,OAES_004-M-39-33.5-20180529-BM,B00000001360,NA,NA,nfuchs@battelleecology.org,NA,20251217T193830Z,RELEASE-2026,DP1.10086.001,OAES,2018,sls_soilCoreCollection
73cb8fb5-d970-4604-a20b-86872e12b13a,D11,OAES,OAES_004,OAES_004.basePlot.bgc,distributed,grasslandHerbaceous,NA,32.5,13,WGS84,35.41213,-99.085338,20.1,507.5,0.1,NEON.DOC.014048vK,2018-05-29T20:03:00Z,2018-05-29T20:03:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,NA,NA,OAES_004-M-32.5-13-20180529,A00000021653,NA,M,NA,26.4,0,0,31.5,maximum,auger,1,OAES_004-M-32.5-13-20180529-GEN,B00000001340,OK,NA,OAES_004-M-32.5-13-20180529-GA1,C00000006565,NA,OAES_004-M-32.5-13-20180529-GA2,C00000006566,NA,OAES_004-M-32.5-13-20180529-GA3,C00000006567,NA,OAES_004-M-32.5-13-20180529-GA4,C00000006570,NA,OAES_004-M-32.5-13-20180529-GA5,C00000006576,NA,NA,NA,OAES_004-M-32.5-13-20180529-BM,B00000001362,NA,NA,nfuchs@battelleecology.org,NA,20251217T193830Z,RELEASE-2026,DP1.10086.001,OAES,2018,sls_soilCoreCollection
781ff05a-5163-4338-aaa6-e6ca59bfe43d,D11,OAES,OAES_004,OAES_004.basePlot.bgc,distributed,grasslandHerbaceous,NA,6,17.5,WGS84,35.41213,-99.085338,20.1,507.5,0.1,NEON.DOC.014048vK,2018-05-29T20:27:00Z,2018-05-29T20:27:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,NA,NA,OAES_004-M-6-17.5-20180529,A00000021652,NA,M,NA,25.2,0,0,28,maximum,auger,1,OAES_004-M-6-17.5-20180529-GEN,B00000001342,OK,NA,OAES_004-M-6-17.5-20180529-GA1,C00000006582,NA,OAES_004-M-6-17.5-20180529-GA2,C00000006581,NA,OAES_004-M-6-17.5-20180529-GA3,C00000006554,NA,OAES_004-M-6-17.5-20180529-GA4,C00000006579,NA,OAES_004-M-6-17.5-20180529-GA5,C00000006577,NA,NA,NA,OAES_004-M-6-17.5-20180529-BM,B00000001361,NA,NA,nfuchs@battelleecology.org,NA,20251217T193830Z,RELEASE-2026,DP1.10086.001,OAES,2018,sls_soilCoreCollection
2fdad60a-64bf-4986-9e43-07a5db42be38,D11,OAES,OAES_004,OAES_004.basePlot.bgc,distributed,grasslandHerbaceous,NA,39,33.5,WGS84,35.41213,-99.085338,20.1,507.5,0.1,NEON.DOC.014048vK,2018-05-29T19:42:00Z,2018-06-18T22:41:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,OAES_004-M-39-33.5-20180618,NA,NA,M,NA,34.1,0,0,27,obstruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bedrock,mjohnson01@battelleecology.org,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,OAES,2018,sls_soilCoreCollection
