uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
0b60a223-7bba-4abb-9efd-81e0ff9cc178,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-07-08T16:19:00Z,2021-07-08T16:19:00Z,NEON.DOC.014048vN,OSBS_004-M-3-35-20210708,A00000315895,OSBS_004-M-3-35-20210708-KCL,B00000065426,OSBS_004-M-3-35,tInitial,0,2021-07-09T15:00:00Z,OSBS-20210709-BRef2,4.99,50,2021-07-09T16:00:00Z,OK,NA,0000-0001-6893-5601,0000-0001-6893-5601,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
170cb3bd-6b25-4893-8319-bfbf157eb090,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-07-08T16:19:00Z,2021-07-26T17:43:00Z,NEON.DOC.014048vN,OSBS_004-M-3-35-20210726,A00000140584,OSBS_004-M-3-35-20210726-KCL,B00000065423,OSBS_004-M-3-35,tFinal,18.06,2021-07-28T14:00:00Z,OSBS-20210728-BRef2,5.05,50,2021-07-28T15:00:00Z,OK,NA,0000-0001-8642-686X,0000-0001-6893-5601,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
b62e26b2-80dd-400d-996f-8db7ea40f029,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-07-08T16:40:00Z,2021-07-08T16:40:00Z,NEON.DOC.014048vN,OSBS_004-M-34.5-24.5-20210708,A00000315894,OSBS_004-M-34.5-24.5-20210708-KCL,B00000065436,OSBS_004-M-34.5-24.5,tInitial,0,2021-07-09T15:00:00Z,OSBS-20210709-BRef2,4.98,50,2021-07-09T16:00:00Z,OK,NA,0000-0001-6893-5601,0000-0001-6893-5601,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
ef0ced6e-17fc-463e-ae07-17fe2beca9f9,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-07-08T16:40:00Z,2021-07-26T17:45:00Z,NEON.DOC.014048vN,OSBS_004-M-34.5-24.5-20210726,A00000140585,OSBS_004-M-34.5-24.5-20210726-KCL,B00000065422,OSBS_004-M-34.5-24.5,tFinal,18.05,2021-07-28T14:00:00Z,OSBS-20210728-BRef2,5.07,50,2021-07-28T15:00:00Z,OK,NA,0000-0001-8642-686X,0000-0001-6893-5601,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
bcc224cc-1f0d-443a-9aec-70a4e48bc5f0,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-07-08T16:59:00Z,2021-07-08T16:59:00Z,NEON.DOC.014048vN,OSBS_004-M-33.5-11-20210708,A00000315893,OSBS_004-M-33.5-11-20210708-KCL,B00000065425,OSBS_004-M-33.5-11,tInitial,0,2021-07-09T15:00:00Z,OSBS-20210709-BRef2,5.23,50,2021-07-09T16:00:00Z,OK,NA,0000-0001-6893-5601,0000-0001-6893-5601,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
532cb2e1-a672-4844-9286-ab42335f7b2c,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-07-08T16:59:00Z,2021-07-26T17:39:00Z,NEON.DOC.014048vN,OSBS_004-M-33.5-11-20210726,A00000140567,OSBS_004-M-33.5-11-20210726-KCL,B00000065424,OSBS_004-M-33.5-11,tFinal,18.03,2021-07-28T14:00:00Z,OSBS-20210728-BRef2,5.02,50,2021-07-28T15:00:00Z,OK,NA,0000-0001-8642-686X,0000-0001-6893-5601,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
5653786b-5e5c-41a9-a0cd-f1b9a11d117c,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-03-15T17:17:00Z,2021-03-15T17:17:00Z,NEON.DOC.014048vN,OSBS_004-M-6-31-20210315,A00000315829,OSBS_004-M-6-31-20210315-KCL,B00000064765,OSBS_004-M-6-31,tInitial,0,2021-03-16T14:30:00Z,OSBS-20210316-BRef1,10.11,100,2021-03-16T16:00:00Z,OK,NA,0000-0001-8642-686X,0000-0002-3174-4606,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
75aa8a37-f80b-4010-bb94-0c8c1d85479c,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-03-15T17:17:00Z,2021-03-31T13:32:00Z,NEON.DOC.014048vN,OSBS_004-M-6-31-20210331,A00000316006,OSBS_004-M-6-31-20210331-KCL,B00000128115,OSBS_004-M-6-31,tFinal,15.84,2021-04-01T13:00:00Z,OSBS-20210401-BRef1,4.96,50,2021-04-01T16:00:00Z,OK,NA,0000-0001-8642-686X,0000-0003-2831-6405,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
1fd6f80d-4264-47d4-9e51-27784d38c415,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-03-15T17:28:00Z,2021-03-15T17:28:00Z,NEON.DOC.014048vN,OSBS_004-M-1.5-0-20210315,A00000315831,OSBS_004-M-1.5-0-20210315-KCL,B00000064763,OSBS_004-M-1.5-0,tInitial,0,2021-03-16T14:30:00Z,OSBS-20210316-BRef1,10.29,100,2021-03-16T16:00:00Z,OK,NA,0000-0001-8642-686X,0000-0002-3174-4606,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
55c97815-a25e-4ac7-9da1-94e734749fd9,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-03-15T17:28:00Z,2021-03-31T13:37:00Z,NEON.DOC.014048vN,OSBS_004-M-1.5-0-20210331,A00000316007,OSBS_004-M-1.5-0-20210331-KCL,B00000128117,OSBS_004-M-1.5-0,tFinal,15.84,2021-04-01T12:56:00Z,OSBS-20210401-BRef1,4.97,50,2021-04-01T16:00:00Z,OK,NA,0000-0001-8642-686X,0000-0003-2831-6405,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
0adb4635-d3c1-4936-a368-4f45f5f159bd,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-03-15T17:44:00Z,2021-03-15T17:44:00Z,NEON.DOC.014048vN,OSBS_004-M-32.5-14.5-20210315,A00000315830,OSBS_004-M-32.5-14.5-20210315-KCL,B00000064764,OSBS_004-M-32.5-14.5,tInitial,0,2021-03-16T14:30:00Z,OSBS-20210316-BRef1,10.5,100,2021-03-16T16:00:00Z,OK,NA,0000-0001-8642-686X,0000-0002-3174-4606,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
64640747-4dfb-4e83-a383-58b514fc4979,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-03-15T17:44:00Z,2021-03-31T13:42:00Z,NEON.DOC.014048vN,OSBS_004-M-32.5-14.5-20210331,A00000316008,OSBS_004-M-32.5-14.5-20210331-KCL,B00000128106,OSBS_004-M-32.5-14.5,tFinal,15.83,2021-04-01T12:58:00Z,OSBS-20210401-BRef1,5.23,50,2021-04-01T16:00:00Z,OK,NA,0000-0001-8642-686X,0000-0003-2831-6405,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
7b231723-f8fe-4333-b193-1b36e3826d6b,OSBS_004.basePlot.bgc,D03,OSBS,OSBS_004,distributed,2021-10-13T17:47:00Z,2021-10-13T17:47:00Z,NEON.DOC.014048vN,OSBS_004-O-0-36.5-20211013,A00000317123,OSBS_004-O-0-36.5-20211013-KCL,B00000128797,OSBS_004-O-0-36.5,tInitial,0,2021-10-14T16:55:00Z,OSBS-20211014-BRef2,5.02,50,2021-10-14T19:00:00Z,OK,NA,0000-0001-6893-5601,0000-0001-6893-5601,NA,20251217T193818Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
