uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
c69f77d1-971d-45a9-ac2a-b12382f57ba5,SCBI_008.basePlot.bgc,D02,SCBI,SCBI_008,distributed,2022-03-28T17:14:00Z,2022-03-28T17:14:00Z,NEON.DOC.014048vO,SCBI_008-M-21-20220328,A00000167531,SCBI_008-M-21-20220328-KCL,B00000140717,SCBI_008-M-21-winterSpringTransition-2022,tInitial,0,2022-03-29T13:46:00Z,SCBI-20220329-BRef1,9.72,100,2022-03-29T16:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193838Z,RELEASE-2026,DP1.10086.001,SCBI,2022,ntr_internalLab
07adc105-8752-4f36-a7e3-75e1ab67ddeb,SCBI_008.basePlot.bgc,D02,SCBI,SCBI_008,distributed,2022-03-28T17:34:00Z,2022-03-28T17:34:00Z,NEON.DOC.014048vO,SCBI_008-M-41-20220328,A00000167532,SCBI_008-M-41-20220328-KCL,B00000140691,SCBI_008-M-41-winterSpringTransition-2022,tInitial,0,2022-03-29T13:48:00Z,SCBI-20220329-BRef1,10.23,100,2022-03-29T16:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193838Z,RELEASE-2026,DP1.10086.001,SCBI,2022,ntr_internalLab
6ae9e01c-3244-4439-8dcb-47d847300d85,SCBI_008.basePlot.bgc,D02,SCBI,SCBI_008,distributed,2022-03-28T17:48:00Z,2022-03-28T17:48:00Z,NEON.DOC.014048vO,SCBI_008-M-39-20220328,A00000167533,SCBI_008-M-39-20220328-KCL,B00000140697,SCBI_008-M-39-winterSpringTransition-2022,tInitial,0,2022-03-29T13:47:00Z,SCBI-20220329-BRef1,10.21,102,2022-03-29T16:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193838Z,RELEASE-2026,DP1.10086.001,SCBI,2022,ntr_internalLab
07231de1-d4a3-48d3-bc08-05a320db50ca,SCBI_008.basePlot.bgc,D02,SCBI,SCBI_008,distributed,2022-03-28T17:14:00Z,2022-04-18T14:41:00Z,NEON.DOC.014048vO,SCBI_008-M-21-20220418,A00000167971,SCBI_008-M-21-20220418-KCL,B00000140686,SCBI_008-M-21-winterSpringTransition-2022,tFinal,20.89,2022-04-19T11:57:00Z,SCBI-20220419-BRef1,10.13,100,2022-04-19T14:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,SCBI,2022,ntr_internalLab
f0f7bd8e-97c4-4af1-aed3-b48d2d983d36,SCBI_008.basePlot.bgc,D02,SCBI,SCBI_008,distributed,2022-03-28T17:34:00Z,2022-04-18T14:59:00Z,NEON.DOC.014048vO,SCBI_008-M-41-20220418,A00000168034,SCBI_008-M-41-20220418-KCL,B00000070975,SCBI_008-M-41-winterSpringTransition-2022,tFinal,20.89,2022-04-19T11:59:00Z,SCBI-20220419-BRef1,10.3,100,2022-04-19T14:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,SCBI,2022,ntr_internalLab
5387649a-cbd8-4141-97d2-ac6770738e7d,SCBI_008.basePlot.bgc,D02,SCBI,SCBI_008,distributed,2022-03-28T17:48:00Z,2022-04-18T14:49:00Z,NEON.DOC.014048vO,SCBI_008-M-39-20220418,A00000168018,SCBI_008-M-39-20220418-KCL,B00000140693,SCBI_008-M-39-winterSpringTransition-2022,tFinal,20.88,2022-04-19T11:58:00Z,SCBI-20220419-BRef1,9.81,99,2022-04-19T14:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,SCBI,2022,ntr_internalLab
bba33e0a-6f39-43cd-b7ec-f628c74d94a3,SCBI_008.basePlot.bgc,D02,SCBI,SCBI_008,distributed,2022-07-12T18:12:00Z,2022-08-01T16:15:00Z,NEON.DOC.014048vO,SCBI_008-M-21-20220801,A00000170192,SCBI_008-M-21-20220801-KCL,B00000140897,SCBI_008-M-21-peakGreenness-2022,tFinal,19.92,2022-08-02T14:19:00Z,SCBI-20220802-BREF1,10.19,100,2022-08-02T17:00:00Z,OK,NA,0000-0001-7914-5891,0000-0003-3697-1792,NA,20251217T193758Z,RELEASE-2026,DP1.10086.001,SCBI,2022,ntr_internalLab
c3c527ed-cb76-4626-bd38-25bfbf2a234b,SCBI_008.basePlot.bgc,D02,SCBI,SCBI_008,distributed,2022-07-12T19:18:00Z,2022-08-01T16:27:00Z,NEON.DOC.014048vO,SCBI_008-M-39-20220801,A00000170193,SCBI_008-M-39-20220801-KCL,B00000140895,SCBI_008-M-39-peakGreenness-2022,tFinal,19.88,2022-08-02T14:19:00Z,SCBI-20220802-BREF1,10.42,99,2022-08-02T17:00:00Z,OK,NA,0000-0001-7914-5891,0000-0003-3697-1792,NA,20251217T193758Z,RELEASE-2026,DP1.10086.001,SCBI,2022,ntr_internalLab
efc3e11d-ff99-430c-bb61-bd8a2a95640e,SCBI_008.basePlot.bgc,D02,SCBI,SCBI_008,distributed,2022-07-13T12:17:00Z,2022-08-01T16:44:00Z,NEON.DOC.014048vO,SCBI_008-M-41-20220801,A00000170194,SCBI_008-M-41-20220801-KCL,B00000140893,SCBI_008-M-41-peakGreenness-2022,tFinal,19.19,2022-08-02T14:20:00Z,SCBI-20220802-BREF1,10.2,100,2022-08-02T17:00:00Z,OK,NA,0000-0001-7914-5891,0000-0003-3697-1792,NA,20251217T193758Z,RELEASE-2026,DP1.10086.001,SCBI,2022,ntr_internalLab
835d63fe-6750-4f93-bd4a-4cacbbd7a086,SCBI_008.basePlot.bgc,D02,SCBI,SCBI_008,distributed,2022-07-12T18:12:00Z,2022-07-12T18:12:00Z,NEON.DOC.014048vO,SCBI_008-M-21-20220712,A00000167522,SCBI_008-M-21-20220712-KCL,B00000140877,SCBI_008-M-21-peakGreenness-2022,tInitial,0,2022-07-13T15:41:00Z,SCBI-20220713-BREF1,10.18,100,2022-07-13T17:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-6848-3983,NA,20251217T193747Z,RELEASE-2026,DP1.10086.001,SCBI,2022,ntr_internalLab
