uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
23a4231f-2e5f-4628-99a9-654f919570d9,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-03-29T15:02:00Z,2021-03-29T15:02:00Z,NEON.DOC.014048vN,SERC_001-M-7.5-23.5-20210329,NA,SERC_001-M-7.5-23.5-20210329-KCL,B00000052548,SERC_001-M-7.5-23.5,tInitial,0,2021-03-30T20:05:00Z,SERC-20210330-BRef1,10.06,100,2021-03-30T22:00:00Z,OK,NA,0000-0001-8122-5196,0000-0003-1337-5330,NA,20251217T193729Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
1a3c6c0a-bc6f-4d35-b160-32654d1b0062,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-03-29T15:34:00Z,2021-03-29T15:34:00Z,NEON.DOC.014048vN,SERC_001-M-7-13.5-20210329,NA,SERC_001-M-7-13.5-20210329-KCL,B00000052547,SERC_001-M-7-13.5,tInitial,0,2021-03-30T20:02:00Z,SERC-20210330-BRef1,10.33,100,2021-03-30T22:00:00Z,OK,NA,0000-0001-8122-5196,0000-0003-1337-5330,NA,20251217T193729Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
710d3f8f-36f7-4e40-a7f3-0d01f47476c5,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-03-29T16:11:00Z,2021-03-29T16:11:00Z,NEON.DOC.014048vN,SERC_001-M-22-37-20210329,NA,SERC_001-M-22-37-20210329-KCL,B00000052550,SERC_001-M-22-37,tInitial,0,2021-03-30T20:06:00Z,SERC-20210330-BRef1,10.42,100,2021-03-30T22:00:00Z,OK,NA,0000-0001-8122-5196,0000-0003-1337-5330,NA,20251217T193729Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
072854fe-1f87-4361-8306-c8161f1869d2,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-03-29T15:02:00Z,2021-04-20T14:22:00Z,NEON.DOC.014048vN,SERC_001-M-7.5-23.5-20210420,NA,SERC_001-M-7.5-23.5-20210420-KCL,B00000052612,SERC_001-M-7.5-23.5,tFinal,21.97,2021-04-21T15:53:00Z,SERC-20210421-BRef1,10.26,100,2021-04-21T18:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
2ce58c9a-330d-40d9-ba59-544758f62f69,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-03-29T15:34:00Z,2021-04-20T14:04:00Z,NEON.DOC.014048vN,SERC_001-M-7-13.5-20210420,NA,SERC_001-M-7-13.5-20210420-KCL,B00000052611,SERC_001-M-7-13.5,tFinal,21.94,2021-04-21T15:48:00Z,SERC-20210421-BRef1,10.06,102,2021-04-21T18:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
ad890138-7b57-4400-967a-31b2ff28fe36,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-03-29T16:11:00Z,2021-04-20T14:30:00Z,NEON.DOC.014048vN,SERC_001-M-22-37-20210420,NA,SERC_001-M-22-37-20210420-KCL,B00000052613,SERC_001-M-22-37,tFinal,21.93,2021-04-21T15:50:00Z,SERC-20210421-BRef1,9.93,100,2021-04-21T18:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
ef5620b7-c8ac-4de2-bc30-ace4a513519c,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-10-19T12:30:00Z,2021-10-19T12:30:00Z,NEON.DOC.014048vN,SERC_001-M-4.5-24.5-20211019,NA,SERC_001-M-4.5-24.5-20211019-KCL,B00000070973,SERC_001-M-4.5-24.5,tInitial,0,2021-10-20T16:21:00Z,SERC-20211020-BRef1,5.03,50,2021-10-20T18:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T194031Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
e80df9cc-1a60-4402-a6ee-e62c7df73f75,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-10-19T12:56:00Z,2021-10-19T12:56:00Z,NEON.DOC.014048vN,SERC_001-M-9.5-11-20211019,NA,SERC_001-M-9.5-11-20211019-KCL,B00000052815,SERC_001-M-9.5-11,tInitial,0,2021-10-20T16:22:00Z,SERC-20211020-BRef1,5.1,50,2021-10-20T18:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T194031Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
9bd65078-df8a-4e6c-b2a6-961956c338ff,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-10-19T13:21:00Z,2021-10-19T13:21:00Z,NEON.DOC.014048vN,SERC_001-M-33-36.5-20211019,NA,SERC_001-M-33-36.5-20211019-KCL,B00000052819,SERC_001-M-33-36.5,tInitial,0,2021-10-20T16:22:00Z,SERC-20211020-BRef1,5.33,52,2021-10-20T18:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T194031Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
fe7c8280-fbaf-4451-a9e3-667df89def00,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-10-19T12:30:00Z,2021-11-09T13:16:00Z,NEON.DOC.014048vN,SERC_001-M-4.5-24.5-20211109,NA,SERC_001-M-4.5-24.5-20211109-KCL,B00000070967,SERC_001-M-4.5-24.5,tFinal,21.03,2021-11-10T16:34:00Z,SERC-20211110-BRef1,5.06,50,2021-11-10T18:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193421Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
f4675a7f-ff01-41db-9af8-7e5507eb28ab,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-10-19T12:56:00Z,2021-11-09T13:25:00Z,NEON.DOC.014048vN,SERC_001-M-9.5-11-20211109,NA,SERC_001-M-9.5-11-20211109-KCL,B00000071012,SERC_001-M-9.5-11,tFinal,21.02,2021-11-10T16:34:00Z,SERC-20211110-BRef1,5.38,50,2021-11-10T18:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193421Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
69535cbf-3ac6-4631-a8a1-ee566ffc91af,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-10-19T13:21:00Z,2021-11-09T13:31:00Z,NEON.DOC.014048vN,SERC_001-M-33-36.5-20211109,NA,SERC_001-M-33-36.5-20211109-KCL,B00000070994,SERC_001-M-33-36.5,tFinal,21.01,2021-11-10T16:35:00Z,SERC-20211110-BRef1,5.02,50,2021-11-10T18:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193421Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
8117ac96-9630-4d29-917d-6809be3ca57b,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-07-06T15:18:00Z,2021-07-06T15:18:00Z,NEON.DOC.014048vN,SERC_001-M-1.5-18.5-20210706,NA,SERC_001-M-1.5-18.5-20210706-KCL,B00000052827,SERC_001-M-1.5-18.5,tInitial,0,2021-07-07T18:20:00Z,SERC-20210707-BRef1,5.05,50,2021-07-07T20:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
69164318-473d-40e1-a665-6f749c30e276,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-07-06T15:18:00Z,2021-07-27T16:29:00Z,NEON.DOC.014048vN,SERC_001-M-1.5-18.5-20210727,NA,SERC_001-M-1.5-18.5-20210727-KCL,B00000052822,SERC_001-M-1.5-18.5,tFinal,21.05,2021-07-28T13:46:00Z,SERC-20210728-BRef1,5.04,50,2021-07-28T15:00:00Z,OK,NA,0000-0001-7914-5891,0000-0002-5247-174X,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
9d0b27e7-6f35-45e8-b7e9-351bbe511696,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-07-06T15:50:00Z,2021-07-06T15:50:00Z,NEON.DOC.014048vN,SERC_001-M-25-9-20210706,NA,SERC_001-M-25-9-20210706-KCL,B00000052808,SERC_001-M-25-9,tInitial,0,2021-07-07T18:22:00Z,SERC-20210707-BRef1,5.02,49,2021-07-07T20:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
75e6ff94-dc87-49f6-9110-ce42a4610db7,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-07-06T15:50:00Z,2021-07-27T16:18:00Z,NEON.DOC.014048vN,SERC_001-M-25-9-20210727,NA,SERC_001-M-25-9-20210727-KCL,B00000052800,SERC_001-M-25-9,tFinal,21.02,2021-07-28T13:47:00Z,SERC-20210728-BRef1,4.92,50,2021-07-28T16:00:00Z,OK,NA,0000-0001-7914-5891,0000-0002-5247-174X,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
5b22df70-ff0a-4d9c-bad5-f87111a147ed,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-07-06T16:16:00Z,2021-07-06T16:16:00Z,NEON.DOC.014048vN,SERC_001-M-26.5-34-20210706,NA,SERC_001-M-26.5-34-20210706-KCL,B00000052799,SERC_001-M-26.5-34,tInitial,0,2021-07-07T18:22:00Z,SERC-20210707-BRef1,5.03,49,2021-07-07T20:00:00Z,OK,NA,0000-0001-7914-5891,0000-0001-7914-5891,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
494e58a9-d3ce-4c7c-9e84-34cf58294c33,SERC_001.basePlot.bgc,D02,SERC,SERC_001,distributed,2021-07-06T16:16:00Z,2021-07-27T16:39:00Z,NEON.DOC.014048vN,SERC_001-M-26.5-34-20210727,NA,SERC_001-M-26.5-34-20210727-KCL,B00000052814,SERC_001-M-26.5-34,tFinal,21.02,2021-07-28T13:47:00Z,SERC-20210728-BRef1,5,50,2021-07-28T15:00:00Z,OK,NA,0000-0001-7914-5891,0000-0002-5247-174X,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLab
