uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
877c7855-1397-4c2f-b85a-ee89962ee4ed,SJER_047.basePlot.bgc,D17,SJER,SJER_047,tower,2024-02-20T23:10:00Z,2024-02-20T23:10:00Z,NEON.DOC.014048vP,SJER_047-M-21-20240220,A00000395701,SJER_047-M-21-20240220-KCL,B00000125312,SJER_047-M-21-peakGreenness-2023-2024,tInitial,0,2024-02-21T18:28:00Z,SJER-20240221-BREF1,9.99,100,2024-02-21T21:00:00Z,OK,NA,0009-0009-7975-9872,0009-0004-9671-061X,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
16c898ab-975f-4c4b-96d2-483b8b1f62eb,SJER_047.basePlot.bgc,D17,SJER,SJER_047,tower,2024-02-21T17:14:00Z,2024-02-21T17:14:00Z,NEON.DOC.014048vP,SJER_047-M-39-20240221,A00000395703,SJER_047-M-39-20240221-KCL,B00000125314,SJER_047-M-39-peakGreenness-2023-2024,tInitial,0,2024-02-22T20:04:00Z,SJER-20240222-BREF1,10.06,100,2024-02-22T23:00:00Z,OK,NA,0009-0009-7975-9872,0009-0004-9671-061X,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
7af696dd-bb21-4acf-9f00-8cc540bde58c,SJER_047.basePlot.bgc,D17,SJER,SJER_047,tower,2024-02-21T17:37:00Z,2024-02-21T17:37:00Z,NEON.DOC.014048vP,SJER_047-M-41-20240221,A00000395702,SJER_047-M-41-20240221-KCL,B00000125313,SJER_047-M-41-peakGreenness-2023-2024,tInitial,0,2024-02-22T20:05:00Z,SJER-20240222-BREF1,10.1,100,2024-02-22T23:00:00Z,OK,NA,0009-0009-7975-9872,0009-0004-9671-061X,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
d91dd8bf-fb18-410f-9779-152866f9bf48,SJER_047.basePlot.bgc,D17,SJER,SJER_047,tower,2024-02-20T23:10:00Z,2024-03-12T15:37:00Z,NEON.DOC.014048vP,SJER_047-M-21-20240312,A00000395736,SJER_047-M-21-20240312-KCL,B00000143805,SJER_047-M-21-peakGreenness-2023-2024,tFinal,20.69,2024-03-13T20:12:00Z,SJER-20240313-BREF1,10.27,101,2024-03-13T22:00:00Z,OK,NA,0000-0002-4748-8985,0000-0002-4748-8985,NA,20251217T193601Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
54d5908c-1dd1-4c60-a794-392fc7756d7e,SJER_047.basePlot.bgc,D17,SJER,SJER_047,tower,2024-02-21T17:14:00Z,2024-03-12T15:24:00Z,NEON.DOC.014048vP,SJER_047-M-39-20240312,A00000395711,SJER_047-M-39-20240312-KCL,B00000143806,SJER_047-M-39-peakGreenness-2023-2024,tFinal,19.92,2024-03-13T20:13:00Z,SJER-20240313-BREF1,10.22,100,2024-03-13T22:00:00Z,OK,NA,0000-0002-4748-8985,0000-0002-4748-8985,NA,20251217T193601Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
65c23d28-65c4-482a-8f21-45f58a289359,SJER_047.basePlot.bgc,D17,SJER,SJER_047,tower,2024-02-21T17:37:00Z,2024-03-12T15:49:00Z,NEON.DOC.014048vP,SJER_047-M-41-20240312,A00000395737,SJER_047-M-41-20240312-KCL,B00000143807,SJER_047-M-41-peakGreenness-2023-2024,tFinal,19.93,2024-03-13T20:16:00Z,SJER-20240313-BREF1,10.01,100,2024-03-13T22:00:00Z,OK,NA,0000-0002-4748-8985,0000-0002-4748-8985,NA,20251217T193601Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
f2fd7f42-08a8-40a8-97e7-5fa576aca878,SJER_047.basePlot.bgc,D17,SJER,SJER_047,tower,2024-05-14T20:43:00Z,2024-06-03T15:40:00Z,NEON.DOC.014048vP,SJER_047-M-41-20240603,A00000397584,SJER_047-M-41-20240603-KCL,B00000168383,SJER_047-M-41-wetDryTransition-2023-2024,tFinal,19.79,2024-06-04T20:52:00Z,SJER-20240604-BREF2,10.09,100,2024-06-04T23:00:00Z,OK,NA,0009-0009-7975-9872,0009-0009-7975-9872,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
6e357665-02e8-43e0-b674-f932155c98b9,SJER_047.basePlot.bgc,D17,SJER,SJER_047,tower,2024-05-14T21:13:00Z,2024-06-03T15:57:00Z,NEON.DOC.014048vP,SJER_047-M-23-20240603,A00000397582,SJER_047-M-23-20240603-KCL,B00000168381,SJER_047-M-23-wetDryTransition-2023-2024,tFinal,19.78,2024-06-04T20:47:00Z,SJER-20240604-BREF2,10.1,100,2024-06-04T23:00:00Z,OK,NA,0009-0009-7975-9872,0009-0009-7975-9872,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
0262aeee-d785-45a3-babd-43d293bbff0f,SJER_047.basePlot.bgc,D17,SJER,SJER_047,tower,2024-05-14T21:50:00Z,2024-06-03T16:06:00Z,NEON.DOC.014048vP,SJER_047-M-39-20240603,A00000397583,SJER_047-M-39-20240603-KCL,B00000168382,SJER_047-M-39-wetDryTransition-2023-2024,tFinal,19.76,2024-06-04T20:51:00Z,SJER-20240604-BREF2,10.34,100,2024-06-04T23:00:00Z,OK,NA,0009-0009-7975-9872,0009-0009-7975-9872,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
af21c657-47c1-4f27-a105-e1e01da193eb,SJER_047.basePlot.bgc,D17,SJER,SJER_047,tower,2024-05-14T20:43:00Z,2024-05-14T20:43:00Z,NEON.DOC.014048vP,SJER_047-M-41-20240514,A00000397436,SJER_047-M-41-20240514-KCL,B00000168114,SJER_047-M-41-wetDryTransition-2023-2024,tInitial,0,2024-05-15T19:13:00Z,SJER-20240515-BREF1,10.03,100,2024-05-15T22:00:00Z,OK,NA,0009-0005-3443-707X,0000-0002-4748-8985,NA,20251217T193641Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
