uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
7905d48f-b0b1-42be-86f1-97f4ef6d9157,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-03-21T15:03:00Z,2018-03-21T15:03:00Z,NEON.DOC.014048vK,UKFS_043-M-36-4.5-20180321,A00000007136,UKFS_043-M-36-4.5-20180321-KCL,B00000015683,UKFS_043-M-36-4.5,tInitial,0,2018-03-22T16:30:00Z,UKFS-20180322-BRef1,10,100,2018-03-22T19:00:00Z,OK,NA,eminnick@battelleecology.org,atajchman@battelleecology.org,NA,20251217T193733Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
e647d107-7271-493a-bc1f-42244bf243a1,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-03-21T15:22:00Z,2018-03-21T15:22:00Z,NEON.DOC.014048vK,UKFS_043-M-12-0.5-20180321,A00000007169,UKFS_043-M-12-0.5-20180321-KCL,B00000015687,UKFS_043-M-12-0.5,tInitial,0,2018-03-22T16:30:00Z,UKFS-20180322-BRef1,10.45,100,2018-03-22T19:00:00Z,OK,NA,eminnick@battelleecology.org,atajchman@battelleecology.org,NA,20251217T193733Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
ce19259b-beda-4fa8-b941-4d06579c72e5,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-03-21T15:41:00Z,2018-03-21T15:41:00Z,NEON.DOC.014048vK,UKFS_043-M-17-39-20180321,A00000007152,UKFS_043-M-17-39-20180321-KCL,B00000015694,UKFS_043-M-17-39,tInitial,0,2018-03-22T16:30:00Z,UKFS-20180322-BRef1,10.01,100,2018-03-22T19:00:00Z,OK,NA,eminnick@battelleecology.org,atajchman@battelleecology.org,NA,20251217T193733Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
9f3f9829-8857-4ab8-909e-32be541ab837,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-03-21T15:03:00Z,2018-04-09T15:01:00Z,NEON.DOC.014048vK,UKFS_043-M-36-4.5-20180409,NA,UKFS_043-M-36-4.5-20180409-KCL,B00000015733,UKFS_043-M-36-4.5,tFinal,19,2018-04-10T14:30:00Z,UKFS-20180410-BRef1,10.47,100,2018-04-10T17:00:00Z,OK,NA,msanders@field-ops.org,atajchman@battelleecology.org,NA,20251217T193703Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
1f04f851-72e6-4f18-8337-1b1cc4bca27c,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-03-21T15:22:00Z,2018-04-09T14:55:00Z,NEON.DOC.014048vK,UKFS_043-M-12-0.5-20180409,NA,UKFS_043-M-12-0.5-20180409-KCL,B00000015752,UKFS_043-M-12-0.5,tFinal,18.98,2018-04-10T14:30:00Z,UKFS-20180410-BRef1,10.02,100,2018-04-10T17:00:00Z,OK,NA,msanders@field-ops.org,atajchman@battelleecology.org,NA,20251217T193703Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
ee9cadab-5043-4d70-be07-0cdb2bbcc671,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-03-21T15:41:00Z,2018-04-09T15:09:00Z,NEON.DOC.014048vK,UKFS_043-M-17-39-20180409,NA,UKFS_043-M-17-39-20180409-KCL,B00000015732,UKFS_043-M-17-39,tFinal,18.98,2018-04-10T14:30:00Z,UKFS-20180410-BRef1,10.04,100,2018-04-10T17:00:00Z,OK,NA,msanders@field-ops.org,atajchman@battelleecology.org,NA,20251217T193703Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
48334499-fb67-4d06-8e1e-96763fdf21c4,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-08-13T14:25:00Z,2018-08-13T14:25:00Z,NEON.DOC.014048vK,UKFS_043-M-22-30-20180813,NA,UKFS_043-M-22-30-20180813-KCL,B00000016240,UKFS_043-M-22-30,tInitial,0,2018-08-14T14:45:00Z,UKFS-20180814-BRef1,10.08,100,2018-08-14T16:00:00Z,OK,NA,eminnick@battelleecology.org,eminnick@battelleecology.org,NA,20251217T193650Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
67cb1254-ecb6-4154-9171-27c478e634cf,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-08-13T14:25:00Z,2018-08-27T15:28:00Z,NEON.DOC.014048vK,UKFS_043-M-22-30-20180827,NA,UKFS_043-M-22-30-20180827-KCL,B00000016291,UKFS_043-M-22-30,tFinal,14.04,2018-08-28T13:00:00Z,UKFS-20180828-BRef1,10.04,100,2018-08-28T14:00:00Z,OK,NA,fschroyer@battelleecology.org,fschroyer@battelleecology.org,NA,20251217T193650Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
e3310a8f-5441-4dd7-ad82-d547a161efc3,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-08-13T14:46:00Z,2018-08-13T14:46:00Z,NEON.DOC.014048vK,UKFS_043-M-16-30.5-20180813,NA,UKFS_043-M-16-30.5-20180813-KCL,B00000015794,UKFS_043-M-16-30.5,tInitial,0,2018-08-14T14:45:00Z,UKFS-20180814-BRef1,10,100,2018-08-14T16:00:00Z,OK,NA,eminnick@battelleecology.org,eminnick@battelleecology.org,NA,20251217T193650Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
89f7c4c3-54a4-42b0-81cc-13472d762b03,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-08-13T14:46:00Z,2018-08-27T15:25:00Z,NEON.DOC.014048vK,UKFS_043-M-16-30.5-20180827,NA,UKFS_043-M-16-30.5-20180827-KCL,B00000016351,UKFS_043-M-16-30.5,tFinal,14.03,2018-08-28T13:00:00Z,UKFS-20180828-BRef1,9.99,100,2018-08-28T14:00:00Z,OK,NA,fschroyer@battelleecology.org,fschroyer@battelleecology.org,NA,20251217T193650Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
f86bbce0-4414-4f5c-90f5-5fd50d747fc2,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-08-13T15:03:00Z,2018-08-13T15:03:00Z,NEON.DOC.014048vK,UKFS_043-M-5-1-20180813,NA,UKFS_043-M-5-1-20180813-KCL,B00000016262,UKFS_043-M-5-1,tInitial,0,2018-08-14T14:45:00Z,UKFS-20180814-BRef1,10,100,2018-08-14T16:00:00Z,OK,NA,eminnick@battelleecology.org,eminnick@battelleecology.org,NA,20251217T193650Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
94e8d379-fdcb-422f-9b16-6e1b4beb0a71,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-08-13T15:03:00Z,2018-08-27T15:15:00Z,NEON.DOC.014048vK,UKFS_043-M-5-1-20180827,NA,UKFS_043-M-5-1-20180827-KCL,B00000015802,UKFS_043-M-5-1,tFinal,14.01,2018-08-28T13:00:00Z,UKFS-20180828-BRef1,10.25,100,2018-08-28T14:00:00Z,OK,NA,fschroyer@battelleecology.org,fschroyer@battelleecology.org,NA,20251217T193650Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
ce646b14-f0d7-414c-8d27-10222486f5f1,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-10-29T16:30:00Z,2018-10-29T16:30:00Z,NEON.DOC.014048vK,UKFS_043-M-20-37.5-20181029,NA,UKFS_043-M-20-37.5-20181029-KCL,D00000006233,UKFS_043-M-20-37.5,tInitial,0,2018-10-30T17:25:00Z,UKFS-20181030-BRef1,10.06,100,2018-10-30T19:00:00Z,OK,NA,Akeithline@battelleecology.org,Akeithline@battelleecology.org,NA,20251217T194045Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
df4bb3d2-dc0b-453a-a551-97355e5b6a3f,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-10-29T16:50:00Z,2018-10-29T16:50:00Z,NEON.DOC.014048vK,UKFS_043-M-6-24-20181029,NA,UKFS_043-M-6-24-20181029-KCL,D00000006234,UKFS_043-M-6-24,tInitial,0,2018-10-30T17:27:00Z,UKFS-20181030-BRef1,10,101,2018-10-30T19:00:00Z,OK,NA,Akeithline@battelleecology.org,Akeithline@battelleecology.org,NA,20251217T194045Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
3808da1f-f91f-41f1-a2c0-e9ed74493ac7,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-10-29T17:11:00Z,2018-10-29T17:11:00Z,NEON.DOC.014048vK,UKFS_043-M-7.5-3-20181029,NA,UKFS_043-M-7.5-3-20181029-KCL,D00000006232,UKFS_043-M-7.5-3,tInitial,0,2018-10-30T17:22:00Z,UKFS-20181030-BRef1,10.04,100,2018-10-30T19:00:00Z,OK,NA,Akeithline@battelleecology.org,Akeithline@battelleecology.org,NA,20251217T194045Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
73d67985-71ec-4270-b642-76937a42e40c,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-10-29T16:30:00Z,2018-11-27T19:03:00Z,NEON.DOC.014048vK,UKFS_043-M-20-37.5-20181127,NA,UKFS_043-M-20-37.5-20181127-KCL,B00000016699,UKFS_043-M-20-37.5,tFinal,29.11,2018-11-28T18:06:00Z,UKFS-20181128-BRef1,9.99,100,2018-11-28T20:00:00Z,OK,NA,thillman@battelleecology.org,thillman@battelleecology.org,NA,20251217T193717Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
c024e1f4-89ba-4917-8322-b766891f99e9,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-10-29T16:50:00Z,2018-11-27T18:51:00Z,NEON.DOC.014048vK,UKFS_043-M-6-24-20181127,NA,UKFS_043-M-6-24-20181127-KCL,B00000016708,UKFS_043-M-6-24,tFinal,29.08,2018-11-28T18:11:00Z,UKFS-20181128-BRef1,10.07,100,2018-11-28T20:00:00Z,OK,NA,thillman@battelleecology.org,thillman@battelleecology.org,NA,20251217T193717Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
ebf4e412-f375-40a4-aa1a-5310128867c6,UKFS_043.basePlot.bgc,D06,UKFS,UKFS_043,tower,2018-10-29T17:11:00Z,2018-11-27T18:56:00Z,NEON.DOC.014048vK,UKFS_043-M-7.5-3-20181127,NA,UKFS_043-M-7.5-3-20181127-KCL,B00000016722,UKFS_043-M-7.5-3,tFinal,29.07,2018-11-28T18:09:00Z,UKFS-20181128-BRef1,10.02,100,2018-11-28T20:00:00Z,OK,NA,thillman@battelleecology.org,thillman@battelleecology.org,NA,20251217T193717Z,RELEASE-2026,DP1.10086.001,UKFS,2018,ntr_internalLab
