uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
af881e63-430b-46e5-a574-7ac9ea54aeca,UNDE_001.basePlot.bgc,D05,UNDE,UNDE_001,distributed,2019-05-14T18:03:00Z,2019-05-14T18:03:00Z,NEON.DOC.014048vL,UNDE_001-O-30.5-8-20190514,A00000075781,UNDE_001-O-30.5-8-20190514-KCL,B00000022340,UNDE_001-O-30.5-8,tInitial,0,2019-05-15T16:41:00Z,UNDE-20190515-BRef1,10.04,100,2019-05-15T20:00:00Z,OK,NA,0000-0001-7187-3229,0000-0001-7187-3229,NA,20251217T193736Z,RELEASE-2026,DP1.10086.001,UNDE,2019,ntr_internalLab
50895182-651b-4af0-841f-98c9261d3434,UNDE_001.basePlot.bgc,D05,UNDE,UNDE_001,distributed,2019-05-14T19:01:00Z,2019-05-14T19:01:00Z,NEON.DOC.014048vL,UNDE_001-M-12.5-2.5-20190514,A00000075778,UNDE_001-M-12.5-2.5-20190514-KCL,B00000022329,UNDE_001-M-12.5-2.5,tInitial,0,2019-05-15T16:50:00Z,UNDE-20190515-BRef1,10.07,100,2019-05-15T20:00:00Z,OK,NA,0000-0001-7187-3229,0000-0001-7187-3229,NA,20251217T193736Z,RELEASE-2026,DP1.10086.001,UNDE,2019,ntr_internalLab
b8ee3a23-d5b8-4aa6-986c-7b18f54cde01,UNDE_001.basePlot.bgc,D05,UNDE,UNDE_001,distributed,2019-05-14T20:26:00Z,2019-05-14T20:26:00Z,NEON.DOC.014048vL,UNDE_001-O-7.5-23.5-20190514,A00000075779,UNDE_001-O-7.5-23.5-20190514-KCL,B00000022330,UNDE_001-O-7.5-23.5,tInitial,0,2019-05-15T16:57:00Z,UNDE-20190515-BRef1,10,100,2019-05-15T20:00:00Z,OK,NA,0000-0001-7187-3229,0000-0001-7187-3229,NA,20251217T193736Z,RELEASE-2026,DP1.10086.001,UNDE,2019,ntr_internalLab
e8c76578-d162-4404-a665-b21adaeaf5a1,UNDE_001.basePlot.bgc,D05,UNDE,UNDE_001,distributed,2019-05-14T20:26:00Z,2019-05-14T20:26:00Z,NEON.DOC.014048vL,UNDE_001-M-7.5-23.5-20190514,A00000075780,UNDE_001-M-7.5-23.5-20190514-KCL,B00000022342,UNDE_001-M-7.5-23.5,tInitial,0,2019-05-15T17:04:00Z,UNDE-20190515-BRef1,10.07,100,2019-05-15T20:00:00Z,OK,NA,0000-0001-7187-3229,0000-0001-7187-3229,NA,20251217T193736Z,RELEASE-2026,DP1.10086.001,UNDE,2019,ntr_internalLab
b48bcbac-f146-42e6-baf2-893d4893c94c,UNDE_001.basePlot.bgc,D05,UNDE,UNDE_001,distributed,2019-07-15T18:13:00Z,2019-08-05T15:39:00Z,NEON.DOC.014048vL,UNDE_001-O-36-5-20190805,A00000077093,UNDE_001-O-36-5-20190805-KCL,B00000060958,UNDE_001-O-36-5,tFinal,20.89,2019-08-06T16:20:00Z,UNDE-20190806-BRef1,10.19,100,2019-08-06T20:00:00Z,OK,NA,0000-0001-7187-3229,0000-0001-7187-3229,NA,20251217T194017Z,RELEASE-2026,DP1.10086.001,UNDE,2019,ntr_internalLab
fc20266a-d29f-4371-8419-b31fd2557c46,UNDE_001.basePlot.bgc,D05,UNDE,UNDE_001,distributed,2019-07-15T18:46:00Z,2019-08-05T15:47:00Z,NEON.DOC.014048vL,UNDE_001-O-26-39.5-20190805,A00000077009,UNDE_001-O-26-39.5-20190805-KCL,B00000060957,UNDE_001-O-26-39.5,tFinal,20.88,2019-08-06T15:39:00Z,UNDE-20190806-BRef1,9.6,100,2019-08-06T20:00:00Z,OK,NA,0000-0001-7187-3229,0000-0001-7187-3229,NA,20251217T194017Z,RELEASE-2026,DP1.10086.001,UNDE,2019,ntr_internalLab
2ff498a8-3686-4b82-935b-d77a6e164ccf,UNDE_001.basePlot.bgc,D05,UNDE,UNDE_001,distributed,2019-07-15T19:01:00Z,2019-08-05T15:50:00Z,NEON.DOC.014048vL,UNDE_001-M-26-39.5-20190805,A00000076325,UNDE_001-M-26-39.5-20190805-KCL,B00000060960,UNDE_001-M-26-39.5,tFinal,20.87,2019-08-06T16:02:00Z,UNDE-20190806-BRef1,9.69,100,2019-08-06T20:00:00Z,OK,NA,0000-0001-7187-3229,0000-0001-7187-3229,NA,20251217T194017Z,RELEASE-2026,DP1.10086.001,UNDE,2019,ntr_internalLab
fc942cb7-1d7b-4c54-bd19-a8b9ac6111ca,UNDE_001.basePlot.bgc,D05,UNDE,UNDE_001,distributed,2019-07-15T19:20:00Z,2019-08-05T15:24:00Z,NEON.DOC.014048vL,UNDE_001-O-9.5-12-20190805,A00000077105,UNDE_001-O-9.5-12-20190805-KCL,B00000060956,UNDE_001-O-9.5-12,tFinal,20.84,2019-08-06T15:53:00Z,UNDE-20190806-BRef1,9.59,100,2019-08-06T20:00:00Z,OK,NA,0000-0001-7187-3229,0000-0001-7187-3229,NA,20251217T194017Z,RELEASE-2026,DP1.10086.001,UNDE,2019,ntr_internalLab
3ea012fe-f256-4cbf-a19d-5d9e29044231,UNDE_001.basePlot.bgc,D05,UNDE,UNDE_001,distributed,2019-07-15T19:30:00Z,2019-08-05T15:27:00Z,NEON.DOC.014048vL,UNDE_001-M-9.5-12-20190805,A00000076323,UNDE_001-M-9.5-12-20190805-KCL,B00000060959,UNDE_001-M-9.5-12,tFinal,20.83,2019-08-06T15:42:00Z,UNDE-20190806-BRef1,9.66,100,2019-08-06T20:00:00Z,OK,NA,0000-0001-7187-3229,0000-0001-7187-3229,NA,20251217T194017Z,RELEASE-2026,DP1.10086.001,UNDE,2019,ntr_internalLab
e46b6458-f9ba-4da5-8954-e0d325861fe5,UNDE_001.basePlot.bgc,D05,UNDE,UNDE_001,distributed,2019-05-14T18:03:00Z,2019-06-03T18:51:00Z,NEON.DOC.014048vL,UNDE_001-O-30.5-8-20190603,A00000076390,UNDE_001-O-30.5-8-20190603-KCL,B00000022412,UNDE_001-O-30.5-8,tFinal,20.03,2019-06-04T16:20:00Z,UNDE-20190604-BRef1,9.98,100,2019-06-04T21:00:00Z,OK,NA,0000-0002-0614-4414,0000-0001-7187-3229,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,UNDE,2019,ntr_internalLab
068e53b9-34f0-489a-8f81-868b13da9af8,UNDE_001.basePlot.bgc,D05,UNDE,UNDE_001,distributed,2019-05-14T19:01:00Z,2019-06-03T18:43:00Z,NEON.DOC.014048vL,UNDE_001-M-12.5-2.5-20190603,A00000076311,UNDE_001-M-12.5-2.5-20190603-KCL,B00000022415,UNDE_001-M-12.5-2.5,tFinal,19.99,2019-06-04T16:17:00Z,UNDE-20190604-BRef1,10.42,100,2019-06-04T21:00:00Z,OK,NA,0000-0002-0614-4414,0000-0001-7187-3229,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,UNDE,2019,ntr_internalLab
