uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
c46a975e-33f5-4e86-b382-822781082048,YELL_003.basePlot.bgc,D12,YELL,YELL_003,distributed,2023-05-10T18:56:00Z,2023-05-10T18:56:00Z,NEON.DOC.014048vO,YELL_003-M-23-20230510,A00000117715,YELL_003-M-23-20230510-KCL,B00000039857,YELL_003-M-23-winterSpringTransition-2023,tInitial,0,2023-05-11T15:45:00Z,YELL-20230511-BREF1,10.21,100,2023-05-11T17:00:00Z,OK,NA,0000-0002-3355-8487,0009-0004-4955-7034,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
fb6e3954-35c7-49cb-a1f3-52a64de10c87,YELL_003.basePlot.bgc,D12,YELL,YELL_003,distributed,2023-05-10T18:56:00Z,2023-05-31T18:30:00Z,NEON.DOC.014048vO,YELL_003-M-23-20230531,A00000283137,YELL_003-M-23-20230531-KCL,B00000039846,YELL_003-M-23-winterSpringTransition-2023,tFinal,20.98,2023-06-01T15:00:00Z,YELL-20230601-BREF1,10.03,100,2023-06-01T16:00:00Z,OK,NA,0009-0004-4955-7034,0009-0006-1507-643X,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
594ed116-1986-4241-b258-bc9c97df10ac,YELL_003.basePlot.bgc,D12,YELL,YELL_003,distributed,2023-05-10T18:56:00Z,2023-05-31T18:47:00Z,NEON.DOC.014048vO,YELL_003-M-21-20230531,A00000283136,YELL_003-M-21-20230531-KCL,B00000039840,YELL_003-M-21-winterSpringTransition-2023,tFinal,20.99,2023-06-01T15:00:00Z,YELL-20230601-BREF1,9.98,100,2023-06-01T16:00:00Z,OK,NA,0009-0004-4955-7034,0009-0006-1507-643X,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
4cce3837-c888-4948-9a4a-64d75c8bf4a0,YELL_003.basePlot.bgc,D12,YELL,YELL_003,distributed,2023-05-10T19:40:00Z,2023-05-10T19:40:00Z,NEON.DOC.014048vO,YELL_003-M-21-20230510,A00000117714,YELL_003-M-21-20230510-KCL,B00000039859,YELL_003-M-21-winterSpringTransition-2023,tInitial,0,2023-05-11T15:45:00Z,YELL-20230511-BREF1,10.45,100,2023-05-11T17:00:00Z,OK,NA,0000-0002-3355-8487,0009-0004-4955-7034,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
f093ade5-86a8-4a7e-9593-51dd0f4a3b03,YELL_003.basePlot.bgc,D12,YELL,YELL_003,distributed,2023-09-12T19:15:00Z,2023-09-12T19:15:00Z,NEON.DOC.014048vO,YELL_003-M-21-20230912,A00000381203,YELL_003-M-21-20230912-KCL,B00000040277,YELL_003-M-21-fallWinterTransition-2023,tInitial,0,2023-09-13T16:25:00Z,YELL-20230913-BREF1,10.29,100,2023-09-13T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0002-3355-8487,NA,20251217T193613Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
72594b27-2b1d-4c83-943b-7ab8c3201122,YELL_003.basePlot.bgc,D12,YELL,YELL_003,distributed,2023-09-12T19:43:00Z,2023-09-12T19:43:00Z,NEON.DOC.014048vO,YELL_003-M-41-20230912,A00000381204,YELL_003-M-41-20230912-KCL,B00000040279,YELL_003-M-41-fallWinterTransition-2023,tInitial,0,2023-09-13T16:25:00Z,YELL-20230913-BREF1,10.25,100,2023-09-13T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0002-3355-8487,location-resampled,20251217T193613Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
2eb62ce2-83a7-4d0d-8c60-8ef0716bf0c0,YELL_003.basePlot.bgc,D12,YELL,YELL_003,distributed,2023-08-02T20:22:00Z,2023-08-02T20:22:00Z,NEON.DOC.014048vO,YELL_003-M-23-20230802,A00000283128,YELL_003-M-23-20230802-KCL,B00000040007,YELL_003-M-23-peakGreenness-2023,tInitial,0,2023-08-03T16:40:00Z,YELL-20230803-BREF1,10.16,100,2023-08-03T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0003-4019-7357,NA,20251217T193655Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
286d84f6-1c96-40ca-88bc-1ddb40595801,YELL_003.basePlot.bgc,D12,YELL,YELL_003,distributed,2023-08-02T20:22:00Z,2023-08-22T18:29:00Z,NEON.DOC.014048vO,YELL_003-M-23-20230822,A00000380881,YELL_003-M-23-20230822-KCL,B00000039975,YELL_003-M-23-peakGreenness-2023,tFinal,19.92,2023-08-23T16:34:00Z,YELL-20230823-BREF1,10.32,100,2023-08-23T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0002-3355-8487,NA,20251217T193655Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
9b47f66b-6791-4892-8a1b-69b568610fb4,YELL_003.basePlot.bgc,D12,YELL,YELL_003,distributed,2023-08-02T20:59:00Z,2023-08-02T20:59:00Z,NEON.DOC.014048vO,YELL_003-M-21-20230802,A00000117614,YELL_003-M-21-20230802-KCL,B00000039827,YELL_003-M-21-peakGreenness-2023,tInitial,0,2023-08-03T16:40:00Z,YELL-20230803-BREF1,10.26,100,2023-08-03T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0003-4019-7357,NA,20251217T193655Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
1836b7b8-f856-421a-ac79-691ccea32e9f,YELL_003.basePlot.bgc,D12,YELL,YELL_003,distributed,2023-08-02T20:59:00Z,2023-08-22T18:21:00Z,NEON.DOC.014048vO,YELL_003-M-21-20230822,A00000380882,YELL_003-M-21-20230822-KCL,B00000039998,YELL_003-M-21-peakGreenness-2023,tFinal,19.89,2023-08-23T16:34:00Z,YELL-20230823-BREF1,10.39,100,2023-08-23T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0002-3355-8487,NA,20251217T193655Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
709dca0e-9a38-4108-b594-694dffe462e2,YELL_003.basePlot.bgc,D12,YELL,YELL_003,distributed,2023-09-12T19:15:00Z,2023-10-10T18:17:00Z,NEON.DOC.014048vO,YELL_003-M-21-20231010,A00000381283,YELL_003-M-21-20231010-KCL,B00000040380,YELL_003-M-21-fallWinterTransition-2023,tFinal,27.96,2023-10-11T15:25:00Z,YELL-20231011-BREF1,10.25,100,2023-10-11T17:00:00Z,OK,NA,0000-0002-3355-8487,0000-0002-3355-8487,NA,20251217T193947Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
3d0f3565-43d6-452d-8dcf-d3be698c387e,YELL_003.basePlot.bgc,D12,YELL,YELL_003,distributed,2023-09-12T19:43:00Z,2023-10-10T18:06:00Z,NEON.DOC.014048vO,YELL_003-M-41-20231010,A00000381284,YELL_003-M-41-20231010-KCL,B00000040368,YELL_003-M-41-fallWinterTransition-2023,tFinal,27.93,2023-10-11T15:25:00Z,YELL-20231011-BREF1,10.36,100,2023-10-11T17:00:00Z,OK,NA,0000-0002-3355-8487,0000-0002-3355-8487,location-resampled,20251217T193947Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
