uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
fef45547-2883-460b-be22-3401bc9dfd7a,ABBY_006.basePlot.bgc,D16,ABBY,ABBY_006,distributed,2022-04-20T17:38:00Z,2022-04-20T17:38:00Z,NEON.DOC.014048vO,ABBY_006-O-21-20220420,A00000292270,ABBY_006-O-21-20220420-KCL,B00000055381,ABBY_006-O-21-wetDryTransition-2022,tInitial,0,2022-04-21T16:42:00Z,ABBY-20220421-BRef1,10.34,98,2022-04-21T18:00:00Z,OK,NA,0000-0001-9521-413X,0000-0001-8432-494X,NA,20251217T193715Z,RELEASE-2026,DP1.10086.001,ABBY,2022,ntr_internalLab
fdd78587-fd5e-413e-b94e-c47ef6ec2642,ABBY_006.basePlot.bgc,D16,ABBY,ABBY_006,distributed,2022-04-20T19:21:00Z,2022-04-20T19:21:00Z,NEON.DOC.014048vO,ABBY_006-M-39-20220420,A00000292123,ABBY_006-M-39-20220420-KCL,B00000055409,ABBY_006-M-39-wetDryTransition-2022,tInitial,0,2022-04-21T16:41:00Z,ABBY-20220421-BRef1,10.41,98,2022-04-21T18:00:00Z,OK,NA,0000-0001-9521-413X,0000-0001-8432-494X,NA,20251217T193715Z,RELEASE-2026,DP1.10086.001,ABBY,2022,ntr_internalLab
7dc17c1f-997d-4f5a-9d5d-b7b5cbe0b40b,ABBY_006.basePlot.bgc,D16,ABBY,ABBY_006,distributed,2022-04-20T22:19:00Z,2022-04-20T22:19:00Z,NEON.DOC.014048vO,ABBY_006-M-23-20220420,A00000292122,ABBY_006-M-23-20220420-KCL,B00000055386,ABBY_006-M-23-wetDryTransition-2022,tInitial,0,2022-04-21T16:42:00Z,ABBY-20220421-BRef1,10.03,100,2022-04-21T18:00:00Z,OK,NA,0000-0001-9521-413X,0000-0001-8432-494X,NA,20251217T193715Z,RELEASE-2026,DP1.10086.001,ABBY,2022,ntr_internalLab
031ed400-533a-4049-9e21-35b2325a8042,ABBY_006.basePlot.bgc,D16,ABBY,ABBY_006,distributed,2022-04-20T17:38:00Z,2022-05-10T17:29:00Z,NEON.DOC.014048vO,ABBY_006-O-21-20220510,A00000292271,ABBY_006-O-21-20220510-KCL,B00000055369,ABBY_006-O-21-wetDryTransition-2022,tFinal,19.99,2022-05-11T18:55:00Z,ABBY-20220511-BREF1,10.15,100,2022-05-11T20:00:00Z,OK,NA,0000-0001-8432-494X,0000-0003-0554-2602,NA,20251217T193935Z,RELEASE-2026,DP1.10086.001,ABBY,2022,ntr_internalLab
f5390bab-56af-4d14-b1f9-ee0ff703db00,ABBY_006.basePlot.bgc,D16,ABBY,ABBY_006,distributed,2022-04-20T19:21:00Z,2022-05-10T17:50:00Z,NEON.DOC.014048vO,ABBY_006-M-39-20220510,A00000292463,ABBY_006-M-39-20220510-KCL,B00000055391,ABBY_006-M-39-wetDryTransition-2022,tFinal,19.94,2022-05-11T18:55:00Z,ABBY-20220511-BREF1,10.06,100,2022-05-11T20:00:00Z,OK,NA,0000-0001-8432-494X,0000-0003-0554-2602,NA,20251217T193935Z,RELEASE-2026,DP1.10086.001,ABBY,2022,ntr_internalLab
a767febe-d077-485c-891e-84e4a8fc0cd7,ABBY_006.basePlot.bgc,D16,ABBY,ABBY_006,distributed,2022-04-20T22:19:00Z,2022-05-10T16:50:00Z,NEON.DOC.014048vO,ABBY_006-M-23-20220510,A00000292272,ABBY_006-M-23-20220510-KCL,B00000055388,ABBY_006-M-23-wetDryTransition-2022,tFinal,19.77,2022-05-11T18:55:00Z,ABBY-20220511-BREF1,10.01,100,2022-05-11T20:00:00Z,OK,NA,0000-0001-8432-494X,0000-0003-0554-2602,NA,20251217T193935Z,RELEASE-2026,DP1.10086.001,ABBY,2022,ntr_internalLab
0746626e-980b-4312-99cf-66dbbaeb6d8e,ABBY_006.basePlot.bgc,D16,ABBY,ABBY_006,distributed,2022-06-15T21:29:00Z,2022-06-15T21:29:00Z,NEON.DOC.014048vO,ABBY_006-M-41-20220615,A00000292861,ABBY_006-M-41-20220615-KCL,B00000055421,ABBY_006-M-41-peakGreenness-2022,tInitial,0,2022-06-16T20:07:00Z,ABBY-20220616-BREF1,10,100,2022-06-16T23:00:00Z,OK,NA,0000-0001-8432-494X,0009-0003-2645-2294,NA,20251217T194050Z,RELEASE-2026,DP1.10086.001,ABBY,2022,ntr_internalLab
ceab59c6-4f79-45c8-86de-1dbfe87df2b8,ABBY_006.basePlot.bgc,D16,ABBY,ABBY_006,distributed,2022-06-15T22:13:00Z,2022-06-15T22:13:00Z,NEON.DOC.014048vO,ABBY_006-M-39-20220615,A00000292878,ABBY_006-M-39-20220615-KCL,B00000055361,ABBY_006-M-39-peakGreenness-2022,tInitial,0,2022-06-16T21:21:00Z,ABBY-20220616-BREF1,10.08,100,2022-06-16T23:00:00Z,OK,NA,0000-0001-8432-494X,0009-0003-2645-2294,NA,20251217T194050Z,RELEASE-2026,DP1.10086.001,ABBY,2022,ntr_internalLab
5fdb3714-dde1-43f8-8711-9e13eaea2a3c,ABBY_006.basePlot.bgc,D16,ABBY,ABBY_006,distributed,2022-06-15T23:04:00Z,2022-06-15T23:04:00Z,NEON.DOC.014048vO,ABBY_006-O-21-20220615,A00000292464,ABBY_006-O-21-20220615-KCL,B00000055387,ABBY_006-O-21-peakGreenness-2022,tInitial,0,2022-06-16T20:03:00Z,ABBY-20220616-BREF1,10.15,100,2022-06-16T23:00:00Z,OK,NA,0000-0001-8432-494X,0009-0003-2645-2294,NA,20251217T194050Z,RELEASE-2026,DP1.10086.001,ABBY,2022,ntr_internalLab
9ab3b13c-9707-485c-b1c1-4f1ca81c7c6c,ABBY_006.basePlot.bgc,D16,ABBY,ABBY_006,distributed,2022-11-01T20:43:00Z,2022-11-01T20:43:00Z,NEON.DOC.014048vO,ABBY_006-M-39-20221101,A00000293788,ABBY_006-M-39-20221101-KCL,B00000120959,ABBY_006-M-39-dryWetTransition-2022,tInitial,0,2022-11-02T18:47:00Z,ABBY-20221102-BREF1,10.43,100,2022-11-02T20:00:00Z,OK,NA,0000-0001-6193-1800,0000-0001-6193-1800,NA,20251217T193711Z,RELEASE-2026,DP1.10086.001,ABBY,2022,ntr_internalLab
7c04b264-2615-4eba-929b-1bac8ac54e85,ABBY_006.basePlot.bgc,D16,ABBY,ABBY_006,distributed,2022-11-01T20:43:00Z,2022-11-28T19:16:00Z,NEON.DOC.014048vO,ABBY_006-M-39-20221128,A00000293758,ABBY_006-M-39-20221128-KCL,D00000143790,ABBY_006-M-39-dryWetTransition-2022,tFinal,26.94,2022-11-29T18:13:00Z,ABBY-20221129-BREF1,10,100,2022-11-29T21:00:00Z,OK,NA,0000-0001-6193-1800,0000-0001-6193-1800,NA,20251217T193711Z,RELEASE-2026,DP1.10086.001,ABBY,2022,ntr_internalLab
