uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
c348ad5c-a149-48ae-bc26-36e93ffd794b,DELA_041.basePlot.bgc,D08,DELA,DELA_041,tower,2024-03-06T15:04:00Z,2024-03-06T15:04:00Z,NEON.DOC.014048vP,DELA_041-M-41-20240306,A00000458010,DELA_041-M-41-20240306-KCL,B00000094559,DELA_041-M-41-wetDryTransition-2024,tInitial,0,2024-03-07T18:33:00Z,DELA-20240307-BREF1,10.13,102,2024-03-07T22:00:00Z,OK,NA,0000-0001-7717-279X,0000-0001-7717-279X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_internalLab
337e57a3-3ca4-47d5-a5aa-9e9af1d94714,DELA_041.basePlot.bgc,D08,DELA,DELA_041,tower,2024-03-06T15:04:00Z,2024-03-27T15:51:00Z,NEON.DOC.014048vP,DELA_041-M-41-20240327,A00000458009,DELA_041-M-41-20240327-KCL,B00000094683,DELA_041-M-41-wetDryTransition-2024,tFinal,21.03,2024-03-28T16:27:00Z,DELA-20240328-BREF1,10,100,2024-03-28T20:00:00Z,OK,NA,0000-0003-3172-1559,0000-0003-3172-1559,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_internalLab
4f73bb0d-571d-4d88-8374-8e2e57e307dd,DELA_005.basePlot.bgc,D08,DELA,DELA_005,distributed,2024-03-06T15:26:00Z,2024-03-06T15:26:00Z,NEON.DOC.014048vP,DELA_005-M-41-20240306,A00000458040,DELA_005-M-41-20240306-KCL,B00000094574,DELA_005-M-41-wetDryTransition-2024,tInitial,0,2024-03-07T18:00:00Z,DELA-20240307-BREF1,10.05,101,2024-03-07T21:00:00Z,OK,NA,0000-0001-7717-279X,0000-0001-7717-279X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_internalLab
04cb77e2-93f4-4f30-a927-d202ce055ebc,DELA_005.basePlot.bgc,D08,DELA,DELA_005,distributed,2024-03-06T15:26:00Z,2024-03-27T18:29:00Z,NEON.DOC.014048vP,DELA_005-M-41-20240327,A00000458041,DELA_005-M-41-20240327-KCL,B00000094698,DELA_005-M-41-wetDryTransition-2024,tFinal,21.13,2024-03-28T16:19:00Z,DELA-20240328-BREF1,10.08,100,2024-03-28T19:00:00Z,OK,NA,0000-0003-3172-1559,0000-0003-3172-1559,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_internalLab
0216b5c7-63ba-4114-8d1c-fc19958a6097,DELA_041.basePlot.bgc,D08,DELA,DELA_041,tower,2024-03-06T15:29:00Z,2024-03-06T15:29:00Z,NEON.DOC.014048vP,DELA_041-M-23-20240306,A00000458008,DELA_041-M-23-20240306-KCL,B00000094561,DELA_041-M-23-wetDryTransition-2024,tInitial,0,2024-03-07T18:26:00Z,DELA-20240307-BREF1,10.22,102,2024-03-07T22:00:00Z,OK,NA,0000-0001-7717-279X,0000-0001-7717-279X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_internalLab
10bed607-ab1d-4fd8-bc65-c6b290840b32,DELA_041.basePlot.bgc,D08,DELA,DELA_041,tower,2024-03-06T15:29:00Z,2024-03-27T15:56:00Z,NEON.DOC.014048vP,DELA_041-M-23-20240327,A00000458007,DELA_041-M-23-20240327-KCL,B00000094685,DELA_041-M-23-wetDryTransition-2024,tFinal,21.02,2024-03-28T16:26:00Z,DELA-20240328-BREF1,9.93,99,2024-03-28T19:00:00Z,OK,NA,0000-0003-3172-1559,0000-0003-3172-1559,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_internalLab
c1c1f850-2dd8-4b45-a655-6f7fdde2d670,DELA_005.basePlot.bgc,D08,DELA,DELA_005,distributed,2024-03-06T15:49:00Z,2024-03-06T15:49:00Z,NEON.DOC.014048vP,DELA_005-M-23-20240306,A00000458045,DELA_005-M-23-20240306-KCL,B00000094575,DELA_005-M-23-wetDryTransition-2024,tInitial,0,2024-03-07T17:59:00Z,DELA-20240307-BREF1,10.1,102,2024-03-07T21:00:00Z,OK,NA,0000-0001-7717-279X,0000-0001-7717-279X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_internalLab
ed3e68bd-f2c2-424b-9af0-902bbfdbb43c,DELA_005.basePlot.bgc,D08,DELA,DELA_005,distributed,2024-03-06T15:49:00Z,2024-03-27T18:26:00Z,NEON.DOC.014048vP,DELA_005-M-23-20240327,A00000458046,DELA_005-M-23-20240327-KCL,B00000094699,DELA_005-M-23-wetDryTransition-2024,tFinal,21.11,2024-03-28T16:19:00Z,DELA-20240328-BREF1,9.99,100,2024-03-28T19:00:00Z,OK,NA,0000-0003-3172-1559,0000-0003-3172-1559,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_internalLab
6640dd2d-aab1-47b4-8b1c-cce1d302a52c,DELA_041.basePlot.bgc,D08,DELA,DELA_041,tower,2024-03-06T16:02:00Z,2024-03-06T16:02:00Z,NEON.DOC.014048vP,DELA_041-M-39-20240306,A00000458005,DELA_041-M-39-20240306-KCL,B00000094560,DELA_041-M-39-wetDryTransition-2024,tInitial,0,2024-03-07T18:30:00Z,DELA-20240307-BREF1,10.13,99,2024-03-07T22:00:00Z,OK,NA,0000-0001-7717-279X,0000-0001-7717-279X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_internalLab
d66c1354-6ecb-499d-a243-ccd9bcd76a5a,DELA_041.basePlot.bgc,D08,DELA,DELA_041,tower,2024-03-06T16:02:00Z,2024-03-27T16:01:00Z,NEON.DOC.014048vP,DELA_041-M-39-20240327,A00000458006,DELA_041-M-39-20240327-KCL,B00000094684,DELA_041-M-39-wetDryTransition-2024,tFinal,21,2024-03-28T16:26:00Z,DELA-20240328-BREF1,10.27,100,2024-03-28T20:00:00Z,OK,NA,0000-0003-3172-1559,0000-0003-3172-1559,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_internalLab
