uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
cf98ef18-c16b-4719-aaca-b182f5bdac75,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T16:22:00Z,2018-04-18T16:22:00Z,NEON.DOC.014048vK,HARV_004-O-0.5-26.5-20180418,A00000001248,HARV_004-O-0.5-26.5-20180418-KCL,B00000006270,HARV_004-O-0.5-26.5,tInitial,0,2018-04-19T16:54:00Z,HARV-20180419-BRef1,10.25,100,2018-04-19T20:00:00Z,OK,NA,scook@battelleecology.org,dmikros@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
fb860552-229d-4897-87f5-b9c198f66204,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T16:31:00Z,2018-04-18T16:31:00Z,NEON.DOC.014048vK,HARV_004-M-0.5-26.5-20180418,A00000001231,HARV_004-M-0.5-26.5-20180418-KCL,B00000006324,HARV_004-M-0.5-26.5,tInitial,0,2018-04-19T14:31:00Z,HARV-20180419-BRef1,9.97,100,2018-04-19T18:00:00Z,OK,NA,scook@battelleecology.org,dmikros@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
98126115-fbc6-4234-8c7c-e6e3eb9b9426,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T16:53:00Z,2018-04-18T16:53:00Z,NEON.DOC.014048vK,HARV_004-O-36-30.5-20180418,A00000001249,HARV_004-O-36-30.5-20180418-KCL,B00000006306,HARV_004-O-36-30.5,tInitial,0,2018-04-19T16:48:00Z,HARV-20180419-BRef1,10.24,100,2018-04-19T20:00:00Z,OK,NA,scook@battelleecology.org,dmikros@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
166e017c-b479-4e12-be9a-1f0f3b1fbede,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T17:07:00Z,2018-04-18T17:07:00Z,NEON.DOC.014048vK,HARV_004-M-36-30.5-20180418,A00000001230,HARV_004-M-36-30.5-20180418-KCL,B00000006277,HARV_004-M-36-30.5,tInitial,0,2018-04-19T15:49:00Z,HARV-20180419-BRef1,10.05,100,2018-04-19T19:00:00Z,OK,NA,scook@battelleecology.org,dmikros@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
5543909a-d370-4ca2-824f-dcf06ab2a6ef,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T17:22:00Z,2018-04-18T17:22:00Z,NEON.DOC.014048vK,HARV_004-O-21-0-20180418,A00000001250,HARV_004-O-21-0-20180418-KCL,B00000006323,HARV_004-O-21-0,tInitial,0,2018-04-19T15:11:00Z,HARV-20180419-BRef1,10,100,2018-04-19T19:00:00Z,OK,NA,scook@battelleecology.org,dmikros@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
db22766e-f985-48f3-a517-0dd94623fcba,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T17:32:00Z,2018-04-18T17:32:00Z,NEON.DOC.014048vK,HARV_004-M-21-0-20180418,A00000001229,HARV_004-M-21-0-20180418-KCL,B00000006315,HARV_004-M-21-0,tInitial,0,2018-04-19T16:57:00Z,HARV-20180419-BRef1,10.23,100,2018-04-19T20:00:00Z,OK,NA,scook@battelleecology.org,dmikros@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
b8483c1c-a64c-4c48-ab07-07e7890c7ba6,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T16:22:00Z,2018-05-07T20:10:00Z,NEON.DOC.014048vK,HARV_004-O-0.5-26.5-20180507,A00000001031,HARV_004-O-0.5-26.5-20180507-KCL,B00000007145,HARV_004-O-0.5-26.5,tFinal,19.16,2018-05-08T14:28:00Z,HARV-20180508-BRef1,9.7,100,2018-05-08T18:00:00Z,OK,NA,gvanscoy@field-ops.org,jwebber@field-ops.org,NA,20251217T193843Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
268c07d5-9ff5-44e6-827c-43f246bcf62f,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T16:31:00Z,2018-05-07T20:10:00Z,NEON.DOC.014048vK,HARV_004-M-0.5-26.5-20180507,A00000001064,HARV_004-M-0.5-26.5-20180507-KCL,B00000007134,HARV_004-M-0.5-26.5,tFinal,19.15,2018-05-08T14:27:00Z,HARV-20180508-BRef1,10.13,100,2018-05-08T18:00:00Z,OK,NA,gvanscoy@field-ops.org,jwebber@field-ops.org,NA,20251217T193843Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
a8f76e2f-082a-4898-9c0d-3f243ce1ed7c,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T16:53:00Z,2018-05-07T20:20:00Z,NEON.DOC.014048vK,HARV_004-O-36-30.5-20180507,A00000001048,HARV_004-O-36-30.5-20180507-KCL,B00000007144,HARV_004-O-36-30.5,tFinal,19.14,2018-05-08T14:27:00Z,HARV-20180508-BRef1,10.46,100,2018-05-08T18:00:00Z,OK,NA,gvanscoy@field-ops.org,jwebber@field-ops.org,NA,20251217T193843Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
51fd3c7f-2f7a-423c-b889-8dbe37a37d25,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T17:07:00Z,2018-05-07T20:20:00Z,NEON.DOC.014048vK,HARV_004-M-36-30.5-20180507,A00000001013,HARV_004-M-36-30.5-20180507-KCL,B00000007135,HARV_004-M-36-30.5,tFinal,19.13,2018-05-08T14:27:00Z,HARV-20180508-BRef1,10.41,100,2018-05-08T18:00:00Z,OK,NA,gvanscoy@field-ops.org,jwebber@field-ops.org,NA,20251217T193843Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
423b9a46-08f1-486c-bfdd-cf930d5185e1,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T17:22:00Z,2018-05-07T20:25:00Z,NEON.DOC.014048vK,HARV_004-O-21-0-20180507,A00000001065,HARV_004-O-21-0-20180507-KCL,B00000007143,HARV_004-O-21-0,tFinal,19.13,2018-05-08T14:30:00Z,HARV-20180508-BRef1,10.36,100,2018-05-08T18:00:00Z,OK,NA,gvanscoy@field-ops.org,jwebber@field-ops.org,NA,20251217T193843Z,RELEASE-2026,DP1.10086.001,HARV,2018,ntr_internalLab
