uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
4318e774-4083-4c1b-98b9-5ac9560cf190,HEAL_010.basePlot.bgc,D19,HEAL,HEAL_010,distributed,2021-06-25T23:25:00Z,2021-06-25T23:25:00Z,NEON.DOC.014048vN,HEAL_010-M-10.5-4.5-20210625,A00000307375,HEAL_010-M-10.5-4.5-20210625-KCL,B00000127393,HEAL_010-M-10.5-4.5,tInitial,0,2021-06-26T20:04:00Z,HEAL-20210626-BRef1,10.05,100,2021-06-26T22:00:00Z,OK,NA,0000-0002-2117-4697,0000-0002-3309-2269,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
3f0abc13-b99a-4ac9-8cd4-8e83c1527d57,HEAL_010.basePlot.bgc,D19,HEAL,HEAL_010,distributed,2021-06-25T23:25:00Z,2021-06-25T23:25:00Z,NEON.DOC.014048vN,HEAL_010-O-10.5-4.5-20210625,A00000307376,HEAL_010-O-10.5-4.5-20210625-KCL,B00000127390,HEAL_010-O-10.5-4.5,tInitial,0,2021-06-26T20:04:00Z,HEAL-20210626-BRef1,10.04,100,2021-06-26T22:00:00Z,OK,NA,0000-0002-2117-4697,0000-0002-3309-2269,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
0ba93b4b-2db9-4036-b2e2-6d7db07dd24a,HEAL_010.basePlot.bgc,D19,HEAL,HEAL_010,distributed,2021-06-25T23:53:00Z,2021-06-25T23:53:00Z,NEON.DOC.014048vN,HEAL_010-M-9.5-29-20210625,A00000307374,HEAL_010-M-9.5-29-20210625-KCL,B00000127395,HEAL_010-M-9.5-29,tInitial,0,2021-06-26T20:07:00Z,HEAL-20210626-BRef1,10.02,100,2021-06-26T22:00:00Z,OK,NA,0000-0002-2117-4697,0000-0002-3309-2269,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
0c60c1a4-cb5d-4317-80dc-a5333a4a92ae,HEAL_010.basePlot.bgc,D19,HEAL,HEAL_010,distributed,2021-06-25T23:53:00Z,2021-06-25T23:53:00Z,NEON.DOC.014048vN,HEAL_010-O-9.5-29-20210625,A00000307377,HEAL_010-O-9.5-29-20210625-KCL,B00000127391,HEAL_010-O-9.5-29,tInitial,0,2021-06-26T20:03:00Z,HEAL-20210626-BRef1,10,100,2021-06-26T22:00:00Z,OK,NA,0000-0002-2117-4697,0000-0002-3309-2269,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
7230ec63-7b31-467e-a98a-da193b7beeeb,HEAL_010.basePlot.bgc,D19,HEAL,HEAL_010,distributed,2021-06-26T00:23:00Z,2021-06-26T00:23:00Z,NEON.DOC.014048vN,HEAL_010-O-31.5-27.5-20210625,A00000307378,HEAL_010-O-31.5-27.5-20210625-KCL,B00000127392,HEAL_010-O-31.5-27.5,tInitial,0,2021-06-26T20:06:00Z,HEAL-20210626-BRef1,9.99,100,2021-06-26T22:00:00Z,OK,NA,0000-0002-2117-4697,0000-0002-3309-2269,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
dca32da2-58a6-4992-ba4a-4b98d1d28418,HEAL_010.basePlot.bgc,D19,HEAL,HEAL_010,distributed,2021-06-26T00:23:00Z,2021-06-26T00:23:00Z,NEON.DOC.014048vN,HEAL_010-M-31.5-27.5-20210625,A00000307373,HEAL_010-M-31.5-27.5-20210625-KCL,B00000127394,HEAL_010-M-31.5-27.5,tInitial,0,2021-06-26T19:59:00Z,HEAL-20210626-BRef1,10.01,100,2021-06-26T22:00:00Z,OK,NA,0000-0002-2117-4697,0000-0002-3309-2269,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
52eaa509-243e-48d1-b2c9-bdaaab3a80b3,HEAL_010.basePlot.bgc,D19,HEAL,HEAL_010,distributed,2021-06-25T23:25:00Z,2021-07-13T17:30:00Z,NEON.DOC.014048vN,HEAL_010-O-10.5-4.5-20210713,NA,HEAL_010-O-10.5-4.5-20210713-KCL,B00000127655,HEAL_010-O-10.5-4.5,tFinal,17.75,2021-07-14T19:32:00Z,HEAL-20210714-BRef1,10.01,100,2021-07-14T22:00:00Z,OK,NA,0000-0002-3309-2269,0000-0003-3744-1769,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
a91d8a80-bebf-45c9-9154-69c81517abd3,HEAL_010.basePlot.bgc,D19,HEAL,HEAL_010,distributed,2021-06-25T23:25:00Z,2021-07-13T17:30:00Z,NEON.DOC.014048vN,HEAL_010-M-10.5-4.5-20210713,NA,HEAL_010-M-10.5-4.5-20210713-KCL,B00000127658,HEAL_010-M-10.5-4.5,tFinal,17.75,2021-07-14T19:38:00Z,HEAL-20210714-BRef1,10.04,100,2021-07-14T22:00:00Z,OK,NA,0000-0002-3309-2269,0000-0003-3744-1769,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
34f4ef28-4e1e-4f4e-a8eb-445053a28afb,HEAL_010.basePlot.bgc,D19,HEAL,HEAL_010,distributed,2021-06-25T23:53:00Z,2021-07-13T17:19:00Z,NEON.DOC.014048vN,HEAL_010-M-9.5-29-20210713,NA,HEAL_010-M-9.5-29-20210713-KCL,B00000127659,HEAL_010-M-9.5-29,tFinal,17.73,2021-07-14T19:36:00Z,HEAL-20210714-BRef1,9.98,100,2021-07-14T22:00:00Z,OK,NA,0000-0002-3309-2269,0000-0003-3744-1769,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
fa338d65-86ad-4b19-b432-22b56685debb,HEAL_010.basePlot.bgc,D19,HEAL,HEAL_010,distributed,2021-06-25T23:53:00Z,2021-07-13T17:19:00Z,NEON.DOC.014048vN,HEAL_010-O-9.5-29-20210713,NA,HEAL_010-O-9.5-29-20210713-KCL,B00000127654,HEAL_010-O-9.5-29,tFinal,17.73,2021-07-14T19:30:00Z,HEAL-20210714-BRef1,10.02,100,2021-07-14T22:00:00Z,OK,NA,0000-0002-3309-2269,0000-0003-3744-1769,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
e84dafba-92ef-4d4e-8bd7-07f513546fac,HEAL_010.basePlot.bgc,D19,HEAL,HEAL_010,distributed,2021-06-26T00:23:00Z,2021-07-13T17:44:00Z,NEON.DOC.014048vN,HEAL_010-M-31.5-27.5-20210713,NA,HEAL_010-M-31.5-27.5-20210713-KCL,B00000127657,HEAL_010-M-31.5-27.5,tFinal,17.72,2021-07-14T19:35:00Z,HEAL-20210714-BRef1,9.96,100,2021-07-14T22:00:00Z,OK,NA,0000-0002-3309-2269,0000-0003-3744-1769,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
4acea3d5-acee-4700-a20d-dec2538e322e,HEAL_010.basePlot.bgc,D19,HEAL,HEAL_010,distributed,2021-06-26T00:23:00Z,2021-07-13T17:44:00Z,NEON.DOC.014048vN,HEAL_010-O-31.5-27.5-20210713,NA,HEAL_010-O-31.5-27.5-20210713-KCL,B00000127656,HEAL_010-O-31.5-27.5,tFinal,17.72,2021-07-14T19:28:00Z,HEAL-20210714-BRef1,10.01,100,2021-07-14T22:00:00Z,OK,NA,0000-0002-3309-2269,0000-0003-3744-1769,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
