uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
83c6e3c5-358e-4f8a-8f5b-6820f39400b6,D13,MOAB,MOAB_003,MOAB_003.basePlot.bgc,distributed,evergreenForest,NA,7.5,29.5,WGS84,38.261284,-109.349483,20.1,2006.8,0.11,NEON.DOC.014048vL,2019-04-01T22:47:00Z,2019-04-01T22:47:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,MOAB_003-M-7.5-29.5-20190401,A00000057143,NA,M,NA,7.7,0,0,29,maximum,auger,1,NA,NA,NA,NA,MOAB_003-M-7.5-29.5-20190401-GA1,C00000043917,NA,MOAB_003-M-7.5-29.5-20190401-GA2,C00000043918,NA,MOAB_003-M-7.5-29.5-20190401-GA3,C00000043919,NA,MOAB_003-M-7.5-29.5-20190401-GA4,C00000043920,NA,MOAB_003-M-7.5-29.5-20190401-GA5,C00000043916,NA,NA,NA,NA,NA,NA,NA,0000-0001-6794-9315,NA,20251217T193829Z,RELEASE-2026,DP1.10086.001,MOAB,2019,sls_soilCoreCollection
31dfc65b-a3bd-4e5e-9558-26e71ea17ea0,D13,MOAB,MOAB_003,MOAB_003.basePlot.bgc,distributed,evergreenForest,NA,13.5,9,WGS84,38.261284,-109.349483,20.1,2006.8,0.11,NEON.DOC.014048vL,2019-04-01T23:12:00Z,2019-04-01T23:12:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,MOAB_003-M-13.5-9-20190401,A00000057145,NA,M,NA,10.1,0,0,30,maximum,auger,1,NA,NA,NA,NA,MOAB_003-M-13.5-9-20190401-GA1,C00000043908,NA,MOAB_003-M-13.5-9-20190401-GA2,C00000043907,NA,MOAB_003-M-13.5-9-20190401-GA3,C00000043910,NA,MOAB_003-M-13.5-9-20190401-GA4,C00000043909,NA,MOAB_003-M-13.5-9-20190401-GA5,C00000043906,NA,NA,NA,NA,NA,NA,NA,0000-0001-6794-9315,NA,20251217T193829Z,RELEASE-2026,DP1.10086.001,MOAB,2019,sls_soilCoreCollection
84253d8f-f7bd-4b74-978f-40c1ebb3ab7f,D13,MOAB,MOAB_003,MOAB_003.basePlot.bgc,distributed,evergreenForest,NA,38,4,WGS84,38.261284,-109.349483,20.1,2006.8,0.11,NEON.DOC.014048vL,2019-04-01T23:32:00Z,2019-04-01T23:32:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,MOAB_003-M-38-4-20190401,A00000057144,NA,M,NA,9.6,0,0,30,maximum,auger,1,NA,NA,NA,NA,MOAB_003-M-38-4-20190401-GA1,C00000043911,NA,MOAB_003-M-38-4-20190401-GA2,C00000043913,NA,MOAB_003-M-38-4-20190401-GA3,C00000043912,NA,MOAB_003-M-38-4-20190401-GA4,C00000043914,NA,MOAB_003-M-38-4-20190401-GA5,C00000043915,NA,NA,NA,NA,NA,NA,NA,0000-0001-6794-9315,NA,20251217T193829Z,RELEASE-2026,DP1.10086.001,MOAB,2019,sls_soilCoreCollection
496e000a-78cf-4199-bae0-2e35cbc42666,D13,MOAB,MOAB_005,MOAB_005.basePlot.bgc,distributed,shrubScrub,NA,32.5,9,WGS84,38.21093,-109.403726,20.1,1768.1,0.11,NEON.DOC.014048vL,2019-04-02T15:07:00Z,2019-04-02T15:07:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,MOAB_005-M-32.5-9-20190402,A00000057150,NA,M,NA,8.2,0,0,29.5,maximum,auger,1,NA,NA,NA,NA,MOAB_005-M-32.5-9-20190402-GA1,C00000043943,NA,MOAB_005-M-32.5-9-20190402-GA2,C00000043944,NA,MOAB_005-M-32.5-9-20190402-GA3,C00000043945,NA,MOAB_005-M-32.5-9-20190402-GA4,C00000043941,NA,MOAB_005-M-32.5-9-20190402-GA5,C00000043942,NA,NA,NA,NA,NA,NA,NA,0000-0002-2042-5781,NA,20251217T193829Z,RELEASE-2026,DP1.10086.001,MOAB,2019,sls_soilCoreCollection
672495b0-b009-40ef-94cc-474de0142380,D13,MOAB,MOAB_005,MOAB_005.basePlot.bgc,distributed,shrubScrub,NA,14.5,5,WGS84,38.21093,-109.403726,20.1,1768.1,0.11,NEON.DOC.014048vL,2019-04-02T15:19:00Z,2019-04-02T15:19:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,MOAB_005-M-14.5-5-20190402,A00000057149,NA,M,NA,8.5,0,0,30.5,maximum,auger,1,NA,NA,NA,NA,MOAB_005-M-14.5-5-20190402-GA1,C00000043946,NA,MOAB_005-M-14.5-5-20190402-GA2,C00000043947,NA,MOAB_005-M-14.5-5-20190402-GA3,C00000043948,NA,MOAB_005-M-14.5-5-20190402-GA4,C00000043950,NA,MOAB_005-M-14.5-5-20190402-GA5,C00000043949,NA,NA,NA,NA,NA,NA,NA,0000-0002-2042-5781,NA,20251217T193829Z,RELEASE-2026,DP1.10086.001,MOAB,2019,sls_soilCoreCollection
b1081b1f-6db9-4db8-8935-e17240706d8c,D13,MOAB,MOAB_005,MOAB_005.basePlot.bgc,distributed,shrubScrub,NA,4,38.5,WGS84,38.21093,-109.403726,20.1,1768.1,0.11,NEON.DOC.014048vL,2019-04-02T15:32:00Z,2019-04-02T15:32:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,MOAB_005-M-4-38.5-20190402,A00000057151,NA,M,NA,8.2,0,0,29.5,maximum,auger,1,NA,NA,NA,NA,MOAB_005-M-4-38.5-20190402-GA1,C00000043939,NA,MOAB_005-M-4-38.5-20190402-GA2,C00000043938,NA,MOAB_005-M-4-38.5-20190402-GA3,C00000043940,NA,MOAB_005-M-4-38.5-20190402-GA4,C00000043937,NA,MOAB_005-M-4-38.5-20190402-GA5,C00000043936,NA,NA,NA,NA,NA,NA,NA,0000-0002-2042-5781,NA,20251217T193829Z,RELEASE-2026,DP1.10086.001,MOAB,2019,sls_soilCoreCollection
48d64445-6fdc-47d5-85b6-c7eb92902bed,D13,MOAB,MOAB_002,MOAB_002.basePlot.bgc,distributed,shrubScrub,NA,38.5,35,WGS84,38.210793,-109.414698,20.1,1773.5,0.1,NEON.DOC.014048vL,2019-04-02T16:43:00Z,2019-04-02T16:43:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,MOAB_002-M-38.5-35-20190402,A00000057142,NA,M,NA,9.2,0,0,30,maximum,auger,1,NA,NA,NA,NA,MOAB_002-M-38.5-35-20190402-GA1,C00000043905,NA,MOAB_002-M-38.5-35-20190402-GA2,C00000043904,NA,MOAB_002-M-38.5-35-20190402-GA3,C00000043902,NA,MOAB_002-M-38.5-35-20190402-GA4,C00000043901,NA,MOAB_002-M-38.5-35-20190402-GA5,C00000043903,NA,NA,NA,NA,NA,NA,NA,0000-0002-2042-5781,NA,20251217T193829Z,RELEASE-2026,DP1.10086.001,MOAB,2019,sls_soilCoreCollection
e9e1c412-8a38-46a5-a13d-a95c3826b6ef,D13,MOAB,MOAB_002,MOAB_002.basePlot.bgc,distributed,shrubScrub,NA,24,7.5,WGS84,38.210793,-109.414698,20.1,1773.5,0.1,NEON.DOC.014048vL,2019-04-02T16:53:00Z,2019-04-02T16:53:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,MOAB_002-M-24-7.5-20190402,A00000057140,NA,M,NA,9.6,0,0,30.5,NA,auger,1,NA,NA,NA,NA,MOAB_002-M-24-7.5-20190402-GA1,C00000043891,NA,MOAB_002-M-24-7.5-20190402-GA2,C00000043892,NA,MOAB_002-M-24-7.5-20190402-GA3,C00000043893,NA,MOAB_002-M-24-7.5-20190402-GA4,C00000043894,NA,MOAB_002-M-24-7.5-20190402-GA5,C00000043895,NA,NA,NA,NA,NA,NA,NA,0000-0002-2042-5781,NA,20251217T193829Z,RELEASE-2026,DP1.10086.001,MOAB,2019,sls_soilCoreCollection
62f33917-75ea-4f42-9979-39374da75cb2,D13,MOAB,MOAB_002,MOAB_002.basePlot.bgc,distributed,shrubScrub,NA,7.5,3.5,WGS84,38.210793,-109.414698,20.1,1773.5,0.1,NEON.DOC.014048vL,2019-04-02T17:03:00Z,2019-04-02T17:03:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,MOAB_002-M-7.5-3.5-20190402,A00000057141,NA,M,NA,9.7,0,0,29.5,maximum,auger,1,NA,NA,NA,NA,MOAB_002-M-7.5-3.5-20190402-GA1,C00000043896,NA,MOAB_002-M-7.5-3.5-20190402-GA2,C00000043897,NA,MOAB_002-M-7.5-3.5-20190402-GA3,C00000043900,NA,MOAB_002-M-7.5-3.5-20190402-GA4,C00000043899,NA,MOAB_002-M-7.5-3.5-20190402-GA5,C00000043898,NA,NA,NA,NA,NA,NA,NA,0000-0002-2042-5781,NA,20251217T193829Z,RELEASE-2026,DP1.10086.001,MOAB,2019,sls_soilCoreCollection
1d45e3c8-b788-478c-b7d7-1c141e8a1648,D13,MOAB,MOAB_006,MOAB_006.basePlot.bgc,distributed,shrubScrub,NA,38,5.5,WGS84,38.236381,-109.406596,20.1,1760.6,0.1,NEON.DOC.014048vL,2019-04-02T18:37:00Z,2019-04-02T18:37:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,MOAB_006-M-38-5.5-20190402,A00000057120,NA,M,NA,11.4,0,0,30,maximum,auger,1,NA,NA,NA,NA,MOAB_006-M-38-5.5-20190402-GA1,C00000043957,NA,MOAB_006-M-38-5.5-20190402-GA2,C00000043956,NA,MOAB_006-M-38-5.5-20190402-GA3,C00000043958,NA,MOAB_006-M-38-5.5-20190402-GA4,C00000043959,NA,MOAB_006-M-38-5.5-20190402-GA5,C00000043960,NA,NA,NA,NA,NA,NA,NA,0000-0002-2042-5781,NA,20251217T193829Z,RELEASE-2026,DP1.10086.001,MOAB,2019,sls_soilCoreCollection
