uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
728a41e8-6b0e-4246-8e5a-19f8517fbdd0,D17,SJER,SJER_003,SJER_003.basePlot.bgc,distributed,evergreenForest,NA,7.5,5,WGS84,37.116632,-119.730379,20.1,437.5,0.16,NEON.DOC.014048vK,2018-02-19T18:29:00Z,2018-02-19T18:29:00Z,peakGreenness,NA,NA,0,No,microbes,NA,NA,NA,SJER_003-M-7.5-5-20180219,NA,NA,M,NA,6,0,0,15,entire,auger,2,SJER_003-M-7.5-5-20180219-GEN,NA,OK,NA,SJER_003-M-7.5-5-20180219-GA1,NA,NA,SJER_003-M-7.5-5-20180219-GA2,NA,NA,SJER_003-M-7.5-5-20180219-GA3,NA,NA,SJER_003-M-7.5-5-20180219-GA4,NA,NA,SJER_003-M-7.5-5-20180219-GA5,NA,NA,NA,NA,NA,NA,NA,NA,mtreece@battelleecology.org,NA,20251217T194053Z,RELEASE-2026,DP1.10086.001,SJER,2018,sls_soilCoreCollection
f5782e76-667b-4acf-b12d-5dfd1bbddc0c,D17,SJER,SJER_003,SJER_003.basePlot.bgc,distributed,evergreenForest,NA,1,29,WGS84,37.116632,-119.730379,20.1,437.5,0.16,NEON.DOC.014048vK,2018-02-19T19:00:00Z,2018-02-19T19:00:00Z,peakGreenness,NA,NA,0,No,microbes,NA,NA,NA,SJER_003-M-1-29-20180219,NA,NA,M,NA,9.2,1,0,10,obstruction,auger,3,SJER_003-M-1-29-20180219-GEN,NA,NA,NA,SJER_003-M-1-29-20180219-GA1,NA,NA,SJER_003-M-1-29-20180219-GA2,NA,NA,SJER_003-M-1-29-20180219-GA3,NA,NA,SJER_003-M-1-29-20180219-GA4,NA,NA,SJER_003-M-1-29-20180219-GA5,NA,NA,NA,NA,NA,NA,NA,NA,mtreece@battelleecology.org,NA,20251217T194053Z,RELEASE-2026,DP1.10086.001,SJER,2018,sls_soilCoreCollection
1d94575d-15dc-4619-a3f7-e36b54e1991b,D17,SJER,SJER_003,SJER_003.basePlot.bgc,distributed,evergreenForest,NA,32,28.5,WGS84,37.116632,-119.730379,20.1,437.5,0.16,NEON.DOC.014048vK,2018-02-19T19:22:00Z,2018-02-19T19:22:00Z,peakGreenness,NA,NA,0,No,microbes,NA,NA,NA,SJER_003-M-32-28.5-20180219,NA,NA,M,NA,10,1,0,11,obstruction,auger,3,SJER_003-M-32-28.5-20180219-GEN,NA,NA,NA,SJER_003-M-32-28.5-20180219-GA1,NA,NA,SJER_003-M-32-28.5-20180219-GA2,NA,NA,SJER_003-M-32-28.5-20180219-GA3,NA,NA,SJER_003-M-32-28.5-20180219-GA4,NA,NA,SJER_003-M-32-28.5-20180219-GA5,NA,NA,NA,NA,NA,NA,NA,NA,mtreece@battelleecology.org,NA,20251217T194053Z,RELEASE-2026,DP1.10086.001,SJER,2018,sls_soilCoreCollection
71df2ae1-39fa-439d-a604-abbbfd1b3b4c,D17,SJER,SJER_048,SJER_048.basePlot.bgc,tower,evergreenForest,NA,6,8.5,WGS84,37.110011,-119.735218,20.1,381.8,0.18,NEON.DOC.014048vK,2018-02-20T16:31:00Z,2018-02-20T16:31:00Z,peakGreenness,NA,NA,0,No,microbes,NA,NA,NA,SJER_048-M-6-8.5-20180220,NA,NA,M,NA,9.8,0.5,0,16,obstruction,auger,1,SJER_048-M-6-8.5-20180220-GEN,NA,OK,NA,SJER_048-M-6-8.5-20180220-GA1,NA,NA,SJER_048-M-6-8.5-20180220-GA2,NA,NA,SJER_048-M-6-8.5-20180220-GA3,NA,NA,SJER_048-M-6-8.5-20180220-GA4,NA,NA,SJER_048-M-6-8.5-20180220-GA5,NA,NA,NA,NA,NA,NA,NA,NA,mtreece@battelleecology.org,NA,20251217T194053Z,RELEASE-2026,DP1.10086.001,SJER,2018,sls_soilCoreCollection
7b8ad9d7-10d1-4972-8ddb-9ef3a1f75015,D17,SJER,SJER_048,SJER_048.basePlot.bgc,tower,evergreenForest,NA,31.5,19,WGS84,37.110011,-119.735218,20.1,381.8,0.18,NEON.DOC.014048vK,2018-02-20T17:15:00Z,2018-02-20T17:15:00Z,peakGreenness,NA,NA,0,No,microbes,NA,NA,NA,SJER_048-M-31.5-19-20180220,NA,NA,M,NA,7.5,0,0,30,maximum,auger,1,SJER_048-M-31.5-19-20180220-GEN,NA,OK,NA,SJER_048-M-31.5-19-20180220-GA1,NA,NA,SJER_048-M-31.5-19-20180220-GA2,NA,NA,SJER_048-M-31.5-19-20180220-GA3,NA,NA,SJER_048-M-31.5-19-20180220-GA4,NA,NA,SJER_048-M-31.5-19-20180220-GA5,NA,NA,NA,NA,NA,NA,NA,NA,mtreece@battelleecology.org,NA,20251217T194053Z,RELEASE-2026,DP1.10086.001,SJER,2018,sls_soilCoreCollection
b965e3eb-057b-4cba-837b-cb11b7bfcf25,D17,SJER,SJER_048,SJER_048.basePlot.bgc,tower,evergreenForest,NA,11,38.5,WGS84,37.110011,-119.735218,20.1,381.8,0.18,NEON.DOC.014048vK,2018-02-20T17:58:00Z,2018-02-20T17:58:00Z,peakGreenness,NA,NA,0,No,microbes,NA,NA,NA,SJER_048-M-11-38.5-20180220,NA,NA,M,NA,8.4,0,0,30,maximum,auger,1,SJER_048-M-11-38.5-20180220-GEN,NA,OK,NA,SJER_048-M-11-38.5-20180220-GA1,NA,NA,SJER_048-M-11-38.5-20180220-GA2,NA,NA,SJER_048-M-11-38.5-20180220-GA3,NA,NA,SJER_048-M-11-38.5-20180220-GA4,NA,NA,SJER_048-M-11-38.5-20180220-GA5,NA,NA,NA,NA,NA,NA,NA,NA,mtreece@battelleecology.org,NA,20251217T194053Z,RELEASE-2026,DP1.10086.001,SJER,2018,sls_soilCoreCollection
a5e60708-3e83-4f30-87b3-bf795c9f1fd9,D17,SJER,SJER_047,SJER_047.basePlot.bgc,tower,evergreenForest,NA,34,31,WGS84,37.101658,-119.734564,20.2,377.3,0.16,NEON.DOC.014048vK,2018-02-20T19:01:00Z,2018-02-20T19:01:00Z,peakGreenness,NA,NA,0,No,microbes,NA,NA,NA,SJER_047-M-34-31-20180220,NA,NA,M,NA,10.1,3,0,32,maximum,auger,1,SJER_047-M-34-31-20180220-GEN,NA,OK,NA,SJER_047-M-34-31-20180220-GA1,NA,NA,SJER_047-M-34-31-20180220-GA2,NA,NA,SJER_047-M-34-31-20180220-GA3,NA,NA,SJER_047-M-34-31-20180220-GA4,NA,NA,SJER_047-M-34-31-20180220-GA5,NA,NA,NA,NA,NA,NA,NA,NA,bdrahota@battelleecology.org,NA,20251217T194053Z,RELEASE-2026,DP1.10086.001,SJER,2018,sls_soilCoreCollection
64b9a508-aa7c-407f-8bdc-f93b08482483,D17,SJER,SJER_047,SJER_047.basePlot.bgc,tower,evergreenForest,NA,18,6.5,WGS84,37.101658,-119.734564,20.2,377.3,0.16,NEON.DOC.014048vK,2018-02-20T19:24:00Z,2018-02-20T19:24:00Z,peakGreenness,NA,NA,0,No,microbes,NA,NA,NA,SJER_047-M-18-6.5-20180220,NA,NA,M,NA,8.9,1,0,30,maximum,auger,1,SJER_047-M-18-6.5-20180220-GEN,NA,NA,NA,SJER_047-M-18-6.5-20180220-GA1,NA,NA,SJER_047-M-18-6.5-20180220-GA2,NA,NA,SJER_047-M-18-6.5-20180220-GA3,NA,NA,SJER_047-M-18-6.5-20180220-GA4,NA,NA,SJER_047-M-18-6.5-20180220-GA5,NA,NA,NA,NA,NA,NA,NA,NA,bdrahota@battelleecology.org,NA,20251217T194053Z,RELEASE-2026,DP1.10086.001,SJER,2018,sls_soilCoreCollection
d2a6b7f0-d71c-427b-bffd-6950ae233970,D17,SJER,SJER_047,SJER_047.basePlot.bgc,tower,evergreenForest,NA,33.5,5.5,WGS84,37.101658,-119.734564,20.2,377.3,0.16,NEON.DOC.014048vK,2018-02-20T19:41:00Z,2018-02-20T19:41:00Z,peakGreenness,NA,NA,0,No,microbes,NA,NA,NA,SJER_047-M-33.5-5.5-20180220,NA,NA,M,NA,10.7,1.5,0,17,obstruction,auger,1,SJER_047-M-33.5-5.5-20180220-GEN,NA,OK,NA,SJER_047-M-33.5-5.5-20180220-GA1,NA,NA,SJER_047-M-33.5-5.5-20180220-GA2,NA,NA,SJER_047-M-33.5-5.5-20180220-GA3,NA,NA,SJER_047-M-33.5-5.5-20180220-GA4,NA,NA,SJER_047-M-33.5-5.5-20180220-GA5,NA,NA,NA,NA,NA,NA,NA,NA,bdrahota@battelleecology.org,NA,20251217T194053Z,RELEASE-2026,DP1.10086.001,SJER,2018,sls_soilCoreCollection
f0d77686-373b-4fad-a4ea-e4dce37fd39d,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,NA,19.5,2.5,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vK,2018-02-20T21:27:00Z,2018-02-20T21:27:00Z,peakGreenness,NA,NA,0,No,microbes,NA,NA,NA,SJER_001-M-19.5-2.5-20180220,NA,NA,M,NA,9.3,0,0,30,maximum,auger,1,SJER_001-M-19.5-2.5-20180220-GEN,NA,OK,NA,SJER_001-M-19.5-2.5-20180220-GA1,NA,NA,SJER_001-M-19.5-2.5-20180220-GA2,NA,NA,SJER_001-M-19.5-2.5-20180220-GA3,NA,NA,SJER_001-M-19.5-2.5-20180220-GA4,NA,NA,SJER_001-M-19.5-2.5-20180220-GA5,NA,NA,NA,NA,NA,NA,NA,NA,mtreece@battelleecology.org,NA,20251217T194053Z,RELEASE-2026,DP1.10086.001,SJER,2018,sls_soilCoreCollection
