uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
87e457dd-88da-4d65-8332-7543ac902050,UKFS_003.basePlot.bgc,D06,UKFS,UKFS_003,distributed,2023-04-04T16:09:00Z,2023-04-04T16:09:00Z,NEON.DOC.014048vO,UKFS_003-M-41-20230404,A00000434799,UKFS_003-M-41-20230404-KCL,B00000163216,UKFS_003-M-41-winterSpringTransition-2023,tInitial,0,2023-04-05T14:19:00Z,UKFS-20230405-BREF1,10.17,100,2023-04-05T16:00:00Z,OK,NA,0000-0002-9557-1628,0000-0002-9557-1628,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,UKFS,2023,ntr_internalLab
486cb3f4-2a95-4a6a-8ea5-180ffc295d3f,UKFS_003.basePlot.bgc,D06,UKFS,UKFS_003,distributed,2023-04-04T16:55:00Z,2023-04-04T16:55:00Z,NEON.DOC.014048vO,UKFS_003-M-39-20230404,A00000434783,UKFS_003-M-39-20230404-KCL,B00000163215,UKFS_003-M-39-winterSpringTransition-2023,tInitial,0,2023-04-05T14:18:00Z,UKFS-20230405-BREF1,10.3,100,2023-04-05T16:00:00Z,OK,NA,0000-0002-9557-1628,0000-0002-9557-1628,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,UKFS,2023,ntr_internalLab
05f199db-b08d-4bab-b6c8-c4f699d7fb41,UKFS_003.basePlot.bgc,D06,UKFS,UKFS_003,distributed,2023-04-04T17:31:00Z,2023-04-04T17:31:00Z,NEON.DOC.014048vO,UKFS_003-M-21-20230404,A00000434767,UKFS_003-M-21-20230404-KCL,B00000163214,UKFS_003-M-21-winterSpringTransition-2023,tInitial,0,2023-04-05T14:17:00Z,UKFS-20230405-BREF1,10.41,100,2023-04-05T16:00:00Z,OK,NA,0000-0002-9557-1628,0000-0002-9557-1628,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,UKFS,2023,ntr_internalLab
64c25697-6f12-426d-8d89-8583796d987a,UKFS_003.basePlot.bgc,D06,UKFS,UKFS_003,distributed,2023-04-04T16:09:00Z,2023-05-02T15:49:00Z,NEON.DOC.014048vO,UKFS_003-M-41-20230502,A00000435509,UKFS_003-M-41-20230502-KCL,B00000163479,UKFS_003-M-41-winterSpringTransition-2023,tFinal,27.99,2023-05-03T15:00:00Z,UKFS-20230503-BREF2,10.16,100,2023-05-03T17:00:00Z,OK,NA,0000-0001-6709-8856,0000-0001-6709-8856,NA,20251217T193608Z,RELEASE-2026,DP1.10086.001,UKFS,2023,ntr_internalLab
cc19f572-d857-405c-8b0f-9a34ea691f46,UKFS_003.basePlot.bgc,D06,UKFS,UKFS_003,distributed,2023-04-04T16:55:00Z,2023-05-02T15:37:00Z,NEON.DOC.014048vO,UKFS_003-M-39-20230502,A00000435508,UKFS_003-M-39-20230502-KCL,B00000163478,UKFS_003-M-39-winterSpringTransition-2023,tFinal,27.95,2023-05-03T14:59:00Z,UKFS-20230503-BREF2,10.3,99,2023-05-03T17:00:00Z,OK,NA,0000-0001-6709-8856,0000-0001-6709-8856,NA,20251217T193608Z,RELEASE-2026,DP1.10086.001,UKFS,2023,ntr_internalLab
d56bde89-dae6-499f-aa95-5da18499544a,UKFS_003.basePlot.bgc,D06,UKFS,UKFS_003,distributed,2023-04-04T17:31:00Z,2023-05-02T15:31:00Z,NEON.DOC.014048vO,UKFS_003-M-21-20230502,A00000435507,UKFS_003-M-21-20230502-KCL,B00000163477,UKFS_003-M-21-winterSpringTransition-2023,tFinal,27.92,2023-05-03T14:58:00Z,UKFS-20230503-BREF2,9.66,101,2023-05-03T17:00:00Z,OK,NA,0000-0001-6709-8856,0000-0001-6709-8856,NA,20251217T193608Z,RELEASE-2026,DP1.10086.001,UKFS,2023,ntr_internalLab
73eb78bb-a360-4e63-ab6a-56dcb298581c,UKFS_003.basePlot.bgc,D06,UKFS,UKFS_003,distributed,2023-07-03T19:32:00Z,2023-07-03T19:32:00Z,NEON.DOC.014048vO,UKFS_003-M-23-20230703,A00000436426,UKFS_003-M-23-20230703-KCL,B00000163804,UKFS_003-M-23-peakGreenness-2023,tInitial,0,2023-07-04T16:40:00Z,UKFS-20230704-BREF2,10.17,99,2023-07-04T19:00:00Z,OK,NA,0009-0005-4841-3896,0009-0005-6527-0647,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,ntr_internalLab
8b936986-d68c-4cf4-bd15-3ae8aee3e003,UKFS_003.basePlot.bgc,D06,UKFS,UKFS_003,distributed,2023-07-03T19:32:00Z,2023-07-24T17:33:00Z,NEON.DOC.014048vO,UKFS_003-M-23-20230724,A00000436640,UKFS_003-M-23-20230724-KCL,B00000163871,UKFS_003-M-23-peakGreenness-2023,tFinal,20.92,2023-07-25T13:35:00Z,UKFS-20230725-BREF2,10,99,2023-07-25T17:00:00Z,OK,NA,0009-0005-4841-3896,0009-0005-4841-3896,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,ntr_internalLab
4fa3316f-c0ed-4b90-8a50-05a122e3561f,UKFS_003.basePlot.bgc,D06,UKFS,UKFS_003,distributed,2023-07-03T20:05:00Z,2023-07-03T20:05:00Z,NEON.DOC.014048vO,UKFS_003-M-21-20230703,A00000436425,UKFS_003-M-21-20230703-KCL,B00000163805,UKFS_003-M-21-peakGreenness-2023,tInitial,0,2023-07-04T16:38:00Z,UKFS-20230704-BREF2,10.01,99,2023-07-04T19:00:00Z,OK,NA,0009-0005-4841-3896,0009-0005-6527-0647,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,ntr_internalLab
d6cf8d70-9287-467d-a68c-1642af699d94,UKFS_003.basePlot.bgc,D06,UKFS,UKFS_003,distributed,2023-07-03T20:05:00Z,2023-07-24T17:43:00Z,NEON.DOC.014048vO,UKFS_003-M-21-20230724,A00000436641,UKFS_003-M-21-20230724-KCL,B00000163872,UKFS_003-M-21-peakGreenness-2023,tFinal,20.9,2023-07-25T13:32:00Z,UKFS-20230725-BREF2,10.03,99,2023-07-25T17:00:00Z,OK,NA,0009-0005-4841-3896,0009-0005-4841-3896,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,ntr_internalLab
