uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedDate,processedBy,remarks,genomicsDataQF,publicationDate,release,dpID,site_download,year_download,source_table
6992304a-e90f-4bfe-a214-406e107fcd7f,D06,UKFS,UKFS_044,UKFS_044.basePlot.bgc,2023-07-03T15:14:00Z,2023-07-03T16:25:00Z,UKFS.peakGreenness.2023,NEON.DOC.014048vO,UKFS_044-M-21-20230703|UKFS_044-M-23-20230703|UKFS_044-M-39-20230703,UKFS_044-M-20230703-COMP,B00000163761,OK,NA,0000-0002-2112-9159,NA,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_metagenomicsPooling
63ca4d5d-c014-407c-bff5-092001ca7cd7,D06,UKFS,UKFS_005,UKFS_005.basePlot.bgc,2023-07-03T15:41:00Z,2023-07-03T17:24:00Z,UKFS.peakGreenness.2023,NEON.DOC.014048vO,UKFS_005-M-23-20230703|UKFS_005-M-41-20230703|UKFS_005-M-21-20230703,UKFS_005-M-20230703-COMP,B00000163742,OK,NA,0000-0002-2980-5449,NA,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_metagenomicsPooling
72a4163a-803f-4645-be09-de490431f4b4,D06,UKFS,UKFS_031,UKFS_031.basePlot.bgc,2023-07-03T17:36:00Z,2023-07-03T18:38:00Z,UKFS.peakGreenness.2023,NEON.DOC.014048vO,UKFS_031-M-23-20230703|UKFS_031-M-41-20230703|UKFS_031-M-21-20230703,UKFS_031-M-20230703-COMP,B00000163752,OK,NA,0000-0001-6709-8856,NA,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_metagenomicsPooling
d63790c2-ff1f-4f23-932b-0217b398d391,D06,UKFS,UKFS_003,UKFS_003.basePlot.bgc,2023-07-03T19:32:00Z,2023-07-03T20:52:00Z,UKFS.peakGreenness.2023,NEON.DOC.014048vO,UKFS_003-M-21-20230703|UKFS_003-M-23-20230703|UKFS_003-M-41-20230703,UKFS_003-M-20230703-COMP,B00000163733,OK,NA,0000-0002-2980-5449,NA,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_metagenomicsPooling
b750a4cb-635a-416f-a511-64c097f1b9c8,D06,UKFS,UKFS_002,UKFS_002.basePlot.bgc,2023-07-04T15:53:00Z,2023-07-04T17:59:00Z,UKFS.peakGreenness.2023,NEON.DOC.014048vO,UKFS_002-M-41-20230704|UKFS_002-M-21-20230704|UKFS_002-M-23-20230704,UKFS_002-M-20230704-COMP,B00000163768,OK,NA,0000-0002-2980-5449,NA,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_metagenomicsPooling
0b226ba2-43d9-4af0-8e01-e8bf91187fa0,D06,UKFS,UKFS_043,UKFS_043.basePlot.bgc,2023-07-04T16:21:00Z,2023-07-04T18:30:00Z,UKFS.peakGreenness.2023,NEON.DOC.014048vO,UKFS_043-M-41-20230704|UKFS_043-M-21-20230704|UKFS_043-M-23-20230704,UKFS_043-M-20230704-COMP,B00000163760,OK,NA,0000-0002-2112-9159,NA,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_metagenomicsPooling
87eb9e03-3461-46f9-99b6-affcf29e7749,D06,UKFS,UKFS_001,UKFS_001.basePlot.bgc,2023-07-04T20:42:00Z,2023-07-04T22:22:00Z,UKFS.peakGreenness.2023,NEON.DOC.014048vO,UKFS_001-M-23-20230704|UKFS_001-M-41-20230704|UKFS_001-M-39-20230704,UKFS_001-M-20230704-COMP,B00000163728,OK,NA,0000-0002-2112-9159,NA,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_metagenomicsPooling
df56fc2a-6d4c-4ed1-bcb7-6b60a931101c,D06,UKFS,UKFS_032,UKFS_032.basePlot.bgc,2023-07-05T15:08:00Z,2023-07-05T16:27:00Z,UKFS.peakGreenness.2023,NEON.DOC.014048vO,UKFS_032-M-39-20230705|UKFS_032-M-23-20230705|UKFS_032-M-41-20230705,UKFS_032-M-20230705-COMP,B00000163756,OK,NA,0000-0002-9557-1628,NA,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_metagenomicsPooling
af593a7d-e3e6-4f0e-ada2-d7f59e76771a,D06,UKFS,UKFS_009,UKFS_009.basePlot.bgc,2023-07-05T17:45:00Z,2023-07-05T18:56:00Z,UKFS.peakGreenness.2023,NEON.DOC.014048vO,UKFS_009-M-41-20230705|UKFS_009-M-21-20230705|UKFS_009-M-39-20230705,UKFS_009-M-20230705-COMP,B00000163745,OK,NA,0000-0002-9557-1628,The following samples included in the composite are from resampled locations: UKFS_009-M-41-20230705,location-resampled,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_metagenomicsPooling
d0d4a4ec-56bf-4fa4-9e31-806e25a07b99,D06,UKFS,UKFS_004,UKFS_004.basePlot.bgc,2023-07-05T20:25:00Z,2023-07-05T21:28:00Z,UKFS.peakGreenness.2023,NEON.DOC.014048vO,UKFS_004-M-21-20230705|UKFS_004-M-23-20230705|UKFS_004-M-39-20230705,UKFS_004-M-20230705-COMP,B00000163737,OK,NA,0000-0002-9557-1628,NA,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_metagenomicsPooling
