uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
3b15d5d4-172f-46fb-95cf-8be371c0844a,YELL_012.basePlot.bgc,D12,YELL,YELL_012,distributed,2023-05-08T17:25:00Z,2023-05-08T17:25:00Z,NEON.DOC.014048vO,YELL_012-M-23-20230508,A00000117712,YELL_012-M-23-20230508-KCL,B00000039836,YELL_012-M-23-winterSpringTransition-2023,tInitial,0,2023-05-09T16:45:00Z,YELL-20230509-BREF1,10.15,100,2023-05-09T18:00:00Z,OK,NA,0009-0004-4955-7034,0000-0002-3355-8487,location-resampled,20251217T193721Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
b50d0fec-b38a-4cf9-8f19-744e6f5172af,YELL_012.basePlot.bgc,D12,YELL,YELL_012,distributed,2023-05-08T17:25:00Z,2023-05-30T16:51:00Z,NEON.DOC.014048vO,YELL_012-M-23-20230530,A00000283135,YELL_012-M-23-20230530-KCL,B00000039849,YELL_012-M-23-winterSpringTransition-2023,tFinal,21.98,2023-05-31T16:42:00Z,YELL-20230531-BREF1,10.29,100,2023-05-31T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0002-3355-8487,location-resampled,20251217T193721Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
6f682ad1-6e6d-44f9-b676-a39c31ec708b,YELL_012.basePlot.bgc,D12,YELL,YELL_012,distributed,2023-05-08T18:16:00Z,2023-05-08T18:16:00Z,NEON.DOC.014048vO,YELL_012-M-41-20230508,A00000117710,YELL_012-M-41-20230508-KCL,B00000039837,YELL_012-M-41-winterSpringTransition-2023,tInitial,0,2023-05-09T16:45:00Z,YELL-20230509-BREF1,10.47,100,2023-05-09T19:00:00Z,OK,NA,0009-0004-4955-7034,0000-0002-3355-8487,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
31331593-3288-4715-9de8-2bf5f55d916f,YELL_012.basePlot.bgc,D12,YELL,YELL_012,distributed,2023-05-08T18:16:00Z,2023-05-30T17:07:00Z,NEON.DOC.014048vO,YELL_012-M-41-20230530,A00000283118,YELL_012-M-41-20230530-KCL,B00000039848,YELL_012-M-41-winterSpringTransition-2023,tFinal,21.95,2023-05-31T16:42:00Z,YELL-20230531-BREF1,10.3,100,2023-05-31T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0002-3355-8487,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
7c9c169c-7ad2-4c81-9ea6-50a577c67912,YELL_012.basePlot.bgc,D12,YELL,YELL_012,distributed,2023-05-08T19:02:00Z,2023-05-08T19:02:00Z,NEON.DOC.014048vO,YELL_012-M-39-20230508,A00000117711,YELL_012-M-39-20230508-KCL,B00000039854,YELL_012-M-39-winterSpringTransition-2023,tInitial,0,2023-05-09T16:45:00Z,YELL-20230509-BREF1,10.33,100,2023-05-09T18:00:00Z,OK,NA,0009-0004-4955-7034,0000-0002-3355-8487,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
85337225-c7c4-4b1f-b7bf-11a22c362c2a,YELL_012.basePlot.bgc,D12,YELL,YELL_012,distributed,2023-05-08T19:02:00Z,2023-05-30T17:15:00Z,NEON.DOC.014048vO,YELL_012-M-39-20230530,A00000283134,YELL_012-M-39-20230530-KCL,B00000039843,YELL_012-M-39-winterSpringTransition-2023,tFinal,21.93,2023-05-31T16:42:00Z,YELL-20230531-BREF1,10.24,100,2023-05-31T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0002-3355-8487,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
fb93edef-d769-4a18-9851-16bb81634735,YELL_012.basePlot.bgc,D12,YELL,YELL_012,distributed,2023-09-12T16:44:00Z,2023-09-12T16:44:00Z,NEON.DOC.014048vO,YELL_012-M-21-20230912,A00000381202,YELL_012-M-21-20230912-KCL,B00000040287,YELL_012-M-21-fallWinterTransition-2023,tInitial,0,2023-09-13T16:25:00Z,YELL-20230913-BREF1,10.42,100,2023-09-13T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0002-3355-8487,NA,20251217T193613Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
12171c44-10f1-4fd2-913e-77fb2d9d1c18,YELL_012.basePlot.bgc,D12,YELL,YELL_012,distributed,2023-09-12T17:14:00Z,2023-09-12T17:14:00Z,NEON.DOC.014048vO,YELL_012-M-39-20230912,A00000381201,YELL_012-M-39-20230912-KCL,B00000040288,YELL_012-M-39-fallWinterTransition-2023,tInitial,0,2023-09-13T16:25:00Z,YELL-20230913-BREF1,10.02,100,2023-09-13T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0002-3355-8487,NA,20251217T193613Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
5c7b14c9-8f3e-4aa0-b873-ce3e4b6ce753,YELL_012.basePlot.bgc,D12,YELL,YELL_012,distributed,2023-08-02T17:45:00Z,2023-08-02T17:45:00Z,NEON.DOC.014048vO,YELL_012-M-23-20230802,A00000283116,YELL_012-M-23-20230802-KCL,B00000040015,YELL_012-M-23-peakGreenness-2023,tInitial,0,2023-08-03T16:40:00Z,YELL-20230803-BREF1,9.9,100,2023-08-03T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0003-4019-7357,NA,20251217T193655Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
99330e0b-5d0c-4102-8a44-2d9d5fc91540,YELL_012.basePlot.bgc,D12,YELL,YELL_012,distributed,2023-08-02T17:45:00Z,2023-08-22T16:53:00Z,NEON.DOC.014048vO,YELL_012-M-23-20230822,A00000380884,YELL_012-M-23-20230822-KCL,B00000039974,YELL_012-M-23-peakGreenness-2023,tFinal,19.96,2023-08-23T16:34:00Z,YELL-20230823-BREF1,10.08,100,2023-08-23T18:00:00Z,OK,NA,0000-0002-3355-8487,0000-0002-3355-8487,NA,20251217T193655Z,RELEASE-2026,DP1.10086.001,YELL,2023,ntr_internalLab
