uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
5cb31ce3-838a-4b6d-830f-c63716b6720a,D14,JORN,JORN_005,JORN_005.basePlot.bgc,distributed,shrubScrub,NA,6.5,21,WGS84,32.575696,-106.803388,20.1,1323.5,0.1,NEON.DOC.014048vJ,2018-06-26T13:06:00Z,2018-06-26T13:06:00Z,dryWetTransition,NA,NA,0,No,microbes,NA,NA,NA,JORN_005-M-6.5-21-20180626,A00000022893,NA,M,NA,29.5,0.5,0,31,maximum,auger,1,NA,NA,NA,NA,JORN_005-M-6.5-21-20180626-GA1,C00000007260,NA,JORN_005-M-6.5-21-20180626-GA2,C00000007225,NA,JORN_005-M-6.5-21-20180626-GA3,C00000007217,NA,JORN_005-M-6.5-21-20180626-GA4,C00000007221,NA,JORN_005-M-6.5-21-20180626-GA5,C00000007226,NA,NA,NA,NA,NA,NA,NA,srose@battelleecology.org,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,JORN,2018,sls_soilCoreCollection
7b726acd-d9ab-4004-b370-c21b2ccdf5f2,D14,JORN,JORN_005,JORN_005.basePlot.bgc,distributed,shrubScrub,NA,2.5,18.5,WGS84,32.575696,-106.803388,20.1,1323.5,0.1,NEON.DOC.014048vJ,2018-06-26T13:21:00Z,2018-06-26T13:21:00Z,dryWetTransition,NA,NA,0,No,microbes,NA,NA,NA,JORN_005-M-2.5-18.5-20180626,A00000022894,NA,M,NA,30.2,0.7,0,30.5,maximum,auger,1,NA,NA,NA,NA,JORN_005-M-2.5-18.5-20180626-GA1,C00000007183,NA,JORN_005-M-2.5-18.5-20180626-GA2,C00000007185,NA,JORN_005-M-2.5-18.5-20180626-GA3,C00000007160,NA,JORN_005-M-2.5-18.5-20180626-GA4,C00000007180,NA,JORN_005-M-2.5-18.5-20180626-GA5,C00000007174,NA,NA,NA,NA,NA,NA,NA,srose@battelleecology.org,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,JORN,2018,sls_soilCoreCollection
39d18113-0cdc-4e7e-a864-29fa54270cb0,D14,JORN,JORN_004,JORN_004.basePlot.bgc,distributed,shrubScrub,NA,5.5,15,WGS84,32.630328,-106.86076,20.1,1331.6,0.1,NEON.DOC.014048vK,2018-06-26T13:43:00Z,2018-06-26T13:43:00Z,dryWetTransition,NA,NA,0,No,microbes,NA,NA,NA,JORN_004-M-5.5-15-20180626,A00000022860,NA,M,NA,28.4,0,0,13.8,obstruction,auger,2,NA,NA,NA,NA,JORN_004-M-5.5-15-20180626-GA1,C00000007181,NA,JORN_004-M-5.5-15-20180626-GA2,C00000007240,NA,JORN_004-M-5.5-15-20180626-GA3,C00000007186,NA,JORN_004-M-5.5-15-20180626-GA4,C00000007208,NA,JORN_004-M-5.5-15-20180626-GA5,C00000007244,NA,NA,NA,NA,NA,NA,NA,msandifer@battelleecology.org,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,JORN,2018,sls_soilCoreCollection
7bd2930c-7990-4f2c-8d9b-0b1bed55b053,D14,JORN,JORN_005,JORN_005.basePlot.bgc,distributed,shrubScrub,NA,24.5,2,WGS84,32.575696,-106.803388,20.1,1323.5,0.1,NEON.DOC.014048vJ,2018-06-26T13:46:00Z,2018-06-26T13:46:00Z,dryWetTransition,NA,NA,0,No,microbes,NA,NA,NA,JORN_005-M-24.5-2-20180626,A00000022877,NA,M,NA,31.2,0,0,31,maximum,auger,1,NA,NA,NA,NA,JORN_005-M-24.5-2-20180626-GA1,C00000007193,NA,JORN_005-M-24.5-2-20180626-GA2,C00000007195,NA,JORN_005-M-24.5-2-20180626-GA3,C00000007205,NA,JORN_005-M-24.5-2-20180626-GA4,C00000007194,NA,JORN_005-M-24.5-2-20180626-GA5,C00000007190,NA,NA,NA,NA,NA,NA,NA,srose@battelleecology.org,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,JORN,2018,sls_soilCoreCollection
35bb3b4e-fd8d-43a7-8da1-7dbaccd03a07,D14,JORN,JORN_004,JORN_004.basePlot.bgc,distributed,shrubScrub,NA,25,33.5,WGS84,32.630328,-106.86076,20.1,1331.6,0.1,NEON.DOC.014048vK,2018-06-26T13:54:00Z,2018-06-26T13:54:00Z,dryWetTransition,NA,NA,0,No,microbes,NA,NA,NA,JORN_004-M-25-33.5-20180626,A00000022843,NA,M,NA,28.1,0.5,0,29,maximum,auger,1,NA,NA,NA,NA,JORN_004-M-25-33.5-20180626-GA1,C00000007198,NA,JORN_004-M-25-33.5-20180626-GA2,C00000007210,NA,JORN_004-M-25-33.5-20180626-GA3,C00000007200,NA,JORN_004-M-25-33.5-20180626-GA4,C00000007204,NA,JORN_004-M-25-33.5-20180626-GA5,C00000007199,NA,NA,NA,NA,NA,NA,NA,msandifer@battelleecology.org,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,JORN,2018,sls_soilCoreCollection
46c8a3f4-c69f-41a8-84c5-79396fd76a51,D14,JORN,JORN_004,JORN_004.basePlot.bgc,distributed,shrubScrub,NA,19,30.5,WGS84,32.630328,-106.86076,20.1,1331.6,0.1,NEON.DOC.014048vK,2018-06-26T14:01:00Z,2018-06-26T14:01:00Z,dryWetTransition,NA,NA,0,No,microbes,NA,NA,NA,JORN_004-M-19-30.5-20180626,A00000022826,NA,M,NA,28.9,0.5,0,20,obstruction,auger,1,NA,NA,NA,NA,JORN_004-M-19-30.5-20180626-GA1,C00000007242,NA,JORN_004-M-19-30.5-20180626-GA2,C00000007203,NA,JORN_004-M-19-30.5-20180626-GA3,C00000007235,NA,JORN_004-M-19-30.5-20180626-GA4,C00000007213,NA,JORN_004-M-19-30.5-20180626-GA5,C00000007257,NA,NA,NA,NA,NA,NA,NA,msandifer@battelleecology.org,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,JORN,2018,sls_soilCoreCollection
4ec07e86-1f93-4149-8176-028c5b7c5887,D14,JORN,JORN_042,JORN_042.basePlot.bgc,tower,shrubScrub,NA,1,9.5,WGS84,32.590028,-106.840435,20.1,1320,0.11,NEON.DOC.014048vJ,2018-06-26T14:48:00Z,2018-06-26T14:48:00Z,dryWetTransition,NA,NA,0,No,microbes,NA,NA,NA,JORN_042-M-1-9.5-20180626,A00000022791,NA,M,NA,30.9,0,0,31,maximum,auger,1,NA,NA,NA,NA,JORN_042-M-1-9.5-20180626-GA1,C00000007145,NA,JORN_042-M-1-9.5-20180626-GA2,C00000007173,NA,JORN_042-M-1-9.5-20180626-GA3,C00000007158,NA,JORN_042-M-1-9.5-20180626-GA4,C00000007169,NA,JORN_042-M-1-9.5-20180626-GA5,C00000007184,NA,NA,NA,NA,NA,NA,NA,srose@battelleecology.org,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,JORN,2018,sls_soilCoreCollection
79bb2d49-7f42-4cfa-b482-04819801de8c,D14,JORN,JORN_042,JORN_042.basePlot.bgc,tower,shrubScrub,NA,37.5,1,WGS84,32.590028,-106.840435,20.1,1320,0.11,NEON.DOC.014048vJ,2018-06-26T15:06:00Z,2018-06-26T15:06:00Z,dryWetTransition,NA,NA,0,No,microbes,NA,NA,NA,JORN_042-M-37.5-1-20180626,A00000022808,NA,M,NA,31.9,0.2,0,29,maximum,auger,1,NA,NA,NA,NA,JORN_042-M-37.5-1-20180626-GA1,C00000007135,NA,JORN_042-M-37.5-1-20180626-GA2,C00000007178,NA,JORN_042-M-37.5-1-20180626-GA3,C00000007140,NA,JORN_042-M-37.5-1-20180626-GA4,C00000007152,NA,JORN_042-M-37.5-1-20180626-GA5,C00000007125,NA,NA,NA,NA,NA,NA,NA,srose@battelleecology.org,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,JORN,2018,sls_soilCoreCollection
d80f4ac4-388b-46b6-ba1e-879041e223e6,D14,JORN,JORN_042,JORN_042.basePlot.bgc,tower,shrubScrub,NA,31.5,20.5,WGS84,32.590028,-106.840435,20.1,1320,0.11,NEON.DOC.014048vJ,2018-06-26T15:20:00Z,2018-06-26T15:20:00Z,dryWetTransition,NA,NA,0,No,microbes,NA,NA,NA,JORN_042-M-31.5-20.5-20180626,A00000022825,NA,M,NA,31.8,0.3,0,29.5,maximum,auger,1,NA,NA,NA,NA,JORN_042-M-31.5-20.5-20180626-GA1,C00000007175,NA,JORN_042-M-31.5-20.5-20180626-GA2,C00000007164,NA,JORN_042-M-31.5-20.5-20180626-GA3,C00000007170,NA,JORN_042-M-31.5-20.5-20180626-GA4,C00000007179,NA,JORN_042-M-31.5-20.5-20180626-GA5,C00000007149,NA,NA,NA,NA,NA,NA,NA,srose@battelleecology.org,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,JORN,2018,sls_soilCoreCollection
145c8e1a-2712-452a-a64b-b02de1c807a8,D14,JORN,JORN_001,JORN_001.basePlot.bgc,distributed,shrubScrub,NA,30.5,16,WGS84,32.60493,-106.802046,20.1,1323.4,0.1,NEON.DOC.014048vK,2018-06-26T15:41:00Z,2018-06-26T15:41:00Z,dryWetTransition,NA,NA,0,No,microbes,NA,NA,NA,JORN_001-M-30.5-16-20180626,A00000022827,NA,M,NA,29.9,0,0,20.5,obstruction,auger,2,NA,NA,NA,NA,JORN_001-M-30.5-16-20180626-GA1,C00000007258,NA,JORN_001-M-30.5-16-20180626-GA2,C00000007259,NA,JORN_001-M-30.5-16-20180626-GA3,C00000007273,NA,JORN_001-M-30.5-16-20180626-GA4,C00000007271,NA,JORN_001-M-30.5-16-20180626-GA5,C00000007261,NA,NA,NA,NA,NA,NA,NA,msandifer@battelleecology.org,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,JORN,2018,sls_soilCoreCollection
3c2aadb6-fa8b-4d8a-a022-b6c1c5b3999a,D14,JORN,JORN_001,JORN_001.basePlot.bgc,distributed,shrubScrub,NA,10,31,WGS84,32.60493,-106.802046,20.1,1323.4,0.1,NEON.DOC.014048vK,2018-06-26T15:54:00Z,2018-06-26T15:54:00Z,dryWetTransition,NA,NA,0,No,microbes,NA,NA,NA,JORN_001-M-10-31-20180626,A00000022861,NA,M,NA,32.6,0,0,16.5,obstruction,auger,1,NA,NA,NA,NA,JORN_001-M-10-31-20180626-GA1,C00000007269,NA,JORN_001-M-10-31-20180626-GA2,C00000007263,NA,JORN_001-M-10-31-20180626-GA3,C00000007272,NA,JORN_001-M-10-31-20180626-GA4,C00000007265,NA,JORN_001-M-10-31-20180626-GA5,C00000007270,NA,NA,NA,NA,NA,NA,NA,msandifer@battelleecology.org,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,JORN,2018,sls_soilCoreCollection
0365d417-49c2-4ac8-b7da-f87a31a07a71,D14,JORN,JORN_044,JORN_044.basePlot.bgc,tower,shrubScrub,NA,9,34.5,WGS84,32.589481,-106.841383,20.1,1323.2,0.16,NEON.DOC.014048vJ,2018-06-26T16:00:00Z,2018-06-26T16:00:00Z,dryWetTransition,NA,NA,0,No,microbes,NA,NA,NA,JORN_044-M-9-34.5-20180626,A00000022875,NA,M,NA,31.5,0.2,0,31,maximum,auger,1,NA,NA,NA,NA,JORN_044-M-9-34.5-20180626-GA1,C00000007162,NA,JORN_044-M-9-34.5-20180626-GA2,C00000007167,NA,JORN_044-M-9-34.5-20180626-GA3,C00000007157,NA,JORN_044-M-9-34.5-20180626-GA4,C00000007154,NA,JORN_044-M-9-34.5-20180626-GA5,C00000007144,NA,NA,NA,NA,NA,NA,NA,srose@battelleecology.org,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,JORN,2018,sls_soilCoreCollection
