uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
66737180-8114-4e56-a3a2-853792c5f59b,D02,SCBI,SCBI_006,SCBI_006.basePlot.bgc,distributed,pastureHay,21_400,0.5,13.5,WGS84,38.897609,-78.152007,20.1,297.9,0.1,NEON.DOC.014048vP,2024-04-15T13:28:00Z,2024-04-15T13:28:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2024,0,No,microbesBiomass,OK,no incubation,NA,SCBI_006-M-21-20240415,A00000370647,N,M,OK,13.1,0.7,0,26.4,obstruction,probe,2,SCBI_006-M-21-20240415-GEN,B00000141313,OK,dry ice,NA,C00000115399,NA,NA,C00000115396,NA,NA,C00000115397,NA,NA,C00000115398,NA,NA,C00000115400,NA,dry ice,5 mL vial,SCBI_006-M-21-20240415-BM,B00000141374,OK,NA,0000-0001-6848-3983,NA,20251217T193656Z,RELEASE-2026,DP1.10086.001,SCBI,2024,sls_soilCoreCollection
55ff312d-9a54-47c1-af75-496f191dc099,D02,SCBI,SCBI_008,SCBI_008.basePlot.bgc,distributed,deciduousForest,21_400,10.5,9,WGS84,38.887763,-78.147164,20.3,336.7,0.41,NEON.DOC.014048vP,2024-04-15T13:29:00Z,2024-04-15T13:29:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2024,0,No,microbesBiomass,OK,no incubation,NA,SCBI_008-M-21-20240415,A00000370652,N,M,OK,12.5,2.5,0,30.6,maximum,probe,2,SCBI_008-M-21-20240415-GEN,B00000141317,OK,dry ice,NA,C00000115422,NA,NA,C00000115421,NA,NA,C00000115424,NA,NA,C00000115423,NA,NA,C00000115425,NA,dry ice,5 mL vial,SCBI_008-M-21-20240415-BM,B00000141375,OK,NA,0009-0009-8777-6701,NA,20251217T193656Z,RELEASE-2026,DP1.10086.001,SCBI,2024,sls_soilCoreCollection
334cb028-c39a-42e1-907e-a1d525652512,D02,SCBI,SCBI_008,SCBI_008.basePlot.bgc,distributed,deciduousForest,23_400,25,2,WGS84,38.887763,-78.147164,20.3,336.7,0.41,NEON.DOC.014048vP,2024-04-15T13:58:00Z,2024-04-15T13:58:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2024,0,No,microbesBiomass,OK,no incubation,NA,SCBI_008-M-23-20240415,A00000370623,N,M,OK,11.6,3,0,24.7,obstruction,probe,3,SCBI_008-M-23-20240415-GEN,B00000141319,OK,dry ice,NA,C00000115419,NA,NA,C00000115418,NA,NA,C00000115420,NA,NA,C00000115416,NA,NA,C00000115417,NA,dry ice,5 mL vial,SCBI_008-M-23-20240415-BM,B00000141350,OK,NA,0009-0009-8777-6701,NA,20251217T193656Z,RELEASE-2026,DP1.10086.001,SCBI,2024,sls_soilCoreCollection
58fdee9e-7cd5-43e3-a701-486523dc0bc0,D02,SCBI,SCBI_006,SCBI_006.basePlot.bgc,distributed,pastureHay,23_400,25.5,0.5,WGS84,38.897609,-78.152007,20.1,297.9,0.1,NEON.DOC.014048vP,2024-04-15T14:01:00Z,2024-04-15T14:01:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2024,0,No,microbesBiomass,OK,no incubation,NA,SCBI_006-M-23-20240415,A00000370648,N,M,OK,12.5,1,0,30.4,maximum,probe,2,SCBI_006-M-23-20240415-GEN,B00000141312,OK,dry ice,NA,C00000115388,NA,NA,C00000115387,NA,NA,C00000115389,NA,NA,C00000115390,NA,NA,C00000115386,NA,dry ice,5 mL vial,SCBI_006-M-23-20240415-BM,B00000141376,OK,Target sample depth reached on first core but air pocket interfered with collection,0000-0001-6848-3983,NA,20251217T193656Z,RELEASE-2026,DP1.10086.001,SCBI,2024,sls_soilCoreCollection
17c13055-b4b6-4853-9eda-4d7dbec19f9b,D02,SCBI,SCBI_008,SCBI_008.basePlot.bgc,distributed,deciduousForest,41_400,38,25.5,WGS84,38.887763,-78.147164,20.3,336.7,0.41,NEON.DOC.014048vP,2024-04-15T14:26:00Z,2024-04-15T14:26:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2024,0,No,microbesBiomass,OK,no incubation,NA,SCBI_008-M-41-20240415,A00000370626,N,M,OK,13.1,1.5,0,30,maximum,probe,1,SCBI_008-M-41-20240415-GEN,B00000141318,OK,dry ice,NA,C00000115430,NA,NA,C00000115426,NA,NA,C00000115429,NA,NA,C00000115428,NA,NA,C00000115427,NA,dry ice,5 mL vial,SCBI_008-M-41-20240415-BM,B00000141357,OK,NA,0009-0009-8777-6701,NA,20251217T193656Z,RELEASE-2026,DP1.10086.001,SCBI,2024,sls_soilCoreCollection
97e5d2b5-a041-4dfb-be57-5b725d6fe280,D02,SCBI,SCBI_006,SCBI_006.basePlot.bgc,distributed,pastureHay,39_400,17.5,36.5,WGS84,38.897609,-78.152007,20.1,297.9,0.1,NEON.DOC.014048vP,2024-04-15T14:31:00Z,2024-04-15T14:31:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2024,0,No,microbesBiomass,OK,no incubation,NA,SCBI_006-M-39-20240415,A00000370649,N,M,OK,13.2,1.3,0,30.7,maximum,probe,1,SCBI_006-M-39-20240415-GEN,B00000141311,OK,dry ice,NA,C00000115391,NA,NA,C00000115395,NA,NA,C00000115393,NA,NA,C00000115394,NA,NA,C00000115392,NA,dry ice,5 mL vial,SCBI_006-M-39-20240415-BM,B00000141354,OK,NA,0000-0001-6848-3983,NA,20251217T193656Z,RELEASE-2026,DP1.10086.001,SCBI,2024,sls_soilCoreCollection
70b923e3-f6d8-4032-92b8-ba5c5df59858,D02,SCBI,SCBI_004,SCBI_004.basePlot.bgc,distributed,deciduousForest,39_400,8.5,31,WGS84,38.896938,-78.146458,20.5,309.4,0.72,NEON.DOC.014048vP,2024-04-15T15:13:00Z,2024-04-15T15:13:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2024,0,No,microbesBiomass,OK,no incubation,NA,SCBI_004-M-39-20240415,A00000370650,N,M,OK,11.8,1.5,0,30.6,maximum,probe,2,SCBI_004-M-39-20240415-GEN,B00000141308,OK,dry ice,NA,C00000115373,NA,NA,C00000115375,NA,NA,C00000115372,NA,NA,C00000115374,NA,NA,C00000115371,NA,dry ice,5 mL vial,SCBI_004-M-39-20240415-BM,B00000141353,OK,NA,0009-0000-2235-7578,NA,20251217T193656Z,RELEASE-2026,DP1.10086.001,SCBI,2024,sls_soilCoreCollection
4b15f6f4-153d-4bb1-89f0-42796f104516,D02,SCBI,SCBI_004,SCBI_004.basePlot.bgc,distributed,deciduousForest,21_400,6,3.5,WGS84,38.896938,-78.146458,20.5,309.4,0.72,NEON.DOC.014048vP,2024-04-15T15:39:00Z,2024-04-15T15:39:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2024,0,No,microbesBiomass,OK,no incubation,NA,SCBI_004-M-21-20240415,A00000325182,N,M,OK,11.1,2,0,30.2,maximum,probe,2,SCBI_004-M-21-20240415-GEN,B00000141309,OK,dry ice,NA,C00000115379,NA,NA,C00000115378,NA,NA,C00000115377,NA,NA,C00000115376,NA,NA,C00000115380,NA,dry ice,5 mL vial,SCBI_004-M-21-20240415-BM,B00000141349,OK,NA,0009-0000-2235-7578,NA,20251217T193656Z,RELEASE-2026,DP1.10086.001,SCBI,2024,sls_soilCoreCollection
6cbe7da0-e9f7-4179-a132-8ed63d4938b9,D02,SCBI,SCBI_004,SCBI_004.basePlot.bgc,distributed,deciduousForest,23_400,24.5,8.5,WGS84,38.896938,-78.146458,20.5,309.4,0.72,NEON.DOC.014048vP,2024-04-15T16:09:00Z,2024-04-15T16:09:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2024,0,No,microbesBiomass,OK,no incubation,NA,SCBI_004-M-23-20240415,A00000370651,N,M,OK,11.6,3,0,30.9,maximum,probe,2,SCBI_004-M-23-20240415-GEN,B00000141310,OK,dry ice,NA,C00000115384,NA,NA,C00000115383,NA,NA,C00000115382,NA,NA,C00000115381,NA,NA,C00000115385,NA,dry ice,5 mL vial,SCBI_004-M-23-20240415-BM,B00000141352,OK,NA,0009-0000-2235-7578,NA,20251217T193656Z,RELEASE-2026,DP1.10086.001,SCBI,2024,sls_soilCoreCollection
00e879c4-98e8-4aa6-a9d6-4f5607b55898,D02,SCBI,SCBI_007,SCBI_007.basePlot.bgc,distributed,deciduousForest,41_400,36,22,WGS84,38.884909,-78.130305,20.3,409,0.51,NEON.DOC.014048vP,2024-04-15T17:03:00Z,2024-04-15T17:03:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2024,0,No,microbesBiomass,OK,no incubation,NA,SCBI_007-M-41-20240415,A00000370635,N,M,OK,11.8,4,0,30.4,maximum,probe,2,SCBI_007-M-41-20240415-GEN,B00000141316,OK,dry ice,NA,C00000115412,NA,NA,C00000115414,NA,NA,C00000115413,NA,NA,C00000115415,NA,NA,C00000115411,NA,dry ice,5 mL vial,SCBI_007-M-41-20240415-BM,B00000141378,OK,NA,0009-0000-5510-5369,NA,20251217T193656Z,RELEASE-2026,DP1.10086.001,SCBI,2024,sls_soilCoreCollection
