uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
9255d0df-468a-4da7-bd50-f5570c99fd13,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,distributed,2024-02-27T20:02:00Z,2024-03-26T18:02:00Z,NEON.DOC.014048vP,SOAP_006-M-21-20240326,A00000395876,SOAP_006-M-21-20240326-KCL,B00000125475,SOAP_006-M-21-winterSpringTransition-2024,tFinal,27.92,2024-03-27T17:37:00Z,SOAP-20240327-BREF1,5.19,50,2024-03-27T20:00:00Z,OK,NA,0009-0004-9671-061X,0009-0005-1165-3693,NA,20251217T193936Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_internalLab
38fceaac-f13c-4bed-8414-3cd286d41a91,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,distributed,2024-02-27T20:18:00Z,2024-03-26T17:44:00Z,NEON.DOC.014048vP,SOAP_006-M-39-20240326,A00000395877,SOAP_006-M-39-20240326-KCL,B00000125476,SOAP_006-M-39-winterSpringTransition-2024,tFinal,27.89,2024-03-27T17:39:00Z,SOAP-20240327-BREF1,5.42,50,2024-03-27T21:00:00Z,OK,NA,0009-0004-9671-061X,0009-0005-1165-3693,NA,20251217T193936Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_internalLab
e29786cb-aea0-42e8-b283-8534af06dc7e,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,distributed,2024-02-27T20:37:00Z,2024-03-26T17:26:00Z,NEON.DOC.014048vP,SOAP_006-M-41-20240326,A00000395878,SOAP_006-M-41-20240326-KCL,B00000125477,SOAP_006-M-41-winterSpringTransition-2024,tFinal,27.87,2024-03-27T17:38:00Z,SOAP-20240327-BREF1,5.39,50,2024-03-27T20:00:00Z,OK,NA,0009-0004-9671-061X,0009-0005-1165-3693,NA,20251217T193936Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_internalLab
7315de2c-af39-4390-b78b-a75c06f6c981,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,distributed,2024-02-27T20:02:00Z,2024-02-27T20:02:00Z,NEON.DOC.014048vP,SOAP_006-M-21-20240227,A00000395139,SOAP_006-M-21-20240227-KCL,B00000125293,SOAP_006-M-21-winterSpringTransition-2024,tInitial,0,2024-02-28T17:44:00Z,SOAP-20240228-BREF1,10.3,100,2024-02-28T20:00:00Z,OK,NA,0000-0002-4748-8985,0000-0002-4748-8985,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_internalLab
a3d0a9c5-74da-4b35-b86d-610ef1001a7d,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,distributed,2024-02-27T20:18:00Z,2024-02-27T20:18:00Z,NEON.DOC.014048vP,SOAP_006-M-39-20240227,A00000395138,SOAP_006-M-39-20240227-KCL,B00000125294,SOAP_006-M-39-winterSpringTransition-2024,tInitial,0,2024-02-28T17:45:00Z,SOAP-20240228-BREF1,10.4,100,2024-02-28T20:00:00Z,OK,NA,0000-0002-4748-8985,0000-0002-4748-8985,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_internalLab
30bd3b34-cea8-4d58-8359-0e5d938c958a,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,distributed,2024-02-27T20:37:00Z,2024-02-27T20:37:00Z,NEON.DOC.014048vP,SOAP_006-M-41-20240227,A00000395137,SOAP_006-M-41-20240227-KCL,B00000125295,SOAP_006-M-41-winterSpringTransition-2024,tInitial,0,2024-02-28T17:47:00Z,SOAP-20240228-BREF1,10.27,100,2024-02-28T20:00:00Z,OK,NA,0000-0002-4748-8985,0000-0002-4748-8985,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_internalLab
0f590944-63d9-4896-9fb8-f521720e1ac4,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,distributed,2024-05-23T18:40:00Z,2024-06-19T19:05:00Z,NEON.DOC.014048vP,SOAP_006-M-21-20240619,A00000097821,SOAP_006-M-21-20240619-KCL,B00000144146,SOAP_006-M-21-peakGreenness-2024,tFinal,27.02,2024-06-20T19:04:00Z,SOAP-20240620-BREF2,10.08,100,2024-06-20T21:00:00Z,OK,NA,0009-0009-7975-9872,0009-0009-7975-9872,NA,20251217T193740Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_internalLab
043d469e-dd18-4623-b086-018c67984142,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,distributed,2024-05-23T19:00:00Z,2024-06-19T19:01:00Z,NEON.DOC.014048vP,SOAP_006-M-39-20240619,A00000097820,SOAP_006-M-39-20240619-KCL,B00000144147,SOAP_006-M-39-peakGreenness-2024,tFinal,27,2024-06-20T19:03:00Z,SOAP-20240620-BREF2,10.01,100,2024-06-20T21:00:00Z,OK,NA,0009-0009-7975-9872,0009-0009-7975-9872,NA,20251217T193740Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_internalLab
bea4bf7b-0125-4b96-b5a5-46ed73ca1e21,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,distributed,2024-05-23T19:15:00Z,2024-06-19T18:57:00Z,NEON.DOC.014048vP,SOAP_006-M-41-20240619,A00000097811,SOAP_006-M-41-20240619-KCL,B00000144133,SOAP_006-M-41-peakGreenness-2024,tFinal,26.99,2024-06-20T19:04:00Z,SOAP-20240620-BREF2,10.1,100,2024-06-20T21:00:00Z,OK,NA,0009-0009-7975-9872,0009-0009-7975-9872,NA,20251217T193740Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_internalLab
c820e9b9-1ede-48c3-9924-d35e8e8d6fec,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,distributed,2024-05-23T18:40:00Z,2024-05-23T18:40:00Z,NEON.DOC.014048vP,SOAP_006-M-21-20240523,A00000396011,SOAP_006-M-21-20240523-KCL,B00000168322,SOAP_006-M-21-peakGreenness-2024,tInitial,0,2024-05-24T20:51:00Z,SOAP-20240524-BREF2,10.13,100,2024-05-24T23:00:00Z,OK,NA,0009-0009-3289-9173,0009-0005-1165-3693,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_internalLab
