uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
2745471c-b965-469a-8bba-791e9471c935,STEI_047.basePlot.bgc,D05,STEI,STEI_047,tower,2022-04-26T15:23:00Z,2022-04-26T15:23:00Z,NEON.DOC.014048vO,STEI_047-M-21-20220426,A00000141265,STEI_047-M-21-20220426-KCL,B00000153137,STEI_047-M-21-winterSpringTransition-2022,tInitial,0,2022-04-27T18:13:00Z,STEI-20220427-BREF1,9.97,100,2022-04-27T20:00:00Z,OK,NA,0000-0001-8860-6856,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,ntr_internalLab
7b12e638-bc1f-4963-aa4b-2c84635001ce,STEI_047.basePlot.bgc,D05,STEI,STEI_047,tower,2022-04-26T15:53:00Z,2022-04-26T15:53:00Z,NEON.DOC.014048vO,STEI_047-M-39-20220426,A00000141264,STEI_047-M-39-20220426-KCL,B00000153136,STEI_047-M-39-winterSpringTransition-2022,tInitial,0,2022-04-27T18:12:00Z,STEI-20220427-BREF1,10.4,100,2022-04-27T20:00:00Z,OK,NA,0000-0001-8860-6856,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,ntr_internalLab
c8705366-9618-48fd-9b9d-49f814c83002,STEI_047.basePlot.bgc,D05,STEI,STEI_047,tower,2022-04-26T16:08:00Z,2022-04-26T16:08:00Z,NEON.DOC.014048vO,STEI_047-M-41-20220426,A00000141266,STEI_047-M-41-20220426-KCL,B00000153139,STEI_047-M-41-winterSpringTransition-2022,tInitial,0,2022-04-27T18:11:00Z,STEI-20220427-BREF1,9.62,100,2022-04-27T20:00:00Z,OK,NA,0000-0001-8860-6856,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,ntr_internalLab
df7953e0-4f94-4879-bac7-24aa2a1c090b,STEI_059.basePlot.bgc,D05,STEI,STEI_059,tower,2022-04-26T17:52:00Z,2022-04-26T17:52:00Z,NEON.DOC.014048vO,STEI_059-M-21-20220426,A00000141240,STEI_059-M-21-20220426-KCL,B00000153138,STEI_059-M-21-winterSpringTransition-2022,tInitial,0,2022-04-27T18:08:00Z,STEI-20220427-BREF1,10.42,99,2022-04-27T20:00:00Z,OK,NA,0000-0001-8860-6856,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,ntr_internalLab
ba285093-794a-48d5-8ce6-6fc3de3c0c9d,STEI_059.basePlot.bgc,D05,STEI,STEI_059,tower,2022-04-26T18:27:00Z,2022-04-26T18:27:00Z,NEON.DOC.014048vO,STEI_059-M-23-20220426,A00000141236,STEI_059-M-23-20220426-KCL,B00000153140,STEI_059-M-23-winterSpringTransition-2022,tInitial,0,2022-04-27T18:11:00Z,STEI-20220427-BREF1,9.93,99,2022-04-27T20:00:00Z,OK,NA,0000-0001-8860-6856,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,ntr_internalLab
ed315b75-5ec8-4fff-85de-4d9af9c6cf70,STEI_059.basePlot.bgc,D05,STEI,STEI_059,tower,2022-04-26T19:04:00Z,2022-04-26T19:04:00Z,NEON.DOC.014048vO,STEI_059-M-41-20220426,A00000141238,STEI_059-M-41-20220426-KCL,B00000153141,STEI_059-M-41-winterSpringTransition-2022,tInitial,0,2022-04-27T18:10:00Z,STEI-20220427-BREF1,10.31,100,2022-04-27T20:00:00Z,OK,NA,0000-0001-8860-6856,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,ntr_internalLab
1e02a21a-0085-4300-92d4-bb3e1dbbec40,STEI_060.basePlot.bgc,D05,STEI,STEI_060,tower,2022-04-28T14:21:00Z,2022-04-28T14:21:00Z,NEON.DOC.014048vO,STEI_060-O-23-20220428,A00000141246,STEI_060-O-23-20220428-KCL,B00000153155,STEI_060-O-23-winterSpringTransition-2022,tInitial,0,2022-04-29T17:07:00Z,STEI-20220429-BREF1,9.99,99,2022-04-29T19:00:00Z,OK,NA,0000-0001-8860-6856,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,ntr_internalLab
f1422769-05be-4664-93ca-cbf326ccb242,STEI_060.basePlot.bgc,D05,STEI,STEI_060,tower,2022-04-28T14:21:00Z,2022-04-28T14:21:00Z,NEON.DOC.014048vO,STEI_060-M-23-20220428,A00000205214,STEI_060-M-23-20220428-KCL,B00000153156,STEI_060-M-23-winterSpringTransition-2022,tInitial,0,2022-04-29T17:08:00Z,STEI-20220429-BREF1,10.1,100,2022-04-29T19:00:00Z,OK,NA,0000-0001-8860-6856,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,ntr_internalLab
7263280e-6b83-44c5-b0e2-df05f7e6a799,STEI_060.basePlot.bgc,D05,STEI,STEI_060,tower,2022-04-28T15:06:00Z,2022-04-28T15:06:00Z,NEON.DOC.014048vO,STEI_060-O-21-20220428,A00000141244,STEI_060-O-21-20220428-KCL,B00000153161,STEI_060-O-21-winterSpringTransition-2022,tInitial,0,2022-04-29T17:04:00Z,STEI-20220429-BREF1,10.45,99,2022-04-29T19:00:00Z,OK,NA,0000-0001-8860-6856,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,ntr_internalLab
b6b254db-764b-47e6-bd7a-4974f564b820,STEI_060.basePlot.bgc,D05,STEI,STEI_060,tower,2022-04-28T15:06:00Z,2022-04-28T15:06:00Z,NEON.DOC.014048vO,STEI_060-M-21-20220428,A00000141245,STEI_060-M-21-20220428-KCL,B00000153160,STEI_060-M-21-winterSpringTransition-2022,tInitial,0,2022-04-29T17:05:00Z,STEI-20220429-BREF1,10.23,100,2022-04-29T19:00:00Z,OK,NA,0000-0001-8860-6856,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,ntr_internalLab
