uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
a4e390d8-28b8-4707-a100-1cbf4c6f365b,TALL_051.basePlot.bgc,D08,TALL,TALL_051,tower,2021-04-01T14:56:00Z,2021-04-01T14:56:00Z,NEON.DOC.014048vN,TALL_051-M-17-32.5-20210401,A00000232794,TALL_051-M-17-32.5-20210401-KCL,B00000093146,TALL_051-M-17-32.5,tInitial,0,2021-04-01T18:38:00Z,TALL-20210401-BRef1,10.01,100,2021-04-01T21:00:00Z,OK,NA,0000-0002-8839-6825,0000-0001-7717-279X,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
d11af0a6-08d7-4413-a41f-be5328bb91ca,TALL_051.basePlot.bgc,D08,TALL,TALL_051,tower,2021-04-01T14:56:00Z,2021-04-26T14:53:00Z,NEON.DOC.014048vN,TALL_051-M-17-32.5-20210426,NA,TALL_051-M-17-32.5-20210426-KCL,B00000057289,TALL_051-M-17-32.5,tFinal,25,2021-04-26T16:55:00Z,TALL-20210426-BRef1,10.01,98,2021-04-26T19:00:00Z,OK,NA,0000-0002-8839-6825,0000-0003-3172-1559,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
b47db37a-2bd6-441c-9fa8-e9e2e59d9a52,TALL_051.basePlot.bgc,D08,TALL,TALL_051,tower,2021-04-01T15:21:00Z,2021-04-01T15:21:00Z,NEON.DOC.014048vN,TALL_051-M-7-15.5-20210401,A00000232793,TALL_051-M-7-15.5-20210401-KCL,B00000093145,TALL_051-M-7-15.5,tInitial,0,2021-04-01T18:41:00Z,TALL-20210401-BRef1,10.02,100,2021-04-01T21:00:00Z,OK,NA,0000-0002-8839-6825,0000-0001-7717-279X,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
05aac925-9c4d-4c97-a82f-ae864fb32cf3,TALL_051.basePlot.bgc,D08,TALL,TALL_051,tower,2021-04-01T15:21:00Z,2021-04-26T14:40:00Z,NEON.DOC.014048vN,TALL_051-M-7-15.5-20210426,NA,TALL_051-M-7-15.5-20210426-KCL,B00000057291,TALL_051-M-7-15.5,tFinal,24.97,2021-04-26T16:56:00Z,TALL-20210426-BRef1,10,100,2021-04-26T19:00:00Z,OK,NA,0000-0002-8839-6825,0000-0003-3172-1559,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
f474f8c3-10a0-4663-96ce-4c3623f406f8,TALL_051.basePlot.bgc,D08,TALL,TALL_051,tower,2021-04-01T15:41:00Z,2021-04-01T15:41:00Z,NEON.DOC.014048vN,TALL_051-M-27.5-5-20210401,A00000232792,TALL_051-M-27.5-5-20210401-KCL,B00000093144,TALL_051-M-27.5-5,tInitial,0,2021-04-01T18:40:00Z,TALL-20210401-BRef1,10.04,100,2021-04-01T21:00:00Z,OK,NA,0000-0002-8839-6825,0000-0001-7717-279X,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
7250385a-ad5a-408e-9826-3cc47de7b146,TALL_051.basePlot.bgc,D08,TALL,TALL_051,tower,2021-04-01T15:41:00Z,2021-04-26T14:46:00Z,NEON.DOC.014048vN,TALL_051-M-27.5-5-20210426,NA,TALL_051-M-27.5-5-20210426-KCL,B00000057290,TALL_051-M-27.5-5,tFinal,24.96,2021-04-26T16:58:00Z,TALL-20210426-BRef1,10.07,101,2021-04-26T19:00:00Z,OK,NA,0000-0002-8839-6825,0000-0003-3172-1559,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
dbf97c42-d262-452f-8d1f-6a997193bdec,TALL_051.basePlot.bgc,D08,TALL,TALL_051,tower,2021-06-03T13:32:00Z,2021-06-03T13:32:00Z,NEON.DOC.014048vN,TALL_051-M-13.5-7.5-20210603,A00000147225,TALL_051-M-13.5-7.5-20210603-KCL,B00000057470,TALL_051-M-13.5-7.5,tInitial,0,2021-06-04T18:32:00Z,TALL-20210604-BRef1,5.04,48.5,2021-06-04T21:00:00Z,OK,NA,0000-0002-4787-8721,0000-0002-4787-8721,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
533e60db-6511-4e69-9424-a5b7a0542577,TALL_051.basePlot.bgc,D08,TALL,TALL_051,tower,2021-06-03T13:32:00Z,2021-06-23T13:21:00Z,NEON.DOC.014048vN,TALL_051-M-13.5-7.5-20210623,A00000147437,TALL_051-M-13.5-7.5-20210623-KCL,B00000057556,TALL_051-M-13.5-7.5,tFinal,19.99,2021-06-24T15:36:00Z,TALL-20210624-BRef1,5.02,50,2021-06-24T18:00:00Z,OK,NA,0000-0002-4787-8721,0000-0001-6892-534X,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
4e042423-47a0-4e50-ba5d-428ae059fde8,TALL_051.basePlot.bgc,D08,TALL,TALL_051,tower,2021-06-03T13:51:00Z,2021-06-03T13:51:00Z,NEON.DOC.014048vN,TALL_051-M-9.5-30-20210603,A00000147210,TALL_051-M-9.5-30-20210603-KCL,B00000057471,TALL_051-M-9.5-30,tInitial,0,2021-06-04T18:28:00Z,TALL-20210604-BRef1,5.02,50,2021-06-04T21:00:00Z,OK,NA,0000-0002-4787-8721,0000-0002-4787-8721,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
940aa8a4-0369-4783-92b8-ad9f58610a95,TALL_051.basePlot.bgc,D08,TALL,TALL_051,tower,2021-06-03T13:51:00Z,2021-06-23T13:26:00Z,NEON.DOC.014048vN,TALL_051-M-9.5-30-20210623,A00000147429,TALL_051-M-9.5-30-20210623-KCL,B00000057555,TALL_051-M-9.5-30,tFinal,19.98,2021-06-24T15:37:00Z,TALL-20210624-BRef1,5.02,50,2021-06-24T18:00:00Z,OK,NA,0000-0002-4787-8721,0000-0001-6892-534X,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
904157b5-2f57-4a10-ad0c-352bc99b35e6,TALL_051.basePlot.bgc,D08,TALL,TALL_051,tower,2021-06-03T14:17:00Z,2021-06-03T14:17:00Z,NEON.DOC.014048vN,TALL_051-M-29.5-35-20210603,A00000147226,TALL_051-M-29.5-35-20210603-KCL,B00000057472,TALL_051-M-29.5-35,tInitial,0,2021-06-04T18:30:00Z,TALL-20210604-BRef1,5.02,49,2021-06-04T21:00:00Z,OK,NA,0000-0002-4787-8721,0000-0002-4787-8721,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
