uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
20c0ab06-f6f2-41ad-bf55-13b757771bfd,YELL_009.basePlot.bgc,D12,YELL,YELL_009,distributed,2020-09-15T18:57:00Z,2020-09-15T18:57:00Z,NEON.DOC.014048vN,YELL_009-M-7-27.5-20200915,A00000117138,YELL_009-M-7-27.5-20200915-KCL,B00000038892,YELL_009-M-7-27.5,tInitial,0,2020-09-16T15:57:00Z,YELL-20200916-BRef1,10.26,100,2020-09-16T18:00:00Z,OK,NA,0000-0003-0814-3869,0000-0001-7235-2193,NA,20251217T193758Z,RELEASE-2026,DP1.10086.001,YELL,2020,ntr_internalLab
49304255-54de-45b2-9239-1313bd38b6cf,YELL_009.basePlot.bgc,D12,YELL,YELL_009,distributed,2020-09-15T19:13:00Z,2020-09-15T19:13:00Z,NEON.DOC.014048vN,YELL_009-M-34-28.5-20200915,A00000117119,YELL_009-M-34-28.5-20200915-KCL,B00000038881,YELL_009-M-34-28.5,tInitial,0,2020-09-16T15:56:00Z,YELL-20200916-BRef1,10.3,100,2020-09-16T18:00:00Z,OK,NA,0000-0003-0814-3869,0000-0001-7235-2193,location-resampled,20251217T193758Z,RELEASE-2026,DP1.10086.001,YELL,2020,ntr_internalLab
286590c6-d039-403a-b557-4bb28c3a2bc6,YELL_009.basePlot.bgc,D12,YELL,YELL_009,distributed,2020-09-15T19:32:00Z,2020-09-15T19:32:00Z,NEON.DOC.014048vN,YELL_009-M-35.5-5.5-20200915,A00000117120,YELL_009-M-35.5-5.5-20200915-KCL,B00000038909,YELL_009-M-35.5-5.5,tInitial,0,2020-09-16T15:59:00Z,YELL-20200916-BRef1,10.21,100,2020-09-16T18:00:00Z,OK,NA,0000-0003-0814-3869,0000-0001-7235-2193,NA,20251217T193758Z,RELEASE-2026,DP1.10086.001,YELL,2020,ntr_internalLab
db470afc-f653-4a7d-b8e5-c9385c49e022,YELL_009.basePlot.bgc,D12,YELL,YELL_009,distributed,2020-07-08T20:46:00Z,2020-07-08T20:46:00Z,NEON.DOC.014048vN,YELL_009-M-7.5-24-20200708,A00000114933,YELL_009-M-7.5-24-20200708-KCL,B00000115603,YELL_009-M-7.5-24,tInitial,0,2020-07-09T17:30:00Z,YELL-20200709-BRef1,10.13,100,2020-07-09T20:00:00Z,OK,NA,0000-0001-5523-6326,0000-0001-7235-2193,location-resampled,20251217T193652Z,RELEASE-2026,DP1.10086.001,YELL,2020,ntr_internalLab
4451574c-405e-405e-ba82-8b26598ee42f,YELL_009.basePlot.bgc,D12,YELL,YELL_009,distributed,2020-07-08T20:46:00Z,2020-07-29T17:51:00Z,NEON.DOC.014048vN,YELL_009-M-7.5-24-20200729,A00000116959,YELL_009-M-7.5-24-20200729-KCL,B00000115574,YELL_009-M-7.5-24,tFinal,20.88,2020-08-01T22:17:00Z,YELL-20200801-BRef1,10.01,100,2020-08-02T01:00:00Z,OK,NA,0000-0001-6877-7658,0000-0001-7235-2193,location-resampled,20251217T193652Z,RELEASE-2026,DP1.10086.001,YELL,2020,ntr_internalLab
927c1af6-e7b6-4af2-a5f4-d01a8470a2ce,YELL_009.basePlot.bgc,D12,YELL,YELL_009,distributed,2020-07-08T21:13:00Z,2020-07-08T21:13:00Z,NEON.DOC.014048vN,YELL_009-M-31-38-20200708,A00000114966,YELL_009-M-31-38-20200708-KCL,B00000115604,YELL_009-M-31-38,tInitial,0,2020-07-09T17:27:00Z,YELL-20200709-BRef1,10.07,100.5,2020-07-09T20:00:00Z,OK,NA,0000-0001-5523-6326,0000-0001-7235-2193,NA,20251217T193652Z,RELEASE-2026,DP1.10086.001,YELL,2020,ntr_internalLab
b42d5e41-eedc-4a8a-a9d9-6de0cc35df59,YELL_009.basePlot.bgc,D12,YELL,YELL_009,distributed,2020-07-08T21:13:00Z,2020-07-29T17:43:00Z,NEON.DOC.014048vN,YELL_009-M-31-38-20200729,A00000116971,YELL_009-M-31-38-20200729-KCL,B00000115576,YELL_009-M-31-38,tFinal,20.85,2020-08-01T22:14:00Z,YELL-20200801-BRef1,10.13,100,2020-08-02T01:00:00Z,OK,NA,0000-0001-6877-7658,0000-0001-7235-2193,NA,20251217T193652Z,RELEASE-2026,DP1.10086.001,YELL,2020,ntr_internalLab
9368bafa-b865-4389-8349-ec20bec81b64,YELL_009.basePlot.bgc,D12,YELL,YELL_009,distributed,2020-07-08T21:50:00Z,2020-07-08T21:50:00Z,NEON.DOC.014048vN,YELL_009-M-38.5-14-20200708,A00000114949,YELL_009-M-38.5-14-20200708-KCL,B00000115601,YELL_009-M-38.5-14,tInitial,0,2020-07-09T17:25:00Z,YELL-20200709-BRef1,10,100,2020-07-09T20:00:00Z,OK,NA,0000-0001-5523-6326,0000-0001-7235-2193,NA,20251217T193652Z,RELEASE-2026,DP1.10086.001,YELL,2020,ntr_internalLab
1e6480ce-1ee2-4925-a7e8-1c6b04ffabfb,YELL_009.basePlot.bgc,D12,YELL,YELL_009,distributed,2020-07-08T21:50:00Z,2020-07-29T17:40:00Z,NEON.DOC.014048vN,YELL_009-M-38.5-14-20200729,A00000116973,YELL_009-M-38.5-14-20200729-KCL,B00000115577,YELL_009-M-38.5-14,tFinal,20.83,2020-08-01T22:35:00Z,YELL-20200801-BRef1,10.17,100,2020-08-02T01:00:00Z,OK,NA,0000-0001-6877-7658,0000-0001-7235-2193,NA,20251217T193652Z,RELEASE-2026,DP1.10086.001,YELL,2020,ntr_internalLab
84aa3b81-d62e-4a5b-ab79-5de271ee525a,YELL_009.basePlot.bgc,D12,YELL,YELL_009,distributed,2020-09-15T18:57:00Z,2020-10-06T17:47:00Z,NEON.DOC.014048vN,YELL_009-M-7-27.5-20201006,A00000117454,YELL_009-M-7-27.5-20201006-KCL,B00000038769,YELL_009-M-7-27.5,tFinal,20.95,2020-10-07T16:29:00Z,YELL-20201007-BRef1,10.2,100,2020-10-07T19:00:00Z,OK,NA,0000-0003-0814-3869,0000-0001-6877-7658,NA,20251217T193823Z,RELEASE-2026,DP1.10086.001,YELL,2020,ntr_internalLab
